department,municipality_id,municipality,year,month,population,value
Chuquisaca,10201,Azurduy,2015,1,a. Nro. Eventos,2
Potosí,51103,Ckochas,2015,1,a. Nro. Eventos,0
Santa Cruz,70805,Pucara,2015,1,a. Nro. Eventos,1
Potosí,51101,Puna,2015,1,a. Nro. Eventos,1
Chuquisaca,10702,San Lucas,2015,1,a. Nro. Eventos,1
Chuquisaca,10101,Sucre,2015,1,a. Nro. Eventos,1
Chuquisaca,10402,Tomina,2015,1,a. Nro. Eventos,1
Cochabamba,30501,Arani,2015,2,a. Nro. Eventos,1
La Paz,20101,La Paz,2015,2,a. Nro. Eventos,1
Chuquisaca,10501,Monteagudo,2015,2,a. Nro. Eventos,0
Chuquisaca,10702,San Lucas,2015,2,a. Nro. Eventos,1
Potosí,50602,Vitichi,2015,2,a. Nro. Eventos,1
La Paz,20201,Achacachi,2015,3,a. Nro. Eventos,1
Potosí,50601,Cotagaita,2015,3,a. Nro. Eventos,1
Chuquisaca,10701,Camargo,2015,4,a. Nro. Eventos,1
Potosí,50601,Cotagaita,2015,4,a. Nro. Eventos,1
Chuquisaca,10702,San Lucas,2015,4,a. Nro. Eventos,2
Potosí,51103,Ckochas,2015,5,a. Nro. Eventos,0
Oruro,41601,Huayllamarca,2015,5,a. Nro. Eventos,1
Santa Cruz,70701,Lagunillas,2015,6,a. Nro. Eventos,1
Cochabamba,30302,Morochata,2015,6,a. Nro. Eventos,1
La Paz,20803,Tiawanacu,2015,6,a. Nro. Eventos,1
Oruro,40103,El Choro,2015,8,a. Nro. Eventos,1
Cochabamba,30302,Morochata,2015,8,a. Nro. Eventos,1
Chuquisaca,10103,Poroma,2015,8,a. Nro. Eventos,1
Chuquisaca,10201,Azurduy,2015,9,a. Nro. Eventos,2
Potosí,50601,Cotagaita,2015,9,a. Nro. Eventos,1
Chuquisaca,10303,Mojocoya,2015,9,a. Nro. Eventos,1
Chuquisaca,10103,Poroma,2015,9,a. Nro. Eventos,2
Chuquisaca,10702,San Lucas,2015,9,a. Nro. Eventos,1
Chuquisaca,10901,Camataqui (c. Villa Abecia),2015,10,a. Nro. Eventos,2
Potosí,50601,Cotagaita,2015,10,a. Nro. Eventos,2
Chuquisaca,10302,Presto,2015,10,a. Nro. Eventos,2
Chuquisaca,10202,Tarvita,2015,10,a. Nro. Eventos,1
Potosí,51501,Villazon,2015,10,a. Nro. Eventos,1
Tarija,60502,El Puente(tja),2015,11,a. Nro. Eventos,1
Chuquisaca,10304,Icla,2015,11,a. Nro. Eventos,5
Chuquisaca,10903,Las Carreras,2015,11,a. Nro. Eventos,0
Tarija,60201,Padcaya,2015,11,a. Nro. Eventos,2
Chuquisaca,10702,San Lucas,2015,11,a. Nro. Eventos,1
Chuquisaca,10301,Zudañez,2015,11,a. Nro. Eventos,1
Chuquisaca,10201,Azurduy,2015,12,a. Nro. Eventos,2
Chuquisaca,10304,Icla,2015,12,a. Nro. Eventos,2
Santa Cruz,70805,Pucara,2015,12,a. Nro. Eventos,1
Chuquisaca,10601,Tarabuco,2015,12,a. Nro. Eventos,1
Chuquisaca,10602,Yamparaez,2015,12,a. Nro. Eventos,1
Chuquisaca,10102,Yotala,2015,12,a. Nro. Eventos,9
Chuquisaca,10201,Azurduy,2015,1,b. Nro. Personas afectadas,30
Potosí,51103,Ckochas,2015,1,b. Nro. Personas afectadas,1
Santa Cruz,70805,Pucara,2015,1,b. Nro. Personas afectadas,20
Potosí,51101,Puna,2015,1,b. Nro. Personas afectadas,10
Chuquisaca,10702,San Lucas,2015,1,b. Nro. Personas afectadas,50
Chuquisaca,10101,Sucre,2015,1,b. Nro. Personas afectadas,41
Chuquisaca,10402,Tomina,2015,1,b. Nro. Personas afectadas,6
Cochabamba,30501,Arani,2015,2,b. Nro. Personas afectadas,0
La Paz,20101,La Paz,2015,2,b. Nro. Personas afectadas,0
Chuquisaca,10501,Monteagudo,2015,2,b. Nro. Personas afectadas,34
Chuquisaca,10702,San Lucas,2015,2,b. Nro. Personas afectadas,20
Potosí,50602,Vitichi,2015,2,b. Nro. Personas afectadas,100
La Paz,20201,Achacachi,2015,3,b. Nro. Personas afectadas,8
Potosí,50601,Cotagaita,2015,3,b. Nro. Personas afectadas,0
Chuquisaca,10701,Camargo,2015,4,b. Nro. Personas afectadas,50
Potosí,50601,Cotagaita,2015,4,b. Nro. Personas afectadas,120
Chuquisaca,10702,San Lucas,2015,4,b. Nro. Personas afectadas,60
Potosí,51103,Ckochas,2015,5,b. Nro. Personas afectadas,33
Oruro,41601,Huayllamarca,2015,5,b. Nro. Personas afectadas,0
Santa Cruz,70701,Lagunillas,2015,6,b. Nro. Personas afectadas,120
Cochabamba,30302,Morochata,2015,6,b. Nro. Personas afectadas,60
La Paz,20803,Tiawanacu,2015,6,b. Nro. Personas afectadas,0
Oruro,40103,El Choro,2015,8,b. Nro. Personas afectadas,0
Cochabamba,30302,Morochata,2015,8,b. Nro. Personas afectadas,30
Chuquisaca,10103,Poroma,2015,8,b. Nro. Personas afectadas,180
Chuquisaca,10201,Azurduy,2015,9,b. Nro. Personas afectadas,30
Potosí,50601,Cotagaita,2015,9,b. Nro. Personas afectadas,120
Chuquisaca,10303,Mojocoya,2015,9,b. Nro. Personas afectadas,258
