,group,variable,month,a. Menor de 6 meses,a. Menor de 6 meses,b. 6 m a menor de 1 año,b. 6 m a menor de 1 año,c. 1 - 4 años,c. 1 - 4 años,d. 5 - 9 años,d. 5 - 9 años,e. 10 - 14 años,e. 10 - 14 años,f. 15 - 19 años,f. 15 - 19 años,g. 20 - 39 años,g. 20 - 39 años,h. 40 - 49 años,h. 40 - 49 años,i. 50 - 59 años,i. 50 - 59 años,j. 60 años y más,j. 60 años y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,
CUATRO CAÑADAS,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
EL ALTO,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,6,14,7,14,0,5,0,0,13,33,46
GUAYARAMERIN,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
LA PAZ,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SACABA,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-01-01,0,0,0,0,0,0,0,0,0,0,1,0,9,2,2,0,2,0,0,0,14,2,16
TARIJA,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ALCALA,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
CAMIRI,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
EL ALTO,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,0,0,0,0,3,5,8
EUCALIPTUS,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
GUAYARAMERIN,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
LA PAZ,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,2,1,0,0,4,4,8
PUERTO RICO,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
PUNA,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,1,1,5,6
ROBORE,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
SACABA,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-02-01,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,1,0,1,0,1,4,5,9
SANTA CRUZ DE LA SIERRA,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-02-01,0,0,0,0,0,0,0,0,0,4,0,4,0,2,0,1,0,0,0,0,0,11,11
SENA,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
TARIJA,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
UYUNI,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,1,3
VILLAZON,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
ALCALA,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
AUCAPATA,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CAPINOTA,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COCHABAMBA,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,4
CULPINA,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,3
EL ALTO,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-03-01,0,0,0,0,0,0,0,0,1,1,4,1,16,6,2,1,0,0,1,0,24,9,33
GUAYARAMERIN,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LA PAZ,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,1,1,0,7,3,10
POTOSI,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-03-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2
PUNA,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,3,4
PUNATA,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,0,1,5,6
SACABA,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-03-01,0,0,0,0,0,0,0,0,0,0,1,0,4,2,2,1,1,0,0,0,8,3,11
SAN IGNACIO,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-03-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN JAVIER(STC),"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,3
SUCRE,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,14,3,1,0,1,0,0,0,16,3,19
CARIPUYO,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
COCHABAMBA,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-04-01,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,3,2,5
CUATRO CAÑADAS,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
EL ALTO,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-04-01,0,0,0,0,0,0,0,0,3,1,2,0,7,3,1,0,0,0,0,0,13,4,17
GUAYARAMERIN,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,3,3,6
LA PAZ,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,3,0,0,5,4,9
POTOSI,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-04-01,0,0,0,0,0,0,0,0,0,0,3,0,12,1,0,0,2,0,0,0,17,1,18
PUNATA,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,6,6
ROBORE,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
SACABA,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,1,3
SAN JAVIER(STC),"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
SAN LUCAS,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
SAN PEDRO DE BUENA VISTA,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-04-01,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2
SANTA CRUZ DE LA SIERRA,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-04-01,0,0,0,0,0,0,0,0,0,2,1,4,4,2,2,1,1,0,0,0,8,9,17
COCHABAMBA,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,3,4
COMARAPA,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
EL ALTO,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-05-01,0,0,0,0,0,0,0,0,0,0,1,1,26,9,1,0,0,0,2,0,30,10,40
GUAYARAMERIN,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-05-01,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,3,3,6
LA PAZ,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-05-01,0,0,0,0,0,0,0,0,0,1,0,1,6,1,2,0,0,2,2,3,10,8,18
POCOATA,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
POTOSI,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,10,3,2,0,0,0,2,0,14,3,17
PUNA,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,3,3
PUNATA,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,2,4,6
ROBORE,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2
SACABA,"violencia, hechos de transito y accidentes",violencia fisica en otros contextos,2024-05-01,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,0,0,6,1,7
