,group,variable,month,a. Menor de 6 meses,a. Menor de 6 meses,b. 6 m a menor de 1 año,b. 6 m a menor de 1 año,c. 1 - 4 años,c. 1 - 4 años,d. 5 - 9 años,d. 5 - 9 años,e. 10 - 14 años,e. 10 - 14 años,f. 15 - 19 años,f. 15 - 19 años,g. 20 - 39 años,g. 20 - 39 años,h. 40 - 49 años,h. 40 - 49 años,i. 50 - 59 años,i. 50 - 59 años,j. 60 años y más,j. 60 años y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,
AIQUILE,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
APOLO,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CAMIRI,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-01-01,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,2,3,5
CARACOLLO,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,2,2,4
CLIZA,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
COCHABAMBA,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,2
COLQUECHACA,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
CURAHUARA DE CARANGAS,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
EL ALTO,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,5,3,2,0,0,0,0,0,8,3,11
ENTRE RIOS CBBA,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,4,2,6
EUCALIPTUS,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
HUANUNI,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-01-01,0,0,0,0,0,0,0,0,0,0,1,3,3,4,1,1,1,0,0,0,6,8,14
LA PAZ,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-01-01,0,0,0,0,0,1,1,1,1,0,0,1,12,8,4,0,2,2,2,2,22,15,37
MONTEAGUDO,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
PORTACHUELO,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
POTOSI,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-01-01,0,0,0,0,0,0,0,0,0,0,3,3,11,18,4,4,1,3,2,0,21,28,49
SACABA,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,2
SAN MATIAS,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-01-01,0,0,0,0,1,0,0,0,1,0,0,1,5,3,1,0,1,0,0,0,9,4,13
SUCRE,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-01-01,0,0,0,0,0,0,0,0,0,0,2,0,11,3,4,0,1,0,2,1,20,4,24
TARIJA,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-01-01,0,0,0,0,1,0,0,0,0,1,1,1,33,14,7,6,5,0,3,3,50,25,75
TOTORA(CBBA),"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,2,2,4
VILLA MONTES,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,0,4,0,0,2,9,11
VILLAZON,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
WARNES,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,3,1,4
AIQUILE,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
AYATA,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,1,0,0,0,1,2,6,8
COLCAPIRHUA,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2
COLQUECHACA,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
EL ALTO,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-02-01,0,0,0,0,0,0,0,1,0,0,0,1,7,6,0,0,4,0,2,0,13,8,21
EUCALIPTUS,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,2,3
HUANUNI,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-02-01,0,0,0,0,0,0,0,0,0,0,1,0,3,2,1,0,0,1,1,0,6,3,9
JESUS DE MACHACA,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2
LA PAZ,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-02-01,0,0,0,0,0,0,0,0,0,0,1,0,12,6,3,3,0,0,0,0,16,9,25
LLALLAGUA,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-02-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
MAIRANA,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
PADCAYA,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
POTOSI,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-02-01,0,0,0,0,0,0,0,0,1,0,0,0,3,3,2,1,0,0,0,0,6,4,10
PUNA,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN IGNACIO DE VELASCO,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-02-01,0,0,0,0,0,0,0,0,0,0,4,1,7,0,0,0,0,0,2,0,13,1,14
SUCRE,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-02-01,0,0,0,0,0,0,0,0,0,0,2,1,18,5,4,1,4,1,0,0,28,8,36
TARIJA,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-02-01,0,0,0,0,0,1,0,0,1,1,7,0,29,12,7,5,4,0,1,1,49,20,69
TIRAQUE (CBBA),"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2
UNCIA,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
VILLA MONTES,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-02-01,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,1,0,0,3,4,6,10
VILLAZON,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-02-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2
ACHACACHI,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-03-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
ASCENCION DE GUARAYOS,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CAMIRI,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CARACOLLO,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,5,5
COCAPATA,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
COCHABAMBA,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-03-01,0,0,0,0,0,1,0,0,0,0,1,0,5,1,1,0,1,0,0,0,8,2,10
COTOCA,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-03-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2
CURAHUARA DE CARANGAS,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
EL ALTO,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
ENTRE RIOS CBBA,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
HUANUNI,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-03-01,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,3,1,4
INCAHUASI,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LA GUARDIA,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
LA PAZ,"violencia, hechos de transito y accidentes",otras violencias por lesiones colectivas,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,5,3,7,1,0,0,0,0,12,4,16
