,group,variable,month,a. Menor de 6 meses,a. Menor de 6 meses,b. 6 m a menor de 1 año,b. 6 m a menor de 1 año,c. 1 - 4 años,c. 1 - 4 años,d. 5 - 9 años,d. 5 - 9 años,e. 10 - 14 años,e. 10 - 14 años,f. 15 - 19 años,f. 15 - 19 años,g. 20 - 39 años,g. 20 - 39 años,h. 40 - 49 años,h. 40 - 49 años,i. 50 - 59 años,i. 50 - 59 años,j. 60 años y más,j. 60 años y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,
EL ALTO,"violencia, hechos de transito y accidentes",violencia por negligencia o abandono,2024-01-01,0,2,0,0,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,13
EL ALTO,"violencia, hechos de transito y accidentes",violencia por negligencia o abandono,2024-02-01,2,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,2,7
EL ALTO,"violencia, hechos de transito y accidentes",violencia por negligencia o abandono,2024-03-01,0,1,0,0,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,4,4,8
LA PAZ,"violencia, hechos de transito y accidentes",violencia por negligencia o abandono,2024-03-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
UYUNI,"violencia, hechos de transito y accidentes",violencia por negligencia o abandono,2024-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
EL ALTO,"violencia, hechos de transito y accidentes",violencia por negligencia o abandono,2024-04-01,5,1,1,0,0,2,0,0,0,0,1,3,0,0,0,1,1,0,1,0,9,7,16
LA PAZ,"violencia, hechos de transito y accidentes",violencia por negligencia o abandono,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
TOTORA(ORR),"violencia, hechos de transito y accidentes",violencia por negligencia o abandono,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
UYUNI,"violencia, hechos de transito y accidentes",violencia por negligencia o abandono,2024-04-01,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2
EL ALTO,"violencia, hechos de transito y accidentes",violencia por negligencia o abandono,2024-05-01,3,2,1,0,2,0,0,3,0,1,0,1,0,4,0,0,0,0,1,0,7,11,18
LA PAZ,"violencia, hechos de transito y accidentes",violencia por negligencia o abandono,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,"violencia, hechos de transito y accidentes",violencia por negligencia o abandono,2024-05-01,0,0,0,0,0,0,0,0,0,18,0,7,0,4,0,0,0,0,0,0,0,29,29
EL ALTO,"violencia, hechos de transito y accidentes",violencia por negligencia o abandono,2024-06-01,1,2,0,0,0,4,0,3,0,0,0,4,0,6,0,0,0,0,1,0,2,19,21
POTOSI,"violencia, hechos de transito y accidentes",violencia por negligencia o abandono,2024-06-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,"violencia, hechos de transito y accidentes",violencia por negligencia o abandono,2024-06-01,0,0,0,0,0,0,0,0,0,11,0,19,0,3,0,0,0,0,0,0,0,33,33
EL ALTO,"violencia, hechos de transito y accidentes",violencia por negligencia o abandono,2024-07-01,1,1,0,0,0,0,0,2,0,3,0,1,0,1,0,0,0,0,0,0,1,8,9
LA PAZ,"violencia, hechos de transito y accidentes",violencia por negligencia o abandono,2024-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,"violencia, hechos de transito y accidentes",violencia por negligencia o abandono,2024-07-01,0,3,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,1,1,1,13,14
EL ALTO,"violencia, hechos de transito y accidentes",violencia por negligencia o abandono,2024-08-01,1,2,0,0,2,1,2,0,2,1,0,2,0,1,0,0,0,0,1,2,8,9,17
SANTA CRUZ DE LA SIERRA,"violencia, hechos de transito y accidentes",violencia por negligencia o abandono,2024-08-01,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3
EL ALTO,"violencia, hechos de transito y accidentes",violencia por negligencia o abandono,2024-09-01,3,1,2,0,5,2,2,0,1,0,2,0,0,3,0,0,0,0,0,0,15,6,21
SANTA CRUZ DE LA SIERRA,"violencia, hechos de transito y accidentes",violencia por negligencia o abandono,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
EL ALTO,"violencia, hechos de transito y accidentes",violencia por negligencia o abandono,2024-10-01,1,0,0,0,10,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,13,5,18
LA PAZ,"violencia, hechos de transito y accidentes",violencia por negligencia o abandono,2024-10-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,2
POTOSI,"violencia, hechos de transito y accidentes",violencia por negligencia o abandono,2024-10-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,"violencia, hechos de transito y accidentes",violencia por negligencia o abandono,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2
UYUNI,"violencia, hechos de transito y accidentes",violencia por negligencia o abandono,2024-10-01,0,0,0,1,2,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,4,6,10
EL ALTO,"violencia, hechos de transito y accidentes",violencia por negligencia o abandono,2024-11-01,5,3,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9,5,14
UYUNI,"violencia, hechos de transito y accidentes",violencia por negligencia o abandono,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
VIACHA,"violencia, hechos de transito y accidentes",violencia por negligencia o abandono,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
EL ALTO,"violencia, hechos de transito y accidentes",violencia por negligencia o abandono,2024-12-01,5,3,1,1,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,7,9,16
