municipality,group,variable,month,TOTAL
COTOCA,eventos - notificacion inmediata parte ii,inundacion,2018-01-01,1469.0
LA GUARDIA,eventos - notificacion inmediata parte ii,inundacion,2018-01-01,104.0
LORETO,eventos - notificacion inmediata parte ii,inundacion,2018-01-01,483.0
MACHARETI,eventos - notificacion inmediata parte ii,inundacion,2018-01-01,294.0
PORONGO,eventos - notificacion inmediata parte ii,inundacion,2018-01-01,125.0
SAN JAVIER(BNI),eventos - notificacion inmediata parte ii,inundacion,2018-01-01,1.0
SANTA CRUZ DE LA SIERRA,eventos - notificacion inmediata parte ii,inundacion,2018-01-01,368.0
SANTA ROSA,eventos - notificacion inmediata parte ii,inundacion,2018-01-01,42.0
TRINIDAD,eventos - notificacion inmediata parte ii,inundacion,2018-01-01,1014.0
YACUIBA,eventos - notificacion inmediata parte ii,inundacion,2018-01-01,444.0
YOTALA,eventos - notificacion inmediata parte ii,inundacion,2018-01-01,36.0
ARBIETO,eventos - notificacion inmediata parte ii,inundacion,2018-02-01,41.0
CKOCHAS,eventos - notificacion inmediata parte ii,inundacion,2018-02-01,306.0
CLIZA,eventos - notificacion inmediata parte ii,inundacion,2018-02-01,26.0
EL CHORO,eventos - notificacion inmediata parte ii,inundacion,2018-02-01,16.0
GUANAY,eventos - notificacion inmediata parte ii,inundacion,2018-02-01,206.0
ICLA,eventos - notificacion inmediata parte ii,inundacion,2018-02-01,14.0
LAJA,eventos - notificacion inmediata parte ii,inundacion,2018-02-01,1.0
LORETO,eventos - notificacion inmediata parte ii,inundacion,2018-02-01,460.0
PAPEL PAMPA,eventos - notificacion inmediata parte ii,inundacion,2018-02-01,152.0
POROMA,eventos - notificacion inmediata parte ii,inundacion,2018-02-01,10.0
PUCARANI,eventos - notificacion inmediata parte ii,inundacion,2018-02-01,9.0
PUERTO SILES,eventos - notificacion inmediata parte ii,inundacion,2018-02-01,4.0
PUNATA,eventos - notificacion inmediata parte ii,inundacion,2018-02-01,20.0
RIBERALTA,eventos - notificacion inmediata parte ii,inundacion,2018-02-01,49.0
SAN ANDRES,eventos - notificacion inmediata parte ii,inundacion,2018-02-01,113.0
SAN IGNACIO,eventos - notificacion inmediata parte ii,inundacion,2018-02-01,8.0
SAN JAVIER(BNI),eventos - notificacion inmediata parte ii,inundacion,2018-02-01,90.0
SAPAHAQUI,eventos - notificacion inmediata parte ii,inundacion,2018-02-01,44.0
TACACOMA,eventos - notificacion inmediata parte ii,inundacion,2018-02-01,11.0
TRINIDAD,eventos - notificacion inmediata parte ii,inundacion,2018-02-01,669.0
GUTIERREZ,eventos - notificacion inmediata parte ii,inundacion,2018-03-01,4.0
LORETO,eventos - notificacion inmediata parte ii,inundacion,2018-03-01,220.0
MACHARETI,eventos - notificacion inmediata parte ii,inundacion,2018-03-01,926.0
TRINIDAD,eventos - notificacion inmediata parte ii,inundacion,2018-03-01,1.0
VILLA TUNARI,eventos - notificacion inmediata parte ii,inundacion,2018-03-01,2.0
ANZALDO,eventos - notificacion inmediata parte ii,inundacion,2018-05-01,2.0
SAN JAVIER(BNI),eventos - notificacion inmediata parte ii,inundacion,2018-05-01,61.0
ASCENCION DE GUARAYOS,eventos - notificacion inmediata parte ii,inundacion,2018-11-01,167.0
GUANAY,eventos - notificacion inmediata parte ii,inundacion,2018-11-01,38.0
LA GUARDIA,eventos - notificacion inmediata parte ii,inundacion,2018-11-01,49.0
SUCRE,eventos - notificacion inmediata parte ii,inundacion,2018-11-01,4.0
TRINIDAD,eventos - notificacion inmediata parte ii,inundacion,2018-11-01,105.0
CHIMORE,eventos - notificacion inmediata parte ii,inundacion,2018-12-01,53.0
PADILLA,eventos - notificacion inmediata parte ii,inundacion,2018-12-01,12.0
TRINIDAD,eventos - notificacion inmediata parte ii,inundacion,2018-12-01,137.0
