municipality,group,variable,month,TOTAL
MACHARETI,eventos - notificacion inmediata parte ii,otros de excepcion,2018-01-01,35
SAN LUCAS,eventos - notificacion inmediata parte ii,otros de excepcion,2018-01-01,1
VILLA VACA GUZMAN (MUYUPAMPA),eventos - notificacion inmediata parte ii,otros de excepcion,2018-01-01,6
YACUIBA,eventos - notificacion inmediata parte ii,otros de excepcion,2018-01-01,6
ICLA,eventos - notificacion inmediata parte ii,otros de excepcion,2018-02-01,2
SAN LUCAS,eventos - notificacion inmediata parte ii,otros de excepcion,2018-02-01,1
TOMINA,eventos - notificacion inmediata parte ii,otros de excepcion,2018-02-01,2
VILLAZON,eventos - notificacion inmediata parte ii,otros de excepcion,2018-02-01,11
ACHACACHI,eventos - notificacion inmediata parte ii,otros de excepcion,2018-03-01,1
TOMINA,eventos - notificacion inmediata parte ii,otros de excepcion,2018-03-01,19
TRINIDAD,eventos - notificacion inmediata parte ii,otros de excepcion,2018-03-01,1
CURAHUARA DE CARANGAS,eventos - notificacion inmediata parte ii,otros de excepcion,2018-04-01,1
PALCA,eventos - notificacion inmediata parte ii,otros de excepcion,2018-05-01,2
SAN LUCAS,eventos - notificacion inmediata parte ii,otros de excepcion,2018-05-01,3
CULPINA,eventos - notificacion inmediata parte ii,otros de excepcion,2018-06-01,33
PALCA,eventos - notificacion inmediata parte ii,otros de excepcion,2018-06-01,1
PUERTO VILLARROEL,eventos - notificacion inmediata parte ii,otros de excepcion,2018-07-01,2
AYOPAYA (V. DE INDEPENDENCIA),eventos - notificacion inmediata parte ii,otros de excepcion,2018-08-01,1
CHARAGUA,eventos - notificacion inmediata parte ii,otros de excepcion,2018-08-01,1
LA PAZ,eventos - notificacion inmediata parte ii,otros de excepcion,2018-08-01,1
LAGUNILLAS,eventos - notificacion inmediata parte ii,otros de excepcion,2018-09-01,206
TARVITA,eventos - notificacion inmediata parte ii,otros de excepcion,2018-09-01,4
ICLA,eventos - notificacion inmediata parte ii,otros de excepcion,2018-10-01,4
SAN LUCAS,eventos - notificacion inmediata parte ii,otros de excepcion,2018-10-01,3
SUCRE,eventos - notificacion inmediata parte ii,otros de excepcion,2018-10-01,3
TARACO,eventos - notificacion inmediata parte ii,otros de excepcion,2018-10-01,1
CARIPUYO,eventos - notificacion inmediata parte ii,otros de excepcion,2018-11-01,2
CARIPUYO,eventos - notificacion inmediata parte ii,otros de excepcion,2018-12-01,3
LAS CARRERAS,eventos - notificacion inmediata parte ii,otros de excepcion,2018-12-01,6
PADILLA,eventos - notificacion inmediata parte ii,otros de excepcion,2018-12-01,1
