municipality,group,variable,month,TOTAL
POROMA,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2018-01-01,2.0
POROMA,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2018-02-01,21.0
SAN LUCAS,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2018-02-01,891.0
YANACACHI,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2018-02-01,2.0
AZURDUY,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2018-03-01,2.0
CAMIRI,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2018-03-01,44.0
CKOCHAS,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2018-03-01,2.0
HUACAYA (VILLA DE HUACAYA),eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2018-03-01,1.0
PUCARA,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2018-03-01,3.0
SAN LUCAS,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2018-03-01,14.0
POROMA,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2018-04-01,1.0
POSTRER VALLE,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2018-08-01,2.0
PUCARA,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2018-08-01,1.0
VALLEGRANDE,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2018-08-01,3.0
TOMINA,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2018-09-01,1.0
ARQUE,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2018-10-01,4.0
YANACACHI,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2018-11-01,33.0
PADILLA,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2018-12-01,26.0
POROMA,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2018-12-01,1.0
