,group,variable,month,Dentro,Dentro,Fuera,Fuera,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,
APOLO,mortalidad,muerte menor de 1 ano,2012-01-01,0,1,0,0,0,1,1
AUCAPATA,mortalidad,muerte menor de 1 ano,2012-01-01,0,0,0,1,0,1,1
AYO AYO,mortalidad,muerte menor de 1 ano,2012-01-01,0,0,1,2,1,2,3
CALAMARCA,mortalidad,muerte menor de 1 ano,2012-01-01,0,0,1,0,1,0,1
CARANAVI,mortalidad,muerte menor de 1 ano,2012-01-01,0,0,0,1,0,1,1
CARIPUYO,mortalidad,muerte menor de 1 ano,2012-01-01,0,0,1,2,1,2,3
COBIJA,mortalidad,muerte menor de 1 ano,2012-01-01,1,1,0,0,1,1,2
COCHABAMBA,mortalidad,muerte menor de 1 ano,2012-01-01,2,9,0,0,2,9,11
"COLCHA ""K""",mortalidad,muerte menor de 1 ano,2012-01-01,0,0,1,0,1,0,1
COLQUECHACA,mortalidad,muerte menor de 1 ano,2012-01-01,0,0,0,2,0,2,2
COLQUENCHA,mortalidad,muerte menor de 1 ano,2012-01-01,0,0,0,1,0,1,1
COTOCA,mortalidad,muerte menor de 1 ano,2012-01-01,0,0,1,0,1,0,1
CUATRO CAÑADAS,mortalidad,muerte menor de 1 ano,2012-01-01,1,0,0,0,1,0,1
EL ALTO,mortalidad,muerte menor de 1 ano,2012-01-01,5,5,3,4,8,9,17
GUANAY,mortalidad,muerte menor de 1 ano,2012-01-01,0,0,1,0,1,0,1
GUAYARAMERIN,mortalidad,muerte menor de 1 ano,2012-01-01,1,0,0,0,1,0,1
GUTIERREZ,mortalidad,muerte menor de 1 ano,2012-01-01,0,0,0,1,0,1,1
HUANUNI,mortalidad,muerte menor de 1 ano,2012-01-01,0,0,0,1,0,1,1
INQUISIVI,mortalidad,muerte menor de 1 ano,2012-01-01,0,0,2,0,2,0,2
LA PAZ,mortalidad,muerte menor de 1 ano,2012-01-01,15,12,2,2,17,14,31
LLALLAGUA,mortalidad,muerte menor de 1 ano,2012-01-01,1,0,0,0,1,0,1
MONTEAGUDO,mortalidad,muerte menor de 1 ano,2012-01-01,1,0,0,0,1,0,1
OCURI,mortalidad,muerte menor de 1 ano,2012-01-01,0,2,0,0,0,2,2
ORURO,mortalidad,muerte menor de 1 ano,2012-01-01,2,0,0,0,2,0,2
PATACAMAYA,mortalidad,muerte menor de 1 ano,2012-01-01,0,0,1,1,1,1,2
POTOSI,mortalidad,muerte menor de 1 ano,2012-01-01,0,1,0,0,0,1,1
RIBERALTA,mortalidad,muerte menor de 1 ano,2012-01-01,2,1,0,0,2,1,3
RURRENABAQUE,mortalidad,muerte menor de 1 ano,2012-01-01,1,0,0,0,1,0,1
SACACA,mortalidad,muerte menor de 1 ano,2012-01-01,0,0,1,1,1,1,2
SAN IGNACIO DE VELASCO,mortalidad,muerte menor de 1 ano,2012-01-01,0,3,1,0,1,3,4
SAN RAFAEL,mortalidad,muerte menor de 1 ano,2012-01-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,mortalidad,muerte menor de 1 ano,2012-01-01,10,3,0,0,10,3,13
SUCRE,mortalidad,muerte menor de 1 ano,2012-01-01,8,6,1,0,9,6,15
TAPACARI,mortalidad,muerte menor de 1 ano,2012-01-01,0,0,1,0,1,0,1
TARIJA,mortalidad,muerte menor de 1 ano,2012-01-01,1,0,0,0,1,0,1
TRINIDAD,mortalidad,muerte menor de 1 ano,2012-01-01,1,0,0,1,1,1,2
TUPIZA,mortalidad,muerte menor de 1 ano,2012-01-01,1,0,0,0,1,0,1
UYUNI,mortalidad,muerte menor de 1 ano,2012-01-01,0,1,0,0,0,1,1
VIACHA,mortalidad,muerte menor de 1 ano,2012-01-01,0,0,1,0,1,0,1
VILA VILA,mortalidad,muerte menor de 1 ano,2012-01-01,0,0,1,0,1,0,1
VILLAZON,mortalidad,muerte menor de 1 ano,2012-01-01,0,0,1,0,1,0,1
WARNES,mortalidad,muerte menor de 1 ano,2012-01-01,0,0,0,1,0,1,1
YACUIBA,mortalidad,muerte menor de 1 ano,2012-01-01,2,0,0,0,2,0,2
YUNCHARA,mortalidad,muerte menor de 1 ano,2012-01-01,0,0,1,0,1,0,1
ACHACACHI,mortalidad,muerte menor de 1 ano,2012-02-01,2,0,1,0,3,0,3
APOLO,mortalidad,muerte menor de 1 ano,2012-02-01,0,1,0,0,0,1,1
AUCAPATA,mortalidad,muerte menor de 1 ano,2012-02-01,0,0,1,1,1,1,2
AYO AYO,mortalidad,muerte menor de 1 ano,2012-02-01,0,0,0,1,0,1,1
CALAMARCA,mortalidad,muerte menor de 1 ano,2012-02-01,0,0,1,0,1,0,1
CARANAVI,mortalidad,muerte menor de 1 ano,2012-02-01,1,0,0,0,1,0,1
CARIPUYO,mortalidad,muerte menor de 1 ano,2012-02-01,0,1,3,0,3,1,4
CHALLAPATA,mortalidad,muerte menor de 1 ano,2012-02-01,0,0,2,1,2,1,3
CHAYANTA,mortalidad,muerte menor de 1 ano,2012-02-01,0,0,1,0,1,0,1
COBIJA,mortalidad,muerte menor de 1 ano,2012-02-01,0,1,0,0,0,1,1
COCHABAMBA,mortalidad,muerte menor de 1 ano,2012-02-01,8,10,0,0,8,10,18
COLQUECHACA,mortalidad,muerte menor de 1 ano,2012-02-01,0,0,1,0,1,0,1
COLQUENCHA,mortalidad,muerte menor de 1 ano,2012-02-01,0,0,1,0,1,0,1
CORO CORO,mortalidad,muerte menor de 1 ano,2012-02-01,0,0,0,1,0,1,1
COTOCA,mortalidad,muerte menor de 1 ano,2012-02-01,0,1,0,0,0,1,1
EL ALTO,mortalidad,muerte menor de 1 ano,2012-02-01,6,4,3,4,9,8,17
EUCALIPTUS,mortalidad,muerte menor de 1 ano,2012-02-01,0,0,0,1,0,1,1
GUAYARAMERIN,mortalidad,muerte menor de 1 ano,2012-02-01,1,1,0,0,1,1,2
IXIAMAS,mortalidad,muerte menor de 1 ano,2012-02-01,1,0,0,0,1,0,1
LA PAZ,mortalidad,muerte menor de 1 ano,2012-02-01,21,7,1,1,22,8,30
LLALLAGUA,mortalidad,muerte menor de 1 ano,2012-02-01,1,0,0,0,1,0,1
ORURO,mortalidad,muerte menor de 1 ano,2012-02-01,1,0,0,0,1,0,1
POCOATA,mortalidad,muerte menor de 1 ano,2012-02-01,0,0,1,0,1,0,1
POROMA,mortalidad,muerte menor de 1 ano,2012-02-01,0,0,0,1,0,1,1
POTOSI,mortalidad,muerte menor de 1 ano,2012-02-01,2,4,0,1,2,5,7
PUCARANI,mortalidad,muerte menor de 1 ano,2012-02-01,0,0,1,0,1,0,1
PUERTO PEREZ,mortalidad,muerte menor de 1 ano,2012-02-01,0,0,1,0,1,0,1
PUERTO VILLARROEL,mortalidad,muerte menor de 1 ano,2012-02-01,0,0,0,1,0,1,1
PUNATA,mortalidad,muerte menor de 1 ano,2012-02-01,0,1,0,0,0,1,1
RIBERALTA,mortalidad,muerte menor de 1 ano,2012-02-01,3,1,0,0,3,1,4
SACABA,mortalidad,muerte menor de 1 ano,2012-02-01,0,0,1,0,1,0,1
SACACA,mortalidad,muerte menor de 1 ano,2012-02-01,0,0,3,4,3,4,7
SAIPINA,mortalidad,muerte menor de 1 ano,2012-02-01,0,0,0,1,0,1,1
SAN BUENA VENTURA,mortalidad,muerte menor de 1 ano,2012-02-01,0,0,1,1,1,1,2
SAN IGNACIO DE VELASCO,mortalidad,muerte menor de 1 ano,2012-02-01,0,1,0,0,0,1,1
SAN LUCAS,mortalidad,muerte menor de 1 ano,2012-02-01,1,0,0,0,1,0,1
SAN PEDRO DE CURAHUARA,mortalidad,muerte menor de 1 ano,2012-02-01,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,mortalidad,muerte menor de 1 ano,2012-02-01,5,9,0,0,5,9,14
SANTIAGO DE MACHACA,mortalidad,muerte menor de 1 ano,2012-02-01,0,0,0,1,0,1,1
SHINAOTA,mortalidad,muerte menor de 1 ano,2012-02-01,1,0,0,0,1,0,1
SORATA,mortalidad,muerte menor de 1 ano,2012-02-01,0,1,0,1,0,2,2
SUCRE,mortalidad,muerte menor de 1 ano,2012-02-01,4,3,1,1,5,4,9
TARIJA,mortalidad,muerte menor de 1 ano,2012-02-01,1,1,0,0,1,1,2
TINGUIPAYA,mortalidad,muerte menor de 1 ano,2012-02-01,0,0,1,2,1,2,3
UNCIA,mortalidad,muerte menor de 1 ano,2012-02-01,0,0,1,0,1,0,1
UYUNI,mortalidad,muerte menor de 1 ano,2012-02-01,0,0,1,0,1,0,1
VILLA TUNARI,mortalidad,muerte menor de 1 ano,2012-02-01,0,1,0,0,0,1,1
ACACIO,mortalidad,muerte menor de 1 ano,2012-03-01,0,0,0,1,0,1,1
ACHACACHI,mortalidad,muerte menor de 1 ano,2012-03-01,0,0,0,1,0,1,1
AUCAPATA,mortalidad,muerte menor de 1 ano,2012-03-01,0,0,0,1,0,1,1
BUENA VISTA,mortalidad,muerte menor de 1 ano,2012-03-01,0,0,1,0,1,0,1
CARACOLLO,mortalidad,muerte menor de 1 ano,2012-03-01,0,0,1,0,1,0,1
CARANAVI,mortalidad,muerte menor de 1 ano,2012-03-01,0,1,0,0,0,1,1
CARIPUYO,mortalidad,muerte menor de 1 ano,2012-03-01,0,0,2,0,2,0,2
COBIJA,mortalidad,muerte menor de 1 ano,2012-03-01,1,1,0,0,1,1,2
COCHABAMBA,mortalidad,muerte menor de 1 ano,2012-03-01,7,5,0,0,7,5,12
"COLCHA ""K""",mortalidad,muerte menor de 1 ano,2012-03-01,0,1,0,0,0,1,1
COLQUENCHA,mortalidad,muerte menor de 1 ano,2012-03-01,0,0,1,0,1,0,1
CORO CORO,mortalidad,muerte menor de 1 ano,2012-03-01,0,0,1,0,1,0,1
EL ALTO,mortalidad,muerte menor de 1 ano,2012-03-01,4,3,5,1,9,4,13
EL PUENTE(STC),mortalidad,muerte menor de 1 ano,2012-03-01,0,0,1,0,1,0,1
EL PUENTE(TJA),mortalidad,muerte menor de 1 ano,2012-03-01,0,1,0,0,0,1,1
LA ASUNTA,mortalidad,muerte menor de 1 ano,2012-03-01,0,1,0,0,0,1,1
LA PAZ,mortalidad,muerte menor de 1 ano,2012-03-01,18,9,1,4,19,13,32
LICOMA PAMPA,mortalidad,muerte menor de 1 ano,2012-03-01,0,0,0,1,0,1,1
LLALLAGUA,mortalidad,muerte menor de 1 ano,2012-03-01,0,0,0,1,0,1,1
MONTERO,mortalidad,muerte menor de 1 ano,2012-03-01,1,0,0,0,1,0,1
ORURO,mortalidad,muerte menor de 1 ano,2012-03-01,1,1,0,0,1,1,2
POCOATA,mortalidad,muerte menor de 1 ano,2012-03-01,0,0,0,2,0,2,2
POTOSI,mortalidad,muerte menor de 1 ano,2012-03-01,6,1,0,0,6,1,7
PUCARANI,mortalidad,muerte menor de 1 ano,2012-03-01,0,0,0,1,0,1,1
RIBERALTA,mortalidad,muerte menor de 1 ano,2012-03-01,3,1,0,0,3,1,4
SACABA,mortalidad,muerte menor de 1 ano,2012-03-01,0,0,0,1,0,1,1
SACACA,mortalidad,muerte menor de 1 ano,2012-03-01,2,0,0,1,2,1,3
SAN ANDRES,mortalidad,muerte menor de 1 ano,2012-03-01,0,0,0,1,0,1,1
SAN BUENA VENTURA,mortalidad,muerte menor de 1 ano,2012-03-01,1,0,0,0,1,0,1
SAN IGNACIO DE VELASCO,mortalidad,muerte menor de 1 ano,2012-03-01,1,0,0,0,1,0,1
SAN MIGUEL DE VELASCO,mortalidad,muerte menor de 1 ano,2012-03-01,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,mortalidad,muerte menor de 1 ano,2012-03-01,4,3,0,1,4,4,8
SUCRE,mortalidad,muerte menor de 1 ano,2012-03-01,4,3,0,0,4,3,7
TARABUCO,mortalidad,muerte menor de 1 ano,2012-03-01,0,0,1,0,1,0,1
TIPUANI,mortalidad,muerte menor de 1 ano,2012-03-01,1,0,0,0,1,0,1
TRINIDAD,mortalidad,muerte menor de 1 ano,2012-03-01,0,2,0,0,0,2,2
TUPIZA,mortalidad,muerte menor de 1 ano,2012-03-01,0,0,0,1,0,1,1
VILLA SERRANO,mortalidad,muerte menor de 1 ano,2012-03-01,0,0,1,0,1,0,1
VILLAZON,mortalidad,muerte menor de 1 ano,2012-03-01,0,0,1,0,1,0,1
WARNES,mortalidad,muerte menor de 1 ano,2012-03-01,0,0,0,1,0,1,1
ACHACACHI,mortalidad,muerte menor de 1 ano,2012-04-01,3,0,0,0,3,0,3
ALCALA,mortalidad,muerte menor de 1 ano,2012-04-01,0,0,1,0,1,0,1
ALTO BENI,mortalidad,muerte menor de 1 ano,2012-04-01,0,0,1,0,1,0,1
ANCORAIMES,mortalidad,muerte menor de 1 ano,2012-04-01,0,0,1,0,1,0,1
AYO AYO,mortalidad,muerte menor de 1 ano,2012-04-01,0,0,1,0,1,0,1
BATALLAS,mortalidad,muerte menor de 1 ano,2012-04-01,0,1,0,0,0,1,1
BETANZOS,mortalidad,muerte menor de 1 ano,2012-04-01,0,0,1,1,1,1,2
BOLIVAR,mortalidad,muerte menor de 1 ano,2012-04-01,0,0,1,0,1,0,1
CAIROMA,mortalidad,muerte menor de 1 ano,2012-04-01,0,0,0,1,0,1,1
"CAIZA ""D""",mortalidad,muerte menor de 1 ano,2012-04-01,0,0,1,0,1,0,1
CALAMARCA,mortalidad,muerte menor de 1 ano,2012-04-01,0,0,0,1,0,1,1
CAPINOTA,mortalidad,muerte menor de 1 ano,2012-04-01,0,0,1,0,1,0,1
CARIPUYO,mortalidad,muerte menor de 1 ano,2012-04-01,0,1,0,0,0,1,1
COBIJA,mortalidad,muerte menor de 1 ano,2012-04-01,1,2,0,0,1,2,3
COCHABAMBA,mortalidad,muerte menor de 1 ano,2012-04-01,5,6,0,0,5,6,11
"COLCHA ""K""",mortalidad,muerte menor de 1 ano,2012-04-01,1,0,1,0,2,0,2
COLLANA,mortalidad,muerte menor de 1 ano,2012-04-01,0,1,0,0,0,1,1
EL ALTO,mortalidad,muerte menor de 1 ano,2012-04-01,3,3,5,3,8,6,14
HUANUNI,mortalidad,muerte menor de 1 ano,2012-04-01,0,0,0,1,0,1,1
JESUS DE MACHACA,mortalidad,muerte menor de 1 ano,2012-04-01,0,0,0,1,0,1,1
LA PAZ,mortalidad,muerte menor de 1 ano,2012-04-01,12,15,1,1,13,16,29
LLALLAGUA,mortalidad,muerte menor de 1 ano,2012-04-01,1,1,0,0,1,1,2
MAPIRI,mortalidad,muerte menor de 1 ano,2012-04-01,0,0,1,0,1,0,1
MIZQUE,mortalidad,muerte menor de 1 ano,2012-04-01,1,0,0,0,1,0,1
MOJOCOYA,mortalidad,muerte menor de 1 ano,2012-04-01,0,0,0,1,0,1,1
MONTEAGUDO,mortalidad,muerte menor de 1 ano,2012-04-01,1,0,0,0,1,0,1
MONTERO,mortalidad,muerte menor de 1 ano,2012-04-01,0,0,0,1,0,1,1
ORURO,mortalidad,muerte menor de 1 ano,2012-04-01,0,1,0,0,0,1,1
POTOSI,mortalidad,muerte menor de 1 ano,2012-04-01,3,5,0,0,3,5,8
PRESTO,mortalidad,muerte menor de 1 ano,2012-04-01,0,0,1,0,1,0,1
PUERTO CARABUCO,mortalidad,muerte menor de 1 ano,2012-04-01,0,0,1,0,1,0,1
PUERTO VILLARROEL,mortalidad,muerte menor de 1 ano,2012-04-01,0,1,0,0,0,1,1
PUNATA,mortalidad,muerte menor de 1 ano,2012-04-01,1,0,0,0,1,0,1
RIBERALTA,mortalidad,muerte menor de 1 ano,2012-04-01,4,4,0,0,4,4,8
SACABA,mortalidad,muerte menor de 1 ano,2012-04-01,0,0,1,0,1,0,1
SACACA,mortalidad,muerte menor de 1 ano,2012-04-01,0,0,0,1,0,1,1
SALINAS DE GARCI MENDOZA,mortalidad,muerte menor de 1 ano,2012-04-01,0,0,0,1,0,1,1
SAN BUENA VENTURA,mortalidad,muerte menor de 1 ano,2012-04-01,1,0,0,1,1,1,2
SAN CARLOS,mortalidad,muerte menor de 1 ano,2012-04-01,0,0,1,0,1,0,1
