municipality,group,variable,month,< de 1 año,1 a 4 años,5 a 14 años,15 a 59 años,60 y más,TOTAL
LA PAZ,sospecha diagnostica,tos ferina,2005-01-01,1,0,0,0,0,1
TARIJA,sospecha diagnostica,tos ferina,2005-01-01,2,0,0,0,0,2
CARANAVI,sospecha diagnostica,tos ferina,2005-02-01,0,2,0,0,0,2
COCHABAMBA,sospecha diagnostica,tos ferina,2005-03-01,1,0,0,0,0,1
TARIJA,sospecha diagnostica,tos ferina,2005-03-01,0,0,1,0,0,1
CHARAGUA,sospecha diagnostica,tos ferina,2005-04-01,1,0,0,0,0,1
LA PAZ,sospecha diagnostica,tos ferina,2005-04-01,1,1,0,0,0,2
LA PAZ,sospecha diagnostica,tos ferina,2005-05-01,2,1,1,0,0,4
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2005-05-01,2,1,1,0,0,4
SUCRE,sospecha diagnostica,tos ferina,2005-05-01,1,0,0,0,0,1
TARIJA,sospecha diagnostica,tos ferina,2005-05-01,1,0,0,0,0,1
GENERAL SAAVEDRA,sospecha diagnostica,tos ferina,2005-06-01,0,1,0,0,0,1
LA PAZ,sospecha diagnostica,tos ferina,2005-06-01,4,0,0,0,0,4
MONTERO,sospecha diagnostica,tos ferina,2005-06-01,2,0,0,0,0,2
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2005-06-01,1,2,0,0,0,3
TARIJA,sospecha diagnostica,tos ferina,2005-06-01,1,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2005-07-01,0,2,0,0,0,2
TARIJA,sospecha diagnostica,tos ferina,2005-07-01,1,0,0,0,0,1
LA PAZ,sospecha diagnostica,tos ferina,2005-08-01,2,4,0,0,0,6
MONTERO,sospecha diagnostica,tos ferina,2005-08-01,2,0,0,0,0,2
TARIJA,sospecha diagnostica,tos ferina,2005-08-01,1,0,0,0,0,1
LA PAZ,sospecha diagnostica,tos ferina,2005-09-01,1,0,0,0,0,1
SACABA,sospecha diagnostica,tos ferina,2005-09-01,1,0,0,0,0,1
TARABUCO,sospecha diagnostica,tos ferina,2005-09-01,0,1,0,0,0,1
TARIJA,sospecha diagnostica,tos ferina,2005-09-01,2,2,0,0,0,4
LA PAZ,sospecha diagnostica,tos ferina,2005-10-01,4,0,0,0,0,4
LA PAZ,sospecha diagnostica,tos ferina,2005-11-01,4,1,0,0,0,5
MONTERO,sospecha diagnostica,tos ferina,2005-11-01,0,1,0,0,0,1
TARIJA,sospecha diagnostica,tos ferina,2005-11-01,4,0,0,0,0,4
LA PAZ,sospecha diagnostica,tos ferina,2005-12-01,2,2,0,0,0,4
