municipality,group,variable,month,< de 1 año,1 a 4 años,5 a 14 años,15 a 59 años,60 y más,TOTAL
BERMEJO,sospecha diagnostica,enfer. por hanta virus,2005-02-01,0.0,0.0,0.0,1.0,0.0,1.0
URIONDO (A. CONCEPCION),sospecha diagnostica,enfer. por hanta virus,2005-02-01,0.0,0.0,0.0,1.0,0.0,1.0
CHIMORE,sospecha diagnostica,enfer. por hanta virus,2005-03-01,0.0,0.0,0.0,1.0,0.0,1.0
VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2005-03-01,0.0,0.0,0.0,2.0,0.0,2.0
VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2005-04-01,0.0,0.0,1.0,4.0,0.0,5.0
BERMEJO,sospecha diagnostica,enfer. por hanta virus,2005-05-01,0.0,0.0,0.0,1.0,0.0,1.0
SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2005-05-01,0.0,0.0,0.0,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2005-05-01,0.0,0.0,0.0,1.0,0.0,1.0
TARIJA,sospecha diagnostica,enfer. por hanta virus,2005-05-01,0.0,0.0,0.0,3.0,0.0,3.0
VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2005-05-01,0.0,0.0,2.0,1.0,0.0,3.0
SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2005-06-01,0.0,0.0,0.0,2.0,0.0,2.0
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2005-06-01,0.0,0.0,0.0,4.0,0.0,4.0
VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2005-06-01,0.0,0.0,1.0,1.0,0.0,2.0
MONTERO,sospecha diagnostica,enfer. por hanta virus,2005-07-01,0.0,0.0,0.0,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2005-07-01,0.0,1.0,0.0,0.0,0.0,1.0
TARIJA,sospecha diagnostica,enfer. por hanta virus,2005-07-01,0.0,0.0,0.0,2.0,0.0,2.0
SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2005-08-01,0.0,0.0,0.0,1.0,0.0,1.0
TARIJA,sospecha diagnostica,enfer. por hanta virus,2005-08-01,0.0,0.0,0.0,0.0,1.0,1.0
SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2005-09-01,0.0,0.0,1.0,0.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2005-09-01,0.0,0.0,0.0,2.0,0.0,2.0
VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2005-09-01,0.0,0.0,0.0,2.0,0.0,2.0
SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2005-10-01,0.0,0.0,0.0,3.0,0.0,3.0
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2005-10-01,0.0,0.0,0.0,1.0,0.0,1.0
VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2005-10-01,0.0,0.0,1.0,0.0,0.0,1.0
MONTERO,sospecha diagnostica,enfer. por hanta virus,2005-11-01,0.0,0.0,0.0,1.0,0.0,1.0
SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2005-11-01,0.0,0.0,0.0,3.0,0.0,3.0
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2005-11-01,0.0,0.0,0.0,1.0,0.0,1.0
TIRAQUE (CBBA),sospecha diagnostica,enfer. por hanta virus,2005-11-01,0.0,0.0,0.0,1.0,0.0,1.0
BERMEJO,sospecha diagnostica,enfer. por hanta virus,2005-12-01,0.0,0.0,0.0,1.0,0.0,1.0
COCHABAMBA,sospecha diagnostica,enfer. por hanta virus,2005-12-01,0.0,0.0,0.0,2.0,0.0,2.0
SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2005-12-01,0.0,0.0,0.0,1.0,0.0,1.0
VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2005-12-01,0.0,0.0,0.0,5.0,2.0,7.0
