municipality,group,variable,month,Cantidad,TOTAL
ANZALDO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,1,1
BERMEJO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,11,11
BETANZOS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,1,1
"CAIZA ""D""",sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,1,1
CAPINOTA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,19,19
CARAPARI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,24,24
CHALLAPATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,9,9
CHUMA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,1,1
CLIZA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,25,25
COBIJA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,5,5
COCHABAMBA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,336,336
COLCAPIRHUA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,9,9
COLOMI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,3,3
COMARAPA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,3,3
COTAGAITA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,1,1
COTOCA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,4,4
CUATRO CAÑADAS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,1,1
CURAHUARA DE CARANGAS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,1,1
EL ALTO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,156,156
EL CHORO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,1,1
EUCALIPTUS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,2,2
HUANUNI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,1,1
LA GUARDIA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,7,7
LA PAZ,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,515,515
MINEROS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,2,2
MONTERO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,7,7
ORURO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,51,51
PADCAYA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,4,4
POROMA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,1,1
PUERTO ACOSTA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,1,1
PUERTO CARABUCO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,1,1
PUERTO RICO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,1,1
PUERTO VILLARROEL,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,2,2
PUNA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,1,1
QUILLACOLLO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,93,93
SACABA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,102,102
SACACA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,1,1
SAN BENITO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,3,3
SAN JUAN DE YAPACANI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,3,3
SAN LORENZO(TJA),sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,6,6
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,103,103
SANTA ROSA DEL SARA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,15,15
SIPE SIPE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,11,11
SUCRE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,187,187
TARABUCO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,1,1
TARATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,9,9
TARIJA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,158,158
TIQUIPAYA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,24,24
TIRAQUE (CBBA),sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,5,5
TOCO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,4,4
TOLATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,4,4
UMALA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,2,2
URIONDO (A. CONCEPCION),sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,3,3
VALLEGRANDE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,4,4
VILLA MONTES,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,17,17
VILLA TUNARI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,1,1
YACUIBA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,75,75
YOTALA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-01-01,2,2
ANZALDO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,1,1
ARBIETO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,10,10
BERMEJO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,13,13
BETANZOS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,1,1
CAPINOTA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,13,13
CARAPARI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,20,20
CHALLAPATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,4,4
CHAQUI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,2,2
CHUMA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,1,1
CLIZA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,12,12
COBIJA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,7,7
COCHABAMBA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,335,335
COLCAPIRHUA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,3,3
COMARAPA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,2,2
CORO CORO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,1,1
COTOCA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,7,7
CURAHUARA DE CARANGAS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,1,1
EL ALTO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,236,236
EUCALIPTUS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,5,5
HUANUNI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,2,2
ICLA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,3,3
LA GUARDIA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,8,8
LA PAZ,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,541,541
LAJA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,1,1
MAGDALENA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,1,1
MOCOMOCO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,2,2
MONTERO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,7,7
ORURO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,47,47
PADCAYA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,4,4
PORONGO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,1,1
PUERTO VILLARROEL,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,3,3
PUNATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,1,1
QUILLACOLLO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,126,126
QUIRUSILLAS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,1,1
RIBERALTA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,3,3
SACABA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,108,108
SAN BENITO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,1,1
SAN JUAN DE YAPACANI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,1,1
SAN LORENZO(TJA),sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,6,6
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,68,68
SANTA ROSA DEL SARA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,5,5
SANTIAGO DE CALLAPA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,1,1
SENA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,1,1
SIPE SIPE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,2,2
SUCRE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,200,200
TARABUCO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,2,2
TARATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,3,3
TARIJA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,149,149
TIAWANACU,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,3,3
TIQUIPAYA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,30,30
TOCO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,1,1
TOLATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,3,3
TORO TORO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,1,1
TUPIZA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,51,51
URIONDO (A. CONCEPCION),sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,4,4
VALLEGRANDE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,2,2
VIACHA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,2,2
VILLA MONTES,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,8,8
VILLA TUNARI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,1,1
WARNES,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,2,2
YACUIBA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,68,68
YOTALA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,3,3
ZUDAÑEZ,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-02-01,2,2
ACHACACHI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,1,1
ARBIETO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,10,10
BERMEJO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,14,14
BETANZOS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,2,2
"CAIZA ""D""",sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,1,1
CAMARGO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,1,1
CAPINOTA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,18,18
CAQUIAVIRI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,5,5
CARANAVI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,4,4
CARAPARI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,10,10
CHALLAPATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,12,12
CLIZA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,4,4
COBIJA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,5,5
COCHABAMBA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,361,361
COLCAPIRHUA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,3,3
COLOMI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,13,13
COMARAPA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,1,1
CORO CORO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,4,4
COTOCA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,4,4
CUATRO CAÑADAS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,1,1
CUEVO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,1,1
DESAGUADERO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,1,1
EL ALTO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,236,236
EUCALIPTUS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,1,1
HUANUNI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,12,12
LA GUARDIA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,15,15
LA PAZ,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,556,556
MINEROS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,1,1
MONTERO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,10,10
MOROCHATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,1,1
ORURO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,59,59
PADCAYA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,9,9
PAMPA GRANDE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,1,1
PORONGO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,1,1
POTOSI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,10,10
PUERTO ACOSTA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,1,1
PUERTO VILLARROEL,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,2,2
QUILLACOLLO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,92,92
QUIRUSILLAS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,1,1
SACABA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,133,133
SAN BENITO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,1,1
SAN JULIAN,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,2,2
SAN LORENZO(TJA),sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,12,12
SAN PEDRO DE BUENA VISTA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,1,1
SAN RAMON,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,1,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,265,265
SANTA ROSA DEL SARA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,6,6
SANTIAGO DE CALLAPA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,4,4
SIPE SIPE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,17,17
SUCRE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,306,306
TARABUCO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,4,4
TARATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,1,1
TARIJA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,229,229
