municipality,group,variable,month,Nro.,Nro. Afectados,Nro. Fallecidos,TOTAL
COCAPATA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-01-01,6.0,0.0,0.0,6.0
MOJOCOYA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-01-01,1.0,4.0,0.0,5.0
MONTEAGUDO,registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-01-01,1.0,29.0,0.0,30.0
PADILLA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-01-01,1.0,0.0,0.0,1.0
TOMINA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-01-01,2.0,64.0,0.0,66.0
TRIGAL,registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-01-01,2.0,28.0,0.0,30.0
COCAPATA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-02-01,4.0,0.0,0.0,4.0
EL PUENTE(TJA),registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-02-01,1.0,3.0,0.0,4.0
PUCARA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-02-01,1.0,0.0,0.0,1.0
COCAPATA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-04-01,16.0,0.0,0.0,16.0
PUCARA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-04-01,1.0,2.0,0.0,3.0
COCAPATA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-05-01,11.0,0.0,0.0,11.0
ALCALA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-06-01,1.0,37.0,0.0,38.0
HUANUNI,registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-06-01,5.0,0.0,0.0,5.0
TIQUIPAYA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-06-01,1.0,0.0,0.0,1.0
TIRAQUE (CBBA),registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-06-01,1.0,100.0,0.0,101.0
COCAPATA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-07-01,18.0,0.0,0.0,18.0
ENTRE RIOS TRJ,registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-07-01,3.0,36.0,0.0,39.0
LAGUNILLAS,registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-07-01,3.0,1300.0,0.0,1303.0
MORO MORO,registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-07-01,20.0,72.0,0.0,92.0
PADILLA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-07-01,3.0,0.0,0.0,3.0
PUCARA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-07-01,4.0,1250.0,0.0,1254.0
TRIGAL,registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-07-01,3.0,30.0,0.0,33.0
VALLEGRANDE,registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-07-01,4.0,10805.0,0.0,10809.0
VILLA VACA GUZMAN (MUYUPAMPA),registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-07-01,3.0,12000.0,0.0,12003.0
COCAPATA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-08-01,3.0,70.0,1.0,74.0
HUANUNI,registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-08-01,5.0,0.0,0.0,5.0
LAGUNILLAS,registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-08-01,7.0,3060.0,0.0,3067.0
PAMPA GRANDE,registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-08-01,1.0,1000.0,0.0,1001.0
POSTRER VALLE,registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-08-01,2.0,20.0,0.0,22.0
PUCARA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-08-01,1.0,0.0,0.0,1.0
QUIME,registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-08-01,2.0,1361.0,0.0,1363.0
SAN JOSE DE CHIQUITOS,registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-08-01,1.0,0.0,0.0,1.0
TARVITA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-08-01,2.0,0.0,0.0,2.0
TIQUIPAYA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-08-01,1.0,0.0,0.0,1.0
TIRAQUE (CBBA),registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-08-01,2.0,150.0,0.0,152.0
TRIGAL,registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-08-01,3.0,158.0,0.0,161.0
VACAS,registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-08-01,1.0,0.0,0.0,1.0
MORO MORO,registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-09-01,1.0,0.0,0.0,1.0
PUCARA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-09-01,1.0,0.0,0.0,1.0
TARVITA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-09-01,1.0,20.0,0.0,21.0
CABEZAS,registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-10-01,1.0,0.0,0.0,1.0
COCAPATA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-10-01,17.0,0.0,0.0,17.0
MORO MORO,registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-10-01,1.0,0.0,0.0,1.0
PASORAPA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-10-01,1.0,5.0,0.0,6.0
SOPACHUY,registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-10-01,1.0,50.0,0.0,51.0
YUNCHARA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-11-01,1.0,50.0,0.0,51.0
COTAGAITA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-12-01,1.0,125.0,0.0,126.0
LAGUNILLAS,registro de eventos de notificacion inmediata,helada/granizo/nevada,2013-12-01,1.0,0.0,0.0,1.0
