municipality,group,variable,month,< de 2 años-H,< de 2 años-M,2 a 4 años-H,2 a 4 años-M,TOTAL-H,TOTAL-M,TOTAL
AIQUILE,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,0,1,1,3,1,4,5
ARBIETO,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,1,2,2,1,3,3,6
BELEN DE ANDAMARCA,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,1,0,0,0,1,0,1
BETANZOS,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,2,6,4,5,6,11,17
CARIPUYO,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,4,5,10,12,14,17,31
CHALLAPATA,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,4,9,2,4,6,13,19
CHAYANTA,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,1,2,1,6,2,8,10
CHOQUE COTA,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,1,1,0,1,1,2,3
COLCAPIRHUA,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,0,0,0,8,0,8,8
COLQUIRI,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,2,1,0,0,2,1,3
CORQUE,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,2,3,3,6,5,9,14
CURAHUARA DE CARANGAS,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,3,1,3,1,6,2,8
EL CHORO,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,1,1,0,1,1,2,3
ENTRE RIOS,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,0,1,0,0,0,1,1
EUCALIPTUS,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,0,1,0,0,0,1,1
INQUISIVI,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,7,2,3,3,10,5,15
LA GUARDIA,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,3,4,4,1,7,5,12
LLALLAGUA,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,6,8,3,1,9,9,18
LORETO,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,5,3,1,2,6,5,11
MOROCHATA,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,2,0,0,0,2,0,2
ORURO,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,15,16,6,8,21,24,45
POOPO,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,1,0,1,1,2,1,3
REYES,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,4,4,3,1,7,5,12
SABAYA,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,3,2,1,1,4,3,7
SALINAS DE GARCI MENDOZA,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,1,0,2,0,3,0,3
SAN ANDRES,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,33,32,34,33,67,65,132
SAN JAVIER(BNI),desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,15,5,7,16,22,21,43
SAN LORENZO(TJA),desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,0,10,4,5,4,15,19
SAN PEDRO DE BUENA VISTA,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,3,0,0,0,3,0,3
SANTA CRUZ DE LA SIERRA,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,327,294,187,146,514,440,954
SORACACHI,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,0,2,1,0,1,2,3
