municipality,group,variable,month,< de 2 años-H,< de 2 años-M,2 a 4 años-H,2 a 4 años-M,TOTAL-H,TOTAL-M,TOTAL
ARBIETO,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,2,0,0,0,2,0,2
BELEN DE ANDAMARCA,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,1,0,0,0,1,0,1
CHALLAPATA,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,17,23,18,7,35,30,65
CHOQUE COTA,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,1,4,2,3,3,7,10
COLQUIRI,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,15,15,7,2,22,17,39
CORQUE,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,2,1,3,7,5,8,13
CURAHUARA DE CARANGAS,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,3,1,5,1,8,2,10
EUCALIPTUS,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,4,2,5,1,9,3,12
ICHOCA,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,0,2,0,1,0,3,3
INQUISIVI,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,12,2,15,14,27,16,43
LA GUARDIA,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,9,11,3,4,12,15,27
LLALLAGUA,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,5,2,1,0,6,2,8
MOROCHATA,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,9,0,0,0,9,0,9
ORURO,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,41,37,13,19,54,56,110
POOPO,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,3,3,7,3,10,6,16
REYES,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,2,4,4,2,6,6,12
RURRENABAQUE,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,0,0,0,1,0,1,1
SABAYA,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,2,3,1,0,3,3,6
SALINAS DE GARCI MENDOZA,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,4,1,9,5,13,6,19
SAN ANDRES,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,3,10,4,2,7,12,19
SAN JAVIER(BNI),desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,0,0,1,1,1,1,2
SAN LORENZO(TJA),desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,0,2,0,0,0,2,2
SANTA CRUZ DE LA SIERRA,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,13,11,3,3,16,14,30
SORACACHI,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,1,1,2,1,3,2,5
SUCRE,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,1,0,0,1,1,1,2
TARATA,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,1,0,0,0,1,0,1
TARIJA,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,11,20,31,25,42,45,87
TOLATA,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,0,0,1,0,1,0,1
TORO TORO,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,2,0,0,0,2,0,2
TOTORA(ORR),desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,4,6,10,3,14,9,23
TRINIDAD,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,8,9,2,3,10,12,22
TURCO,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,10,7,3,2,13,9,22
VILLA TUNARI,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,1,0,0,0,1,0,1
YACUIBA,desnutricion global - cronica,cronica talla baja (m + g),2007-01-01,6,3,3,5,9,8,17
ANDAMARCA,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,4,2,3,0,7,2,9
ANZALDO,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,4,1,2,1,6,2,8
ASCENCION DE GUARAYOS,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,5,4,1,2,6,6,12
BELEN DE ANDAMARCA,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,1,0,0,0,1,0,1
CHALLAPATA,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,11,16,10,8,21,24,45
CHIPAYA,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,0,0,0,1,0,1,1
CHOQUE COTA,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,1,0,1,0,2,0,2
COIPASA,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,1,0,0,0,1,0,1
COLQUECHACA,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,0,0,0,2,0,2,2
COLQUIRI,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,14,9,4,1,18,10,28
CORQUE,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,1,1,4,3,5,4,9
CURAHUARA DE CARANGAS,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,0,2,0,1,0,3,3
EL CHORO,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,1,0,0,2,1,2,3
EUCALIPTUS,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,0,1,0,0,0,1,1
HUANUNI,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,0,2,0,1,0,3,3
ICHOCA,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,3,4,0,2,3,6,9
INQUISIVI,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,13,1,8,6,21,7,28
LLALLAGUA,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,1,2,1,0,2,2,4
MACHACAMARCA,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,3,0,4,2,7,2,9
ORURO,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,45,26,15,17,60,43,103
POOPO,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,1,2,2,4,3,6,9
PUERTO GONZALO MORENO,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,2,0,0,0,2,0,2
SABAYA,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,1,2,1,1,2,3,5
SACABAMBA,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,1,1,0,0,1,1,2
SALINAS DE GARCI MENDOZA,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,0,2,2,3,2,5,7
SAN JAVIER(BNI),desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,15,3,1,2,16,5,21
SORACACHI,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,1,2,1,2,2,4,6
SUCRE,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,0,0,1,0,1,0,1
TARIJA,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,18,30,44,40,62,70,132
TOLATA,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,0,1,0,0,0,1,1
TOLEDO,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,1,0,0,0,1,0,1
TORO TORO,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,7,2,4,2,11,4,15
TOTORA(ORR),desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,2,1,2,3,4,4,8
TURCO,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,2,10,5,0,7,10,17
YACUIBA,desnutricion global - cronica,cronica talla baja (m + g),2007-02-01,3,10,3,12,6,22,28
ANDAMARCA,desnutricion global - cronica,cronica talla baja (m + g),2007-03-01,10,8,13,15,23,23,46
ANZALDO,desnutricion global - cronica,cronica talla baja (m + g),2007-03-01,2,2,5,2,7,4,11
ARBIETO,desnutricion global - cronica,cronica talla baja (m + g),2007-03-01,1,0,1,1,2,1,3
