,group,variable,month,< de 1 año,< de 1 año,1 a 4 años,1 a 4 años,5 a 9 años,5 a 9 años,10 a 20 años,10 a 20 años,21 a 59 años,21 a 59 años,60 y más,60 y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACHACACHI,violencia  intrafamiliar,intrafamiliar/domestica,2009-01-01,0,0,0,0,0,0,1,0,1,3,0,0,2,3,5
ANCORAIMES,violencia  intrafamiliar,intrafamiliar/domestica,2009-01-01,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3
ARANI,violencia  intrafamiliar,intrafamiliar/domestica,2009-01-01,0,0,0,0,0,0,0,1,0,5,0,0,0,6,6
ARQUE,violencia  intrafamiliar,intrafamiliar/domestica,2009-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
ATOCHA,violencia  intrafamiliar,intrafamiliar/domestica,2009-01-01,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2
AYATA,violencia  intrafamiliar,intrafamiliar/domestica,2009-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),violencia  intrafamiliar,intrafamiliar/domestica,2009-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
AZURDUY,violencia  intrafamiliar,intrafamiliar/domestica,2009-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
BETANZOS,violencia  intrafamiliar,intrafamiliar/domestica,2009-01-01,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2
CAJUATA,violencia  intrafamiliar,intrafamiliar/domestica,2009-01-01,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2
CALAMARCA,violencia  intrafamiliar,intrafamiliar/domestica,2009-01-01,0,0,0,0,0,1,1,0,0,1,0,0,1,2,3
CAMARGO,violencia  intrafamiliar,intrafamiliar/domestica,2009-01-01,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2
CAMIRI,violencia  intrafamiliar,intrafamiliar/domestica,2009-01-01,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2
CARACOLLO,violencia  intrafamiliar,intrafamiliar/domestica,2009-01-01,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4
CHALLAPATA,violencia  intrafamiliar,intrafamiliar/domestica,2009-01-01,0,0,0,1,0,0,0,1,0,1,0,0,0,3,3
CHULUMANI (V. DE LA LIBERTAD),violencia  intrafamiliar,intrafamiliar/domestica,2009-01-01,0,0,0,0,0,0,1,1,0,2,0,0,1,3,4
CHUMA,violencia  intrafamiliar,intrafamiliar/domestica,2009-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CLIZA,violencia  intrafamiliar,intrafamiliar/domestica,2009-01-01,0,0,0,0,0,0,0,0,1,10,0,0,1,10,11
COCHABAMBA,violencia  intrafamiliar,intrafamiliar/domestica,2009-01-01,0,0,0,0,1,1,0,3,1,9,0,0,2,13,15
COLCAPIRHUA,violencia  intrafamiliar,intrafamiliar/domestica,2009-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
