municipality,group,variable,month,TOTAL
ALCALA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-01-01,448.0
CARIPUYO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-01-01,81.0
MOCOMOCO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-01-01,181.0
PADCAYA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-01-01,46.0
POROMA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-01-01,6.0
SUCRE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-01-01,7.0
TAPACARI,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-01-01,42.0
TUPIZA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-01-01,1.0
VILLA CHARCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-01-01,2.0
VILLA VACA GUZMAN (MUYUPAMPA),eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-01-01,131.0
VILLAZON,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-01-01,196.0
BETANZOS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-02-01,11.0
ICLA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-02-01,211.0
OCURI,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-02-01,41.0
LAS CARRERAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-03-01,520.0
PAMPA AULLAGAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-03-01,302.0
SAN LUCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-03-01,42.0
VILLAZON,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-03-01,263.0
ALCALA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-04-01,130.0
ICLA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-04-01,185.0
PADILLA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-04-01,146.0
PUCARA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-04-01,1.0
ALCALA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-05-01,177.0
EL VILLAR,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-05-01,2.0
PAMPA GRANDE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-05-01,98.0
POROMA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-05-01,11.0
POSTRER VALLE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-05-01,5.0
PUCARA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-05-01,2.0
QUIRUSILLAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-05-01,414.0
SAMAIPATA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-05-01,1.0
TOMINA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-05-01,171.0
TRIGAL,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-05-01,1.0
ALCALA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-07-01,2.0
EL VILLAR,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-08-01,1.0
PADILLA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-08-01,3.0
PUCARA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-08-01,2.0
TOMINA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-08-01,329.0
VALLEGRANDE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-08-01,2.0
EL PUENTE(TJA),eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-09-01,1.0
LAS CARRERAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-09-01,321.0
SAN LUCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-09-01,223.0
TIRAQUE (CBBA),eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-09-01,1.0
BETANZOS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-10-01,577.0
CAMARGO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-10-01,56.0
CHUQUIHUTA AYLLU JUCUMANI,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-10-01,3.0
EL PUENTE(TJA),eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-10-01,1.0
PADILLA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-10-01,78.0
SAN LUCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-10-01,1127.0
TOMINA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-10-01,105.0
ALCALA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-11-01,171.0
BETANZOS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-11-01,253.0
COTAGAITA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-11-01,727.0
CULPINA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-11-01,42.0
INCAHUASI,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-11-01,614.0
LAGUNILLAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-11-01,33.0
OCURI,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-11-01,46.0
POROMA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-11-01,12.0
RAVELO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-11-01,217.0
SAN LUCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2020-11-01,1264.0
