municipality,group,variable,month,TOTAL
EL VILLAR,eventos - notificacion inmediata parte i,incendio,2020-05-01,1.0
TIAHUANACU,eventos - notificacion inmediata parte i,incendio,2020-05-01,10.0
ICLA,eventos - notificacion inmediata parte i,incendio,2020-06-01,9.0
PADCAYA,eventos - notificacion inmediata parte i,incendio,2020-06-01,1.0
SUCRE,eventos - notificacion inmediata parte i,incendio,2020-06-01,1.0
GRAL. J.J. PEREZ (CHARAZANI),eventos - notificacion inmediata parte i,incendio,2020-07-01,1.0
ZUDAÑEZ,eventos - notificacion inmediata parte i,incendio,2020-07-01,2.0
PADCAYA,eventos - notificacion inmediata parte i,incendio,2020-08-01,1.0
TIRAQUE (CBBA),eventos - notificacion inmediata parte i,incendio,2020-08-01,14.0
EL VILLAR,eventos - notificacion inmediata parte i,incendio,2020-09-01,2.0
HUACARETA,eventos - notificacion inmediata parte i,incendio,2020-09-01,23.0
LAGUNILLAS,eventos - notificacion inmediata parte i,incendio,2020-09-01,709.0
MACHARETI,eventos - notificacion inmediata parte i,incendio,2020-09-01,691.0
MAGDALENA,eventos - notificacion inmediata parte i,incendio,2020-09-01,1.0
MONTEAGUDO,eventos - notificacion inmediata parte i,incendio,2020-09-01,6.0
PADILLA,eventos - notificacion inmediata parte i,incendio,2020-09-01,5.0
POSTRER VALLE,eventos - notificacion inmediata parte i,incendio,2020-09-01,2.0
PRESTO,eventos - notificacion inmediata parte i,incendio,2020-09-01,38.0
ROBORE,eventos - notificacion inmediata parte i,incendio,2020-09-01,1.0
SAN IGNACIO DE VELASCO,eventos - notificacion inmediata parte i,incendio,2020-09-01,3327.0
SAN MIGUEL DE VELASCO,eventos - notificacion inmediata parte i,incendio,2020-09-01,21.0
SUCRE,eventos - notificacion inmediata parte i,incendio,2020-09-01,1.0
VALLEGRANDE,eventos - notificacion inmediata parte i,incendio,2020-09-01,2.0
VILLA VACA GUZMAN (MUYUPAMPA),eventos - notificacion inmediata parte i,incendio,2020-09-01,5.0
APOLO,eventos - notificacion inmediata parte i,incendio,2020-10-01,21.0
EL PUENTE(STC),eventos - notificacion inmediata parte i,incendio,2020-10-01,1.0
MACHARETI,eventos - notificacion inmediata parte i,incendio,2020-10-01,1.0
MONTEAGUDO,eventos - notificacion inmediata parte i,incendio,2020-10-01,106.0
PADCAYA,eventos - notificacion inmediata parte i,incendio,2020-10-01,18.0
PADILLA,eventos - notificacion inmediata parte i,incendio,2020-10-01,6.0
ROBORE,eventos - notificacion inmediata parte i,incendio,2020-10-01,2.0
SAMAIPATA,eventos - notificacion inmediata parte i,incendio,2020-10-01,147.0
SAN IGNACIO DE VELASCO,eventos - notificacion inmediata parte i,incendio,2020-10-01,10.0
SAN MIGUEL DE VELASCO,eventos - notificacion inmediata parte i,incendio,2020-10-01,38.0
VALLEGRANDE,eventos - notificacion inmediata parte i,incendio,2020-10-01,8.0
VILLA VACA GUZMAN (MUYUPAMPA),eventos - notificacion inmediata parte i,incendio,2020-10-01,821.0
CARAPARI,eventos - notificacion inmediata parte i,incendio,2020-11-01,1.0
HUACARETA,eventos - notificacion inmediata parte i,incendio,2020-11-01,28.0
MONTEAGUDO,eventos - notificacion inmediata parte i,incendio,2020-11-01,29.0
PADILLA,eventos - notificacion inmediata parte i,incendio,2020-11-01,5.0
PAILON,eventos - notificacion inmediata parte i,incendio,2020-11-01,51.0
SAMAIPATA,eventos - notificacion inmediata parte i,incendio,2020-11-01,137.0
SAN BORJA,eventos - notificacion inmediata parte i,incendio,2020-11-01,27.0
SAN IGNACIO DE VELASCO,eventos - notificacion inmediata parte i,incendio,2020-11-01,3.0
SAN MIGUEL DE VELASCO,eventos - notificacion inmediata parte i,incendio,2020-11-01,1.0
TIAHUANACU,eventos - notificacion inmediata parte i,incendio,2020-11-01,1.0
VALLEGRANDE,eventos - notificacion inmediata parte i,incendio,2020-11-01,8.0
VILLA VACA GUZMAN (MUYUPAMPA),eventos - notificacion inmediata parte i,incendio,2020-11-01,3.0
