municipality,group,variable,month,TOTAL
COTAGAITA,eventos - notificacion inmediata parte i,riada,2020-01-01,23.0
EL PUENTE(TJA),eventos - notificacion inmediata parte i,riada,2020-01-01,50.0
EL VILLAR,eventos - notificacion inmediata parte i,riada,2020-01-01,122.0
ICLA,eventos - notificacion inmediata parte i,riada,2020-01-01,255.0
SORATA,eventos - notificacion inmediata parte i,riada,2020-01-01,12.0
VILLA CHARCAS,eventos - notificacion inmediata parte i,riada,2020-01-01,390.0
CHARAGUA,eventos - notificacion inmediata parte i,riada,2020-02-01,250.0
COTAGAITA,eventos - notificacion inmediata parte i,riada,2020-02-01,52.0
CURVA,eventos - notificacion inmediata parte i,riada,2020-02-01,1.0
ICLA,eventos - notificacion inmediata parte i,riada,2020-02-01,7.0
JESUS DE MACHACA,eventos - notificacion inmediata parte i,riada,2020-02-01,4.0
PADCAYA,eventos - notificacion inmediata parte i,riada,2020-02-01,1.0
POTOSI,eventos - notificacion inmediata parte i,riada,2020-02-01,2.0
SAN LUCAS,eventos - notificacion inmediata parte i,riada,2020-02-01,98.0
TIQUIPAYA,eventos - notificacion inmediata parte i,riada,2020-02-01,169.0
VILLA CHARCAS,eventos - notificacion inmediata parte i,riada,2020-02-01,17.0
LAS CARRERAS,eventos - notificacion inmediata parte i,riada,2020-03-01,700.0
PAMPA AULLAGAS,eventos - notificacion inmediata parte i,riada,2020-03-01,301.0
TUPIZA,eventos - notificacion inmediata parte i,riada,2020-03-01,20.0
VILLAZON,eventos - notificacion inmediata parte i,riada,2020-03-01,20.0
YAPACANI,eventos - notificacion inmediata parte i,riada,2020-08-01,180.0
AZURDUY,eventos - notificacion inmediata parte i,riada,2020-10-01,10.0
CAMARGO,eventos - notificacion inmediata parte i,riada,2020-10-01,16.0
CAMATAQUI (C. VILLA ABECIA),eventos - notificacion inmediata parte i,riada,2020-10-01,145.0
CHUQUIHUTA AYLLU JUCUMANI,eventos - notificacion inmediata parte i,riada,2020-10-01,6.0
LAS CARRERAS,eventos - notificacion inmediata parte i,riada,2020-10-01,33.0
TOMINA,eventos - notificacion inmediata parte i,riada,2020-10-01,51.0
ALCALA,eventos - notificacion inmediata parte i,riada,2020-11-01,251.0
BOLPEBRA,eventos - notificacion inmediata parte i,riada,2020-12-01,21.0
CHUQUIHUTA AYLLU JUCUMANI,eventos - notificacion inmediata parte i,riada,2020-12-01,4.0
COTAGAITA,eventos - notificacion inmediata parte i,riada,2020-12-01,61.0
VILLAZON,eventos - notificacion inmediata parte i,riada,2020-12-01,10.0
