municipality,group,variable,month,TOTAL
ANZALDO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-01-01,62.0
CAMARGO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-01-01,36.0
ICLA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-01-01,48.0
OCURI,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-01-01,76.0
POROMA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-01-01,21.0
PRESTO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-01-01,39.0
PUNA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-01-01,91.0
SAN LUCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-01-01,231.0
TARVITA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-01-01,2.0
TOMINA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-01-01,161.0
ZUDAÑEZ,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-01-01,492.0
AUCAPATA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-02-01,1.0
"CAIZA ""D""",eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-02-01,59.0
CAMATAQUI (C. VILLA ABECIA),eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-02-01,348.0
CKOCHAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-02-01,22.0
CULPINA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-02-01,62.0
HUARINA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-02-01,1.0
MOCOMOCO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-02-01,51.0
PAPEL PAMPA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-02-01,1.0
SAN LUCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-02-01,68.0
VILLA CHARCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-02-01,1.0
ZUDAÑEZ,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-02-01,16.0
ANZALDO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-03-01,61.0
BETANZOS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-03-01,767.0
VILLAZON,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-03-01,49.0
CHAQUI,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-04-01,21.0
CHUQUIHUTA AYLLU JUCUMANI,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-04-01,1.0
ICLA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-04-01,706.0
INCAHUASI,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-04-01,551.0
SAN LUCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-04-01,145.0
ALCALA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-05-01,3.0
TARIJA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-05-01,851.0
ALCALA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-06-01,1.0
PAMPA GRANDE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-06-01,52.0
POSTRER VALLE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-06-01,3.0
PUCARA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-06-01,1.0
ALCALA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-07-01,3.0
APOLO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-07-01,99.0
AZURDUY,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-07-01,43.0
COCAPATA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-07-01,11.0
CULPINA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-07-01,13.0
ENTRE RIOS TRJ,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-07-01,1047.0
INCAHUASI,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-07-01,363.0
PAMPA AULLAGAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-07-01,1.0
PAMPA GRANDE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-07-01,61.0
POSTRER VALLE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-07-01,1.0
PUCARA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-07-01,3.0
SAN LUCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-07-01,209.0
TARIJA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-07-01,2584.0
TIRAQUE (CBBA),eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-07-01,1.0
VALLEGRANDE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-07-01,1.0
LAGUNILLAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-08-01,1004.0
PAMPA GRANDE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-08-01,133.0
POROMA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-10-01,119.0
SUCRE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-10-01,227.0
TOMINA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-10-01,206.0
ZUDAÑEZ,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-10-01,7.0
ALALAY,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-11-01,8.0
CAMATAQUI (C. VILLA ABECIA),eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-11-01,478.0
CHUQUIHUTA AYLLU JUCUMANI,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-11-01,2.0
ICLA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-11-01,35.0
POROMA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-11-01,21.0
SAN LUCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-11-01,51.0
TOMINA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-11-01,46.0
VILLA CHARCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-11-01,131.0
CAMARGO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-12-01,121.0
CHUQUIHUTA AYLLU JUCUMANI,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-12-01,5.0
ICLA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-12-01,471.0
POROMA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-12-01,371.0
SUCRE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-12-01,153.0
VILLAZON,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-12-01,20.0
VITICHI,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-12-01,332.0
ZUDAÑEZ,eventos - notificacion inmediata parte i,helada/granizo/nevada,2019-12-01,144.0
