municipality,group,variable,month,TOTAL
CAMIRI,eventos - notificacion inmediata parte i,incendio,2019-04-01,4.0
COTOCA,eventos - notificacion inmediata parte i,incendio,2019-04-01,1.0
PADCAYA,eventos - notificacion inmediata parte i,incendio,2019-05-01,1.0
COTAGAITA,eventos - notificacion inmediata parte i,incendio,2019-06-01,23.0
ROBORE,eventos - notificacion inmediata parte i,incendio,2019-07-01,16.0
BERMEJO,eventos - notificacion inmediata parte i,incendio,2019-08-01,2.0
CARANAVI,eventos - notificacion inmediata parte i,incendio,2019-08-01,1.0
CONCEPCION,eventos - notificacion inmediata parte i,incendio,2019-08-01,207.0
ENTRE RIOS TRJ,eventos - notificacion inmediata parte i,incendio,2019-08-01,1.0
PAILON,eventos - notificacion inmediata parte i,incendio,2019-08-01,114.0
ROBORE,eventos - notificacion inmediata parte i,incendio,2019-08-01,1782.0
SACABA,eventos - notificacion inmediata parte i,incendio,2019-08-01,11.0
SAN IGNACIO DE VELASCO,eventos - notificacion inmediata parte i,incendio,2019-08-01,39.0
SAN JOSE DE CHIQUITOS,eventos - notificacion inmediata parte i,incendio,2019-08-01,1838.0
SAN MATIAS,eventos - notificacion inmediata parte i,incendio,2019-08-01,1.0
SAN MIGUEL DE VELASCO,eventos - notificacion inmediata parte i,incendio,2019-08-01,54.0
SAN RAFAEL,eventos - notificacion inmediata parte i,incendio,2019-08-01,14.0
TARABUCO,eventos - notificacion inmediata parte i,incendio,2019-08-01,1.0
VILLA SERRANO,eventos - notificacion inmediata parte i,incendio,2019-08-01,51.0
APOLO,eventos - notificacion inmediata parte i,incendio,2019-09-01,1.0
CARMEN RIVERO TORREZ,eventos - notificacion inmediata parte i,incendio,2019-09-01,2.0
COLPA BELGICA,eventos - notificacion inmediata parte i,incendio,2019-09-01,1.0
CONCEPCION,eventos - notificacion inmediata parte i,incendio,2019-09-01,296.0
PORONGO,eventos - notificacion inmediata parte i,incendio,2019-09-01,1.0
ROBORE,eventos - notificacion inmediata parte i,incendio,2019-09-01,99.0
SAN ANTONIO DE LOMERIO,eventos - notificacion inmediata parte i,incendio,2019-09-01,941.0
SAN IGNACIO DE VELASCO,eventos - notificacion inmediata parte i,incendio,2019-09-01,20.0
SAN JOSE DE CHIQUITOS,eventos - notificacion inmediata parte i,incendio,2019-09-01,3.0
SAN MATIAS,eventos - notificacion inmediata parte i,incendio,2019-09-01,1.0
SAN MIGUEL DE VELASCO,eventos - notificacion inmediata parte i,incendio,2019-09-01,3.0
SAN RAFAEL,eventos - notificacion inmediata parte i,incendio,2019-09-01,8.0
SANTA ROSA DEL SARA,eventos - notificacion inmediata parte i,incendio,2019-09-01,1.0
TARIJA,eventos - notificacion inmediata parte i,incendio,2019-09-01,291.0
URUBICHA,eventos - notificacion inmediata parte i,incendio,2019-09-01,5.0
ZUDAÑEZ,eventos - notificacion inmediata parte i,incendio,2019-09-01,16.0
COTAGAITA,eventos - notificacion inmediata parte i,incendio,2019-10-01,3.0
PUERTO VILLARROEL,eventos - notificacion inmediata parte i,incendio,2019-11-01,1.0
