municipality,group,variable,month,TOTAL
BUENA VISTA,eventos - notificacion inmediata parte i,riada,2019-01-01,151.0
CARANAVI,eventos - notificacion inmediata parte i,riada,2019-01-01,151.0
CHUQUIHUTA AYLLU JUCUMANI,eventos - notificacion inmediata parte i,riada,2019-01-01,7.0
COTAGAITA,eventos - notificacion inmediata parte i,riada,2019-01-01,19.0
EL VILLAR,eventos - notificacion inmediata parte i,riada,2019-01-01,41.0
HUACARETA,eventos - notificacion inmediata parte i,riada,2019-01-01,9.0
HUACAYA (VILLA DE HUACAYA),eventos - notificacion inmediata parte i,riada,2019-01-01,48.0
LAGUNILLAS,eventos - notificacion inmediata parte i,riada,2019-01-01,8.0
MONTEAGUDO,eventos - notificacion inmediata parte i,riada,2019-01-01,10.0
PAPEL PAMPA,eventos - notificacion inmediata parte i,riada,2019-01-01,24.0
SAN BORJA,eventos - notificacion inmediata parte i,riada,2019-01-01,59.0
SAN LUCAS,eventos - notificacion inmediata parte i,riada,2019-01-01,601.0
SICA SICA (VILLA AROMA),eventos - notificacion inmediata parte i,riada,2019-01-01,1.0
VILLA CHARCAS,eventos - notificacion inmediata parte i,riada,2019-01-01,297.0
VILLAZON,eventos - notificacion inmediata parte i,riada,2019-01-01,247.0
BERMEJO,eventos - notificacion inmediata parte i,riada,2019-02-01,1.0
BETANZOS,eventos - notificacion inmediata parte i,riada,2019-02-01,15.0
CAMATAQUI (C. VILLA ABECIA),eventos - notificacion inmediata parte i,riada,2019-02-01,82.0
CARIPUYO,eventos - notificacion inmediata parte i,riada,2019-02-01,6.0
CULPINA,eventos - notificacion inmediata parte i,riada,2019-02-01,62.0
HUACAYA (VILLA DE HUACAYA),eventos - notificacion inmediata parte i,riada,2019-02-01,29.0
ICLA,eventos - notificacion inmediata parte i,riada,2019-02-01,931.0
LAS CARRERAS,eventos - notificacion inmediata parte i,riada,2019-02-01,197.0
PRESTO,eventos - notificacion inmediata parte i,riada,2019-02-01,13.0
SAN PEDRO DE BUENA VISTA,eventos - notificacion inmediata parte i,riada,2019-02-01,1.0
SUCRE,eventos - notificacion inmediata parte i,riada,2019-02-01,101.0
TARABUCO,eventos - notificacion inmediata parte i,riada,2019-02-01,61.0
TIAHUANACU,eventos - notificacion inmediata parte i,riada,2019-02-01,1.0
TOMAVE,eventos - notificacion inmediata parte i,riada,2019-02-01,141.0
VILLA VACA GUZMAN (MUYUPAMPA),eventos - notificacion inmediata parte i,riada,2019-02-01,11.0
VILLAZON,eventos - notificacion inmediata parte i,riada,2019-02-01,146.0
YACUIBA,eventos - notificacion inmediata parte i,riada,2019-02-01,701.0
YAMPARAEZ,eventos - notificacion inmediata parte i,riada,2019-02-01,201.0
CHARAGUA,eventos - notificacion inmediata parte i,riada,2019-03-01,919.0
CHIMORE,eventos - notificacion inmediata parte i,riada,2019-03-01,51.0
LAGUNILLAS,eventos - notificacion inmediata parte i,riada,2019-03-01,15.0
MOJOCOYA,eventos - notificacion inmediata parte i,riada,2019-03-01,82.0
MONTEAGUDO,eventos - notificacion inmediata parte i,riada,2019-03-01,560.0
PADILLA,eventos - notificacion inmediata parte i,riada,2019-03-01,3.0
PAMPA GRANDE,eventos - notificacion inmediata parte i,riada,2019-03-01,81.0
ZUDAÑEZ,eventos - notificacion inmediata parte i,riada,2019-03-01,240.0
CHUQUIHUTA AYLLU JUCUMANI,eventos - notificacion inmediata parte i,riada,2019-04-01,1.0
ICLA,eventos - notificacion inmediata parte i,riada,2019-04-01,8.0
MONTEAGUDO,eventos - notificacion inmediata parte i,riada,2019-04-01,166.0
VILLA VACA GUZMAN (MUYUPAMPA),eventos - notificacion inmediata parte i,riada,2019-04-01,285.0
SUCRE,eventos - notificacion inmediata parte i,riada,2019-10-01,1.0
TOMINA,eventos - notificacion inmediata parte i,riada,2019-10-01,7.0
BUENA VISTA,eventos - notificacion inmediata parte i,riada,2019-11-01,57.0
CHUQUIHUTA AYLLU JUCUMANI,eventos - notificacion inmediata parte i,riada,2019-11-01,3.0
ICLA,eventos - notificacion inmediata parte i,riada,2019-11-01,37.0
VILLAZON,eventos - notificacion inmediata parte i,riada,2019-11-01,8.0
CHUQUIHUTA AYLLU JUCUMANI,eventos - notificacion inmediata parte i,riada,2019-12-01,8.0
EL PUENTE(TJA),eventos - notificacion inmediata parte i,riada,2019-12-01,11.0
