,group,variable,month,< de 1 año,< de 1 año,1 a 4 años,1 a 4 años,5 a 9 años,5 a 9 años,10 a 20 años,10 a 20 años,21 a 59 años,21 a 59 años,60 y más,60 y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACHACACHI,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2
ASCENCION DE GUARAYOS,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,1,2,0,0,0,3,3,8,4,0,0,13,8,21
BERMEJO,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,0,0,1,0,11,0,1,0,13,0,13
BOYUIBE,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
BUENA VISTA,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,0,1,1,1,3,1,0,0,4,3,7
CABEZAS,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CALAMARCA,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,0,1,3,1,5,9,2,3,10,14,24
CAMARGO,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
CHALLAPATA,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
CHIMORE,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,0,0,1,0,2,0,0,0,3,0,3
CHULUMANI (V. DE LA LIBERTAD),"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
COBIJA,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,0,0,0,0,3,2,0,0,3,2,5
COCHABAMBA,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,0,1,3,0,7,4,3,1,13,6,19
COLOMI,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,2,0,3,0,2,2,0,0,7,2,9
COMANCHE,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
COMARAPA,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,0,0,1,0,3,1,0,0,4,1,5
CONCEPCION,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,2,0,2,0,1,0,4,3,0,0,9,3,12
CORIPATA,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,0,0,0,0,1,0,2,0,0,0,3,0,3
COROICO,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,2,0,0,0,5,3,6,4,0,0,13,7,20
COTOCA,"violencia, hechos de transito y accidentes",hechos de transito,2012-01-01,0,0,1,0,0,0,1,1,2,2,2,0,6,3,9
