,group,variable,month,< de 1 año,< de 1 año,1 a 4 años,1 a 4 años,5 a 9 años,5 a 9 años,10 a 20 años,10 a 20 años,21 a 59 años,21 a 59 años,60 y más,60 y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ALCALA,"violencia, hechos de transito y accidentes",accidentes,2012-01-01,0,0,2,1,0,0,2,0,1,2,0,1,5,4,9
ANCORAIMES,"violencia, hechos de transito y accidentes",accidentes,2012-01-01,0,0,0,0,0,0,0,0,1,3,4,2,5,5,10
APOLO,"violencia, hechos de transito y accidentes",accidentes,2012-01-01,0,0,0,0,0,0,2,0,1,0,0,0,3,0,3
ASCENCION DE GUARAYOS,"violencia, hechos de transito y accidentes",accidentes,2012-01-01,1,0,3,0,0,1,3,1,8,1,1,0,16,3,19
ATOCHA,"violencia, hechos de transito y accidentes",accidentes,2012-01-01,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2
AYO AYO,"violencia, hechos de transito y accidentes",accidentes,2012-01-01,0,0,0,1,0,0,0,2,3,0,0,0,3,3,6
AYOPAYA (V. DE INDEPENDENCIA),"violencia, hechos de transito y accidentes",accidentes,2012-01-01,1,0,1,1,0,0,1,0,0,0,0,1,3,2,5
BAURES,"violencia, hechos de transito y accidentes",accidentes,2012-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
BOLPEBRA,"violencia, hechos de transito y accidentes",accidentes,2012-01-01,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2
BOYUIBE,"violencia, hechos de transito y accidentes",accidentes,2012-01-01,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
"CAIZA ""D""","violencia, hechos de transito y accidentes",accidentes,2012-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
CALAMARCA,"violencia, hechos de transito y accidentes",accidentes,2012-01-01,0,0,4,2,1,0,3,1,5,3,3,2,16,8,24
CAMIRI,"violencia, hechos de transito y accidentes",accidentes,2012-01-01,0,0,0,0,0,0,1,0,3,0,0,0,4,0,4
CAQUIAVIRI,"violencia, hechos de transito y accidentes",accidentes,2012-01-01,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2
CARMEN RIVERO TORREZ,"violencia, hechos de transito y accidentes",accidentes,2012-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CHALLAPATA,"violencia, hechos de transito y accidentes",accidentes,2012-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
CHAYANTA,"violencia, hechos de transito y accidentes",accidentes,2012-01-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
CHIMORE,"violencia, hechos de transito y accidentes",accidentes,2012-01-01,0,0,3,1,1,0,5,1,9,3,1,0,19,5,24
CLIZA,"violencia, hechos de transito y accidentes",accidentes,2012-01-01,0,0,0,0,0,1,1,0,0,2,0,1,1,4,5
COBIJA,"violencia, hechos de transito y accidentes",accidentes,2012-01-01,3,3,15,1,0,1,15,5,47,19,1,1,81,30,111
COCHABAMBA,"violencia, hechos de transito y accidentes",accidentes,2012-01-01,1,1,5,1,5,6,22,14,49,27,6,12,88,61,149
