municipality,group,variable,month,TOTAL
PUERTO VILLARROEL,eventos - notificacion inmediata parte ii,inundacion,2023-01-01,126.0
LAJA,eventos - notificacion inmediata parte ii,inundacion,2023-02-01,1.0
TIAHUANACU,eventos - notificacion inmediata parte ii,inundacion,2023-02-01,20.0
VALLEGRANDE,eventos - notificacion inmediata parte ii,inundacion,2023-02-01,15.0
ASCENCION DE GUARAYOS,eventos - notificacion inmediata parte ii,inundacion,2023-03-01,2.0
BOLPEBRA,eventos - notificacion inmediata parte ii,inundacion,2023-03-01,76.0
COBIJA,eventos - notificacion inmediata parte ii,inundacion,2023-03-01,443.0
FILADELFIA,eventos - notificacion inmediata parte ii,inundacion,2023-03-01,28.0
SAN BUENA VENTURA,eventos - notificacion inmediata parte ii,inundacion,2023-03-01,11.0
BELLA FLOR,eventos - notificacion inmediata parte ii,inundacion,2023-04-01,39.0
EL VILLAR,eventos - notificacion inmediata parte ii,inundacion,2023-09-01,251.0
TARVITA,eventos - notificacion inmediata parte ii,inundacion,2023-09-01,7.0
LA PAZ,eventos - notificacion inmediata parte ii,inundacion,2023-10-01,40.0
LAS CARRERAS,eventos - notificacion inmediata parte ii,inundacion,2023-10-01,2.0
TARVITA,eventos - notificacion inmediata parte ii,inundacion,2023-10-01,8.0
AIQUILE,eventos - notificacion inmediata parte ii,inundacion,2023-11-01,61.0
TIPUANI,eventos - notificacion inmediata parte ii,inundacion,2023-11-01,16.0
LA ASUNTA,eventos - notificacion inmediata parte ii,inundacion,2023-12-01,1.0
SAN IGNACIO,eventos - notificacion inmediata parte ii,inundacion,2023-12-01,5.0
TIPUANI,eventos - notificacion inmediata parte ii,inundacion,2023-12-01,196.0
