municipality,group,variable,month,TOTAL
CLIZA,eventos - notificacion inmediata parte ii,inundacion,2017-01-01,1.0
CHIMORE,eventos - notificacion inmediata parte ii,inundacion,2017-03-01,192.0
GUANAY,eventos - notificacion inmediata parte ii,inundacion,2017-03-01,726.0
MACHARETI,eventos - notificacion inmediata parte ii,inundacion,2017-03-01,416.0
VILLA MONTES,eventos - notificacion inmediata parte ii,inundacion,2017-03-01,11.0
VILLA TUNARI,eventos - notificacion inmediata parte ii,inundacion,2017-03-01,898.0
PALOS BLANCOS,eventos - notificacion inmediata parte ii,inundacion,2017-04-01,521.0
TRINIDAD,eventos - notificacion inmediata parte ii,inundacion,2017-04-01,370.0
VILLA MONTES,eventos - notificacion inmediata parte ii,inundacion,2017-04-01,31.0
MAPIRI,eventos - notificacion inmediata parte ii,inundacion,2017-10-01,11.0
MAPIRI,eventos - notificacion inmediata parte ii,inundacion,2017-11-01,11.0
CHIMORE,eventos - notificacion inmediata parte ii,inundacion,2017-12-01,61.0
ICLA,eventos - notificacion inmediata parte ii,inundacion,2017-12-01,11.0
RURRENABAQUE,eventos - notificacion inmediata parte ii,inundacion,2017-12-01,151.0
TRINIDAD,eventos - notificacion inmediata parte ii,inundacion,2017-12-01,1.0
