municipality,group,variable,month,< de 1 año-H,< de 1 año-M,1 a 4 años-H,1 a 4 años-M,5 a 14 años-H,5 a 14 años-M,15 a 59 años-H,15 a 59 años-M,60 y más-H,60 y más-M,TOTAL-H,TOTAL-M,TOTAL
ASCENCION DE GUARAYOS,inmunoprevenibles,tetanos,2007-01-01,0,0,1,0,0,1,0,0,0,0,1,1,2
SAN IGNACIO DE VELASCO,inmunoprevenibles,tetanos,2007-01-01,0,0,0,0,1,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,inmunoprevenibles,tetanos,2007-02-01,0,0,0,0,1,0,0,0,0,0,1,0,1
ARQUE,inmunoprevenibles,tetanos,2007-03-01,0,0,0,1,3,5,2,2,1,2,6,10,16
COTOCA,inmunoprevenibles,tetanos,2007-03-01,0,0,0,0,0,0,0,0,1,0,1,0,1
TRINIDAD,inmunoprevenibles,tetanos,2007-03-01,0,0,0,0,1,0,0,0,0,0,1,0,1
EL ALTO,inmunoprevenibles,tetanos,2007-04-01,0,0,0,0,0,0,0,0,1,0,1,0,1
SAN IGNACIO DE VELASCO,inmunoprevenibles,tetanos,2007-04-01,0,0,1,1,0,0,0,0,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,inmunoprevenibles,tetanos,2007-05-01,0,0,0,0,1,0,0,0,0,0,1,0,1
VILLA MONTES,inmunoprevenibles,tetanos,2007-05-01,0,0,0,0,0,0,3,0,0,0,3,0,3
BERMEJO,inmunoprevenibles,tetanos,2007-06-01,0,0,0,0,0,0,1,0,0,0,1,0,1
SAN IGNACIO DE VELASCO,inmunoprevenibles,tetanos,2007-06-01,0,0,0,1,1,0,0,0,0,0,1,1,2
REYES,inmunoprevenibles,tetanos,2007-07-01,0,0,0,0,0,0,0,1,0,0,0,1,1
SUCRE,inmunoprevenibles,tetanos,2007-07-01,0,0,0,0,0,1,0,0,0,0,0,1,1
LA PAZ,inmunoprevenibles,tetanos,2007-08-01,0,0,0,0,0,0,1,0,0,0,1,0,1
SAN MATIAS,inmunoprevenibles,tetanos,2007-08-01,0,0,4,2,1,2,0,0,0,0,5,4,9
TARIJA,inmunoprevenibles,tetanos,2007-08-01,0,0,1,0,0,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,inmunoprevenibles,tetanos,2007-09-01,0,0,0,0,1,0,0,0,0,0,1,0,1
SUCRE,inmunoprevenibles,tetanos,2007-09-01,0,0,0,0,0,1,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,inmunoprevenibles,tetanos,2007-10-01,0,0,0,0,1,0,1,0,0,0,2,0,2
PUNA,inmunoprevenibles,tetanos,2007-11-01,0,0,0,0,0,1,0,0,0,0,0,1,1
SUCRE,inmunoprevenibles,tetanos,2007-11-01,0,0,0,0,0,0,1,0,0,0,1,0,1
CUATRO CAÑADAS,inmunoprevenibles,tetanos,2007-12-01,0,0,0,0,0,0,0,1,0,0,0,1,1
EL TORNO,inmunoprevenibles,tetanos,2007-12-01,0,0,0,0,0,0,0,0,1,0,1,0,1
SAN PEDRO,inmunoprevenibles,tetanos,2007-12-01,0,0,0,0,0,0,0,1,0,0,0,1,1
