municipality,group,variable,month,< de 1 año,1 a 4 años,5 a 9 años,10 a 20 años,21 a 59 años,60 y más,TOTAL
LA PAZ,sospecha diagnostica,tos ferina,2008-01-01,0,1,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2008-01-01,0,1,0,0,0,0,1
LA PAZ,sospecha diagnostica,tos ferina,2008-02-01,2,0,0,0,0,0,2
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2008-02-01,0,0,0,0,0,0,0
LA PAZ,sospecha diagnostica,tos ferina,2008-03-01,2,0,0,0,0,0,2
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2008-03-01,0,0,0,0,0,0,0
CAMIRI,sospecha diagnostica,tos ferina,2008-04-01,0,1,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2008-04-01,0,0,0,0,0,0,0
VILLA TUNARI,sospecha diagnostica,tos ferina,2008-04-01,0,1,0,0,0,0,1
LA PAZ,sospecha diagnostica,tos ferina,2008-05-01,5,0,0,0,0,0,5
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2008-05-01,0,0,0,0,0,0,0
VILLA TUNARI,sospecha diagnostica,tos ferina,2008-05-01,0,0,0,1,0,0,1
EL ALTO,sospecha diagnostica,tos ferina,2008-06-01,1,0,0,0,0,0,1
LA PAZ,sospecha diagnostica,tos ferina,2008-06-01,1,2,0,0,0,0,3
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2008-06-01,0,0,0,0,0,0,0
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2008-07-01,0,0,0,0,0,0,0
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2008-08-01,1,1,1,0,0,0,3
LA PAZ,sospecha diagnostica,tos ferina,2008-09-01,3,1,0,0,0,0,4
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2008-09-01,0,1,1,0,0,0,2
CAMIRI,sospecha diagnostica,tos ferina,2008-10-01,5,2,2,0,0,0,9
EL ALTO,sospecha diagnostica,tos ferina,2008-10-01,1,0,0,0,0,0,1
LA PAZ,sospecha diagnostica,tos ferina,2008-10-01,1,0,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2008-10-01,4,5,0,0,0,0,9
LA PAZ,sospecha diagnostica,tos ferina,2008-11-01,6,4,0,0,0,0,10
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2008-11-01,2,0,0,0,0,0,2
LA PAZ,sospecha diagnostica,tos ferina,2008-12-01,2,2,0,0,0,0,4
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2008-12-01,1,0,1,1,0,0,3
