municipality,group,variable,month,< de 1 año,1 a 4 años,5 a 9 años,10 a 20 años,21 a 59 años,60 y más,TOTAL
BERMEJO,sospecha diagnostica,enfer. por hanta virus,2008-01-01,0.0,1.0,1.0,2.0,5.0,0.0,9.0
COCHABAMBA,sospecha diagnostica,enfer. por hanta virus,2008-01-01,0.0,0.0,0.0,0.0,2.0,0.0,2.0
PUERTO VILLARROEL,sospecha diagnostica,enfer. por hanta virus,2008-01-01,0.0,0.0,0.0,0.0,1.0,0.0,1.0
SAN JULIAN,sospecha diagnostica,enfer. por hanta virus,2008-01-01,0.0,0.0,0.0,0.0,0.0,2.0,2.0
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TARIJA,sospecha diagnostica,enfer. por hanta virus,2008-01-01,0.0,0.0,0.0,0.0,1.0,0.0,1.0
VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2008-01-01,0.0,2.0,2.0,3.0,2.0,0.0,9.0
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2008-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2008-02-01,0.0,1.0,0.0,3.0,3.0,0.0,7.0
BERMEJO,sospecha diagnostica,enfer. por hanta virus,2008-03-01,0.0,0.0,0.0,1.0,0.0,0.0,1.0
COCHABAMBA,sospecha diagnostica,enfer. por hanta virus,2008-03-01,0.0,0.0,0.0,1.0,0.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2008-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2008-03-01,0.0,0.0,0.0,2.0,5.0,1.0,8.0
BERMEJO,sospecha diagnostica,enfer. por hanta virus,2008-04-01,0.0,0.0,0.0,0.0,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2008-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TARIJA,sospecha diagnostica,enfer. por hanta virus,2008-04-01,0.0,0.0,0.0,0.0,1.0,0.0,1.0
VILLA MONTES,sospecha diagnostica,enfer. por hanta virus,2008-04-01,0.0,0.0,0.0,0.0,1.0,0.0,1.0
VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2008-04-01,0.0,0.0,0.0,1.0,2.0,0.0,3.0
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2008-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BERMEJO,sospecha diagnostica,enfer. por hanta virus,2008-06-01,0.0,0.0,1.0,0.0,0.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2008-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2008-06-01,0.0,0.0,0.0,1.0,0.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2008-07-01,0.0,0.0,0.0,1.0,0.0,0.0,1.0
VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2008-07-01,0.0,0.0,0.0,0.0,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2008-08-01,0.0,0.0,0.0,0.0,1.0,0.0,1.0
VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2008-08-01,0.0,0.0,0.0,0.0,4.0,0.0,4.0
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2008-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2008-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TARIJA,sospecha diagnostica,enfer. por hanta virus,2008-10-01,0.0,0.0,0.0,1.0,0.0,0.0,1.0
VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2008-10-01,0.0,0.0,0.0,0.0,4.0,0.0,4.0
PADCAYA,sospecha diagnostica,enfer. por hanta virus,2008-11-01,0.0,0.0,0.0,0.0,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2008-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
