,group,variable,month,< de 1 año,< de 1 año,1 a menor de 2 años,1 a menor de 2 años,2 a menor de 5 años,2 a menor de 5 años,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,
ACHACACHI,talla para la edad (t/e),talla baja (tb),2008-01-01,6,3,7,2,7,7,20,12,32
ACHOCALLA,talla para la edad (t/e),talla baja (tb),2008-01-01,2,1,2,2,1,3,5,6,11
ANDAMARCA,talla para la edad (t/e),talla baja (tb),2008-01-01,2,1,5,4,4,7,11,12,23
ANTEQUERA,talla para la edad (t/e),talla baja (tb),2008-01-01,17,8,13,5,25,15,55,28,83
ANZALDO,talla para la edad (t/e),talla baja (tb),2008-01-01,2,4,3,5,7,5,12,14,26
APOLO,talla para la edad (t/e),talla baja (tb),2008-01-01,1,5,1,6,7,4,9,15,24
ARANI,talla para la edad (t/e),talla baja (tb),2008-01-01,5,1,3,0,3,3,11,4,15
ARBIETO,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,1,2,0,0,1,2,3
ASCENCION DE GUARAYOS,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,0,1,0,0,0,1,1
ATOCHA,talla para la edad (t/e),talla baja (tb),2008-01-01,4,8,12,11,10,19,26,38,64
AUCAPATA,talla para la edad (t/e),talla baja (tb),2008-01-01,2,1,8,9,14,7,24,17,41
AYATA,talla para la edad (t/e),talla baja (tb),2008-01-01,9,12,12,6,16,15,37,33,70
BATALLAS,talla para la edad (t/e),talla baja (tb),2008-01-01,18,7,13,17,22,14,53,38,91
BAURES,talla para la edad (t/e),talla baja (tb),2008-01-01,2,3,2,2,9,11,13,16,29
BERMEJO,talla para la edad (t/e),talla baja (tb),2008-01-01,2,0,0,1,2,1,4,2,6
BETANZOS,talla para la edad (t/e),talla baja (tb),2008-01-01,0,2,6,2,12,7,18,11,29
CALAMARCA,talla para la edad (t/e),talla baja (tb),2008-01-01,2,1,0,0,0,0,2,1,3
CAMARGO,talla para la edad (t/e),talla baja (tb),2008-01-01,15,13,28,12,26,22,69,47,116
CARACOLLO,talla para la edad (t/e),talla baja (tb),2008-01-01,6,3,5,4,17,16,28,23,51
CARIPUYO,talla para la edad (t/e),talla baja (tb),2008-01-01,25,17,35,17,69,88,129,122,251
CARMEN RIVERO TORREZ,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,3,6,3,1,6,7,13
CATACORA,talla para la edad (t/e),talla baja (tb),2008-01-01,2,0,0,1,5,4,7,5,12
CHALLAPATA,talla para la edad (t/e),talla baja (tb),2008-01-01,20,23,16,30,48,37,84,90,174
CHAQUI,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,2,0,0,2,2,2,4
CHAYANTA,talla para la edad (t/e),talla baja (tb),2008-01-01,2,1,2,4,15,15,19,20,39
CHUMA,talla para la edad (t/e),talla baja (tb),2008-01-01,13,12,24,21,39,30,76,63,139
CLIZA,talla para la edad (t/e),talla baja (tb),2008-01-01,6,2,13,11,7,4,26,17,43
COIPASA,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,0,0,1,0,1,0,1
COLCAPIRHUA,talla para la edad (t/e),talla baja (tb),2008-01-01,2,0,2,5,1,2,5,7,12
"COLCHA ""K""",talla para la edad (t/e),talla baja (tb),2008-01-01,3,1,1,2,2,2,6,5,11
COLLANA,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,0,1,0,4,0,5,5
COLOMI,talla para la edad (t/e),talla baja (tb),2008-01-01,7,5,10,15,15,15,32,35,67
COLQUENCHA,talla para la edad (t/e),talla baja (tb),2008-01-01,6,5,12,6,11,11,29,22,51
COLQUIRI,talla para la edad (t/e),talla baja (tb),2008-01-01,20,16,18,13,38,32,76,61,137
COPACABANA,talla para la edad (t/e),talla baja (tb),2008-01-01,4,10,9,8,13,14,26,32,58
CORIPATA,talla para la edad (t/e),talla baja (tb),2008-01-01,3,2,2,0,1,0,6,2,8
CORO CORO,talla para la edad (t/e),talla baja (tb),2008-01-01,3,1,3,2,5,3,11,6,17
COROICO,talla para la edad (t/e),talla baja (tb),2008-01-01,6,12,3,12,9,19,18,43,61
CORQUE,talla para la edad (t/e),talla baja (tb),2008-01-01,3,3,2,1,5,2,10,6,16
COTAGAITA,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,4,3,3,7,7,10,17
CURAHUARA DE CARANGAS,talla para la edad (t/e),talla baja (tb),2008-01-01,7,4,8,12,5,6,20,22,42
CURVA,talla para la edad (t/e),talla baja (tb),2008-01-01,2,0,3,3,11,7,16,10,26
DESAGUADERO,talla para la edad (t/e),talla baja (tb),2008-01-01,2,2,4,5,4,5,10,12,22
EL ALTO,talla para la edad (t/e),talla baja (tb),2008-01-01,189,136,198,150,178,171,565,457,1022
EL CHORO,talla para la edad (t/e),talla baja (tb),2008-01-01,6,2,7,8,12,5,25,15,40
ENTRE RIOS,talla para la edad (t/e),talla baja (tb),2008-01-01,3,3,6,6,9,5,18,14,32
EUCALIPTUS,talla para la edad (t/e),talla baja (tb),2008-01-01,1,0,3,3,7,7,11,10,21
GRAL. J.J. PEREZ (CHARAZANI),talla para la edad (t/e),talla baja (tb),2008-01-01,11,4,10,7,20,20,41,31,72
GUAQUI,talla para la edad (t/e),talla baja (tb),2008-01-01,2,4,5,0,1,1,8,5,13
GUTIERREZ,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,3,11,9,8,12,19,31
HUACHACALLA,talla para la edad (t/e),talla baja (tb),2008-01-01,1,0,0,1,2,1,3,2,5
HUANUNI,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,2,1,1,1,3,2,5
HUARACAJE,talla para la edad (t/e),talla baja (tb),2008-01-01,1,0,1,1,3,6,5,7,12
HUAYLLAMARCA,talla para la edad (t/e),talla baja (tb),2008-01-01,3,1,1,2,5,2,9,5,14
ICHOCA,talla para la edad (t/e),talla baja (tb),2008-01-01,1,2,2,1,8,7,11,10,21
ICLA,talla para la edad (t/e),talla baja (tb),2008-01-01,18,21,42,35,129,108,189,164,353
INCAHUASI,talla para la edad (t/e),talla baja (tb),2008-01-01,1,0,4,5,4,10,9,15,24
INQUISIVI,talla para la edad (t/e),talla baja (tb),2008-01-01,4,2,13,14,9,9,26,25,51
IXIAMAS,talla para la edad (t/e),talla baja (tb),2008-01-01,3,1,2,1,8,7,13,9,22
JESUS DE MACHACA,talla para la edad (t/e),talla baja (tb),2008-01-01,11,17,13,12,21,18,45,47,92
LA PAZ,talla para la edad (t/e),talla baja (tb),2008-01-01,93,71,52,51,83,59,228,181,409
LAJA,talla para la edad (t/e),talla baja (tb),2008-01-01,0,2,4,2,3,2,7,6,13
LAS CARRERAS,talla para la edad (t/e),talla baja (tb),2008-01-01,1,0,0,0,1,0,2,0,2
LICOMA PAMPA,talla para la edad (t/e),talla baja (tb),2008-01-01,0,1,1,1,4,3,5,5,10
LLICA,talla para la edad (t/e),talla baja (tb),2008-01-01,0,1,3,1,1,2,4,4,8
LURIBAY,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,2,3,8,5,10,8,18
MACHACAMARCA,talla para la edad (t/e),talla baja (tb),2008-01-01,1,0,2,1,2,1,5,2,7
MAGDALENA,talla para la edad (t/e),talla baja (tb),2008-01-01,1,0,0,2,0,0,1,2,3
MIZQUE,talla para la edad (t/e),talla baja (tb),2008-01-01,1,0,1,2,3,3,5,5,10
MOJINETE,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,1,0,0,0,1,0,1
MORO MORO,talla para la edad (t/e),talla baja (tb),2008-01-01,1,2,1,6,5,3,7,11,18
MOROCHATA,talla para la edad (t/e),talla baja (tb),2008-01-01,5,5,5,4,10,10,20,19,39
OCURI,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,1,1,0,0,1,1,2
ORURO,talla para la edad (t/e),talla baja (tb),2008-01-01,45,14,30,23,24,33,99,70,169
PADCAYA,talla para la edad (t/e),talla baja (tb),2008-01-01,0,1,4,0,5,1,9,2,11
PADILLA,talla para la edad (t/e),talla baja (tb),2008-01-01,1,3,4,3,19,11,24,17,41
PAMPA AULLAGAS,talla para la edad (t/e),talla baja (tb),2008-01-01,4,4,11,9,9,6,24,19,43
PAZÑA,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,4,2,2,10,6,12,18
PELECHUCO,talla para la edad (t/e),talla baja (tb),2008-01-01,0,2,4,4,2,0,6,6,12
POOPO,talla para la edad (t/e),talla baja (tb),2008-01-01,0,2,1,1,0,4,1,7,8
POROMA,talla para la edad (t/e),talla baja (tb),2008-01-01,28,30,45,20,55,33,128,83,211
POTOSI,talla para la edad (t/e),talla baja (tb),2008-01-01,32,39,17,6,15,13,64,58,122
PUCARANI,talla para la edad (t/e),talla baja (tb),2008-01-01,1,0,0,0,1,2,2,2,4
PUERTO CARABUCO,talla para la edad (t/e),talla baja (tb),2008-01-01,13,15,10,9,21,23,44,47,91
PUERTO VILLARROEL,talla para la edad (t/e),talla baja (tb),2008-01-01,8,7,6,4,3,2,17,13,30
PUNATA,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,0,0,0,2,0,2,2
QUILLACOLLO,talla para la edad (t/e),talla baja (tb),2008-01-01,1,1,1,6,0,1,2,8,10
QUIME,talla para la edad (t/e),talla baja (tb),2008-01-01,4,2,10,3,12,11,26,16,42
RIBERALTA,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,4,4,1,1,5,5,10
SABAYA,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,0,1,0,0,0,1,1
SACABA,talla para la edad (t/e),talla baja (tb),2008-01-01,8,7,4,3,10,23,22,33,55
SACACA,talla para la edad (t/e),talla baja (tb),2008-01-01,7,13,18,17,36,29,61,59,120
SALINAS DE GARCI MENDOZA,talla para la edad (t/e),talla baja (tb),2008-01-01,1,0,4,7,9,3,14,10,24
SAN ANTONIO DE ESMORUCO,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,1,0,0,0,1,0,1
SAN BORJA,talla para la edad (t/e),talla baja (tb),2008-01-01,10,9,9,9,15,17,34,35,69
SAN IGNACIO,talla para la edad (t/e),talla baja (tb),2008-01-01,4,1,0,0,1,2,5,3,8
SAN IGNACIO DE VELASCO,talla para la edad (t/e),talla baja (tb),2008-01-01,0,1,5,2,9,6,14,9,23
SAN LORENZO(TJA),talla para la edad (t/e),talla baja (tb),2008-01-01,2,3,2,7,4,8,8,18,26
SAN LUCAS,talla para la edad (t/e),talla baja (tb),2008-01-01,8,4,5,6,10,15,23,25,48
SAN MIGUEL DE VELASCO,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,0,1,0,0,0,1,1
SAN PABLO DE LIPEZ,talla para la edad (t/e),talla baja (tb),2008-01-01,1,0,1,4,1,7,3,11,14
SAN PEDRO DE TIQUINA,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,0,0,0,1,0,1,1
SANTA ANA,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,14,10,2,2,16,12,28
SANTA CRUZ DE LA SIERRA,talla para la edad (t/e),talla baja (tb),2008-01-01,1,0,0,0,0,0,1,0,1
SANTIAGO DE HUARI,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,0,1,0,0,0,1,1
SANTIAGO DE MACHACA,talla para la edad (t/e),talla baja (tb),2008-01-01,7,3,3,1,3,3,13,7,20
SAPAHAQUI,talla para la edad (t/e),talla baja (tb),2008-01-01,1,2,4,3,7,4,12,9,21
SORACACHI,talla para la edad (t/e),talla baja (tb),2008-01-01,4,5,7,6,21,21,32,32,64
SUCRE,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,5,2,8,5,13,7,20
TACACHI,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,0,0,2,0,2,0,2
TACOPAYA,talla para la edad (t/e),talla baja (tb),2008-01-01,3,3,3,3,12,9,18,15,33
TAPACARI,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,7,0,0,0,7,0,7
TARACO,talla para la edad (t/e),talla baja (tb),2008-01-01,1,3,2,0,1,2,4,5,9
TARATA,talla para la edad (t/e),talla baja (tb),2008-01-01,1,0,0,0,0,0,1,0,1
TARIJA,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,0,0,0,9,0,9,9
TARVITA,talla para la edad (t/e),talla baja (tb),2008-01-01,42,25,47,31,118,90,207,146,353
TINGUIPAYA,talla para la edad (t/e),talla baja (tb),2008-01-01,7,5,6,4,12,7,25,16,41
TIQUIPAYA,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,0,1,0,0,0,1,1
TIRAQUE (CBBA),talla para la edad (t/e),talla baja (tb),2008-01-01,13,17,11,9,10,13,34,39,73
TITO YUPANQUI (PARQUIPUJIO),talla para la edad (t/e),talla baja (tb),2008-01-01,2,1,1,0,2,10,5,11,16
TOCO,talla para la edad (t/e),talla baja (tb),2008-01-01,0,1,3,0,0,0,3,1,4
TOLATA,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,1,0,0,0,1,0,1
TOLEDO,talla para la edad (t/e),talla baja (tb),2008-01-01,1,0,0,0,3,0,4,0,4
TORO TORO,talla para la edad (t/e),talla baja (tb),2008-01-01,3,5,13,6,13,13,29,24,53
TOTORA(CBBA),talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,1,2,1,1,2,3,5
TOTORA(ORR),talla para la edad (t/e),talla baja (tb),2008-01-01,0,2,1,1,1,1,2,4,6
TRINIDAD,talla para la edad (t/e),talla baja (tb),2008-01-01,5,4,11,4,9,5,25,13,38
TUPIZA,talla para la edad (t/e),talla baja (tb),2008-01-01,20,12,35,34,50,39,105,85,190
TURCO,talla para la edad (t/e),talla baja (tb),2008-01-01,2,1,2,1,1,4,5,6,11
UYUNI,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,0,1,1,0,1,1,2
VALLEGRANDE,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,0,1,0,0,0,1,1
VIACHA,talla para la edad (t/e),talla baja (tb),2008-01-01,3,7,3,2,1,2,7,11,18
VILLA TUNARI,talla para la edad (t/e),talla baja (tb),2008-01-01,5,5,16,14,23,30,44,49,93
VITICHI,talla para la edad (t/e),talla baja (tb),2008-01-01,2,2,2,1,3,3,7,6,13
YACUIBA,talla para la edad (t/e),talla baja (tb),2008-01-01,11,8,22,18,25,35,58,61,119
