,group,variable,month,< de 1 año,< de 1 año,1 a menor de 2 años,1 a menor de 2 años,2 a menor de 5 años,2 a menor de 5 años,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,
ACHACACHI,talla para la edad (t/e),talla normal (t n),2008-01-01,45,42,20,16,40,41,105,99,204
ACHOCALLA,talla para la edad (t/e),talla normal (t n),2008-01-01,15,26,9,8,4,9,28,43,71
ANDAMARCA,talla para la edad (t/e),talla normal (t n),2008-01-01,5,5,2,4,2,3,9,12,21
ANTEQUERA,talla para la edad (t/e),talla normal (t n),2008-01-01,16,18,3,2,6,9,25,29,54
ANZALDO,talla para la edad (t/e),talla normal (t n),2008-01-01,5,6,13,9,3,7,21,22,43
APOLO,talla para la edad (t/e),talla normal (t n),2008-01-01,17,22,13,11,13,12,43,45,88
ARANI,talla para la edad (t/e),talla normal (t n),2008-01-01,20,23,21,17,31,27,72,67,139
ARBIETO,talla para la edad (t/e),talla normal (t n),2008-01-01,1,6,6,6,5,5,12,17,29
ARQUE,talla para la edad (t/e),talla normal (t n),2008-01-01,2,1,0,2,0,0,2,3,5
ASCENCION DE GUARAYOS,talla para la edad (t/e),talla normal (t n),2008-01-01,0,0,0,1,0,0,0,1,1
ATOCHA,talla para la edad (t/e),talla normal (t n),2008-01-01,66,69,35,27,42,60,143,156,299
AUCAPATA,talla para la edad (t/e),talla normal (t n),2008-01-01,9,5,10,10,13,3,32,18,50
AYATA,talla para la edad (t/e),talla normal (t n),2008-01-01,37,34,19,23,36,26,92,83,175
AYOPAYA (V. DE INDEPENDENCIA),talla para la edad (t/e),talla normal (t n),2008-01-01,10,13,24,18,11,14,45,45,90
BATALLAS,talla para la edad (t/e),talla normal (t n),2008-01-01,62,51,37,31,40,36,139,118,257
BAURES,talla para la edad (t/e),talla normal (t n),2008-01-01,21,14,37,28,18,22,76,64,140
BERMEJO,talla para la edad (t/e),talla normal (t n),2008-01-01,21,15,6,7,9,11,36,33,69
BETANZOS,talla para la edad (t/e),talla normal (t n),2008-01-01,2,4,0,1,1,6,3,11,14
BUENA VISTA,talla para la edad (t/e),talla normal (t n),2008-01-01,0,4,1,0,0,0,1,4,5
CAIROMA,talla para la edad (t/e),talla normal (t n),2008-01-01,11,16,12,10,18,23,41,49,90
CALAMARCA,talla para la edad (t/e),talla normal (t n),2008-01-01,4,3,0,0,1,1,5,4,9
CAMARGO,talla para la edad (t/e),talla normal (t n),2008-01-01,73,70,38,47,74,87,185,204,389
CARACOLLO,talla para la edad (t/e),talla normal (t n),2008-01-01,132,66,22,60,18,25,172,151,323
CARAPARI,talla para la edad (t/e),talla normal (t n),2008-01-01,1,0,2,0,1,0,4,0,4
CARIPUYO,talla para la edad (t/e),talla normal (t n),2008-01-01,1,2,0,2,2,4,3,8,11
CARMEN RIVERO TORREZ,talla para la edad (t/e),talla normal (t n),2008-01-01,0,0,22,16,6,12,28,28,56
CATACORA,talla para la edad (t/e),talla normal (t n),2008-01-01,3,3,3,4,12,8,18,15,33
CHALLAPATA,talla para la edad (t/e),talla normal (t n),2008-01-01,34,30,24,23,33,36,91,89,180
CHAQUI,talla para la edad (t/e),talla normal (t n),2008-01-01,5,4,3,1,1,5,9,10,19
CHAYANTA,talla para la edad (t/e),talla normal (t n),2008-01-01,3,3,3,6,7,6,13,15,28
CHIPAYA,talla para la edad (t/e),talla normal (t n),2008-01-01,2,1,0,0,0,0,2,1,3
CHOQUE COTA,talla para la edad (t/e),talla normal (t n),2008-01-01,2,0,2,1,1,2,5,3,8
CHULUMANI (V. DE LA LIBERTAD),talla para la edad (t/e),talla normal (t n),2008-01-01,5,3,1,5,6,2,12,10,22
CHUMA,talla para la edad (t/e),talla normal (t n),2008-01-01,35,47,24,33,21,18,80,98,178
CLIZA,talla para la edad (t/e),talla normal (t n),2008-01-01,125,93,66,43,51,48,242,184,426
COIPASA,talla para la edad (t/e),talla normal (t n),2008-01-01,0,1,1,10,3,5,4,16,20
COLCAPIRHUA,talla para la edad (t/e),talla normal (t n),2008-01-01,13,14,7,3,20,10,40,27,67
"COLCHA ""K""",talla para la edad (t/e),talla normal (t n),2008-01-01,5,3,1,6,16,4,22,13,35
COLLANA,talla para la edad (t/e),talla normal (t n),2008-01-01,8,12,7,8,9,7,24,27,51
COLOMI,talla para la edad (t/e),talla normal (t n),2008-01-01,101,95,40,24,38,39,179,158,337
COLQUENCHA,talla para la edad (t/e),talla normal (t n),2008-01-01,21,21,24,15,26,23,71,59,130
COLQUIRI,talla para la edad (t/e),talla normal (t n),2008-01-01,99,99,47,51,56,68,202,218,420
COPACABANA,talla para la edad (t/e),talla normal (t n),2008-01-01,37,41,20,11,37,39,94,91,185
CORIPATA,talla para la edad (t/e),talla normal (t n),2008-01-01,2,4,1,3,0,3,3,10,13
CORO CORO,talla para la edad (t/e),talla normal (t n),2008-01-01,17,11,4,4,6,7,27,22,49
COROICO,talla para la edad (t/e),talla normal (t n),2008-01-01,36,23,16,21,28,31,80,75,155
CORQUE,talla para la edad (t/e),talla normal (t n),2008-01-01,12,11,8,7,12,10,32,28,60
COTAGAITA,talla para la edad (t/e),talla normal (t n),2008-01-01,2,5,7,8,10,10,19,23,42
CURAHUARA DE CARANGAS,talla para la edad (t/e),talla normal (t n),2008-01-01,32,23,14,25,8,18,54,66,120
CURVA,talla para la edad (t/e),talla normal (t n),2008-01-01,18,10,7,7,13,11,38,28,66
DESAGUADERO,talla para la edad (t/e),talla normal (t n),2008-01-01,30,20,15,14,14,12,59,46,105
EL ALTO,talla para la edad (t/e),talla normal (t n),2008-01-01,1762,1735,1045,945,1059,1019,3866,3699,7565
EL CHORO,talla para la edad (t/e),talla normal (t n),2008-01-01,29,21,19,13,36,38,84,72,156
EL PUENTE(TJA),talla para la edad (t/e),talla normal (t n),2008-01-01,3,3,7,8,19,12,29,23,52
ENTRE RIOS,talla para la edad (t/e),talla normal (t n),2008-01-01,68,53,47,57,67,88,182,198,380
ESCARA,talla para la edad (t/e),talla normal (t n),2008-01-01,0,0,0,0,0,2,0,2,2
EUCALIPTUS,talla para la edad (t/e),talla normal (t n),2008-01-01,26,25,24,18,33,20,83,63,146
GRAL. J.J. PEREZ (CHARAZANI),talla para la edad (t/e),talla normal (t n),2008-01-01,49,57,21,21,49,44,119,122,241
GUAQUI,talla para la edad (t/e),talla normal (t n),2008-01-01,9,16,14,2,8,10,31,28,59
GUTIERREZ,talla para la edad (t/e),talla normal (t n),2008-01-01,0,0,29,16,23,34,52,50,102
HUACHACALLA,talla para la edad (t/e),talla normal (t n),2008-01-01,5,1,2,0,3,1,10,2,12
HUANUNI,talla para la edad (t/e),talla normal (t n),2008-01-01,17,28,9,8,1,1,27,37,64
HUARACAJE,talla para la edad (t/e),talla normal (t n),2008-01-01,15,29,22,9,34,28,71,66,137
HUAYLLAMARCA,talla para la edad (t/e),talla normal (t n),2008-01-01,28,22,19,18,19,23,66,63,129
ICHOCA,talla para la edad (t/e),talla normal (t n),2008-01-01,6,20,6,17,17,12,29,49,78
ICLA,talla para la edad (t/e),talla normal (t n),2008-01-01,50,66,50,54,126,118,226,238,464
INCAHUASI,talla para la edad (t/e),talla normal (t n),2008-01-01,4,4,2,6,6,6,12,16,28
INQUISIVI,talla para la edad (t/e),talla normal (t n),2008-01-01,34,27,24,20,29,24,87,71,158
IRUPANA (VILLA DE LANZA),talla para la edad (t/e),talla normal (t n),2008-01-01,0,0,0,0,1,2,1,2,3
IXIAMAS,talla para la edad (t/e),talla normal (t n),2008-01-01,26,24,9,11,17,13,52,48,100
JESUS DE MACHACA,talla para la edad (t/e),talla normal (t n),2008-01-01,32,42,33,38,62,48,127,128,255
LA PAZ,talla para la edad (t/e),talla normal (t n),2008-01-01,531,494,191,236,282,265,1004,995,1999
LAJA,talla para la edad (t/e),talla normal (t n),2008-01-01,20,17,11,13,20,11,51,41,92
LAS CARRERAS,talla para la edad (t/e),talla normal (t n),2008-01-01,5,3,5,1,8,3,18,7,25
LICOMA PAMPA,talla para la edad (t/e),talla normal (t n),2008-01-01,17,22,9,24,14,22,40,68,108
LLALLAGUA,talla para la edad (t/e),talla normal (t n),2008-01-01,1,3,0,0,0,0,1,3,4
LLICA,talla para la edad (t/e),talla normal (t n),2008-01-01,2,7,8,4,12,6,22,17,39
LORETO,talla para la edad (t/e),talla normal (t n),2008-01-01,0,1,0,0,0,0,0,1,1
LURIBAY,talla para la edad (t/e),talla normal (t n),2008-01-01,0,0,10,4,4,8,14,12,26
MACHACAMARCA,talla para la edad (t/e),talla normal (t n),2008-01-01,26,37,19,22,13,20,58,79,137
MAGDALENA,talla para la edad (t/e),talla normal (t n),2008-01-01,55,61,27,28,38,36,120,125,245
MIZQUE,talla para la edad (t/e),talla normal (t n),2008-01-01,6,5,4,2,14,8,24,15,39
MOJINETE,talla para la edad (t/e),talla normal (t n),2008-01-01,3,3,1,2,1,3,5,8,13
MORO MORO,talla para la edad (t/e),talla normal (t n),2008-01-01,13,11,10,12,12,11,35,34,69
MOROCHATA,talla para la edad (t/e),talla normal (t n),2008-01-01,14,22,12,9,12,6,38,37,75
OCURI,talla para la edad (t/e),talla normal (t n),2008-01-01,2,0,2,1,0,0,4,1,5
ORURO,talla para la edad (t/e),talla normal (t n),2008-01-01,526,511,228,225,223,211,977,947,1924
PADCAYA,talla para la edad (t/e),talla normal (t n),2008-01-01,24,16,16,13,22,21,62,50,112
PADILLA,talla para la edad (t/e),talla normal (t n),2008-01-01,0,6,6,8,15,17,21,31,52
PAMPA AULLAGAS,talla para la edad (t/e),talla normal (t n),2008-01-01,12,12,12,8,11,21,35,41,76
PAMPA GRANDE,talla para la edad (t/e),talla normal (t n),2008-01-01,0,3,0,0,8,4,8,7,15
PAZÑA,talla para la edad (t/e),talla normal (t n),2008-01-01,23,15,4,6,9,8,36,29,65
PELECHUCO,talla para la edad (t/e),talla normal (t n),2008-01-01,7,7,4,4,6,4,17,15,32
POCOATA,talla para la edad (t/e),talla normal (t n),2008-01-01,2,0,10,15,12,11,24,26,50
POCONA,talla para la edad (t/e),talla normal (t n),2008-01-01,6,6,5,4,10,10,21,20,41
POOPO,talla para la edad (t/e),talla normal (t n),2008-01-01,5,12,0,1,3,4,8,17,25
POROMA,talla para la edad (t/e),talla normal (t n),2008-01-01,22,22,10,17,27,27,59,66,125
PORTACHUELO,talla para la edad (t/e),talla normal (t n),2008-01-01,99,89,54,56,100,89,253,234,487
POTOSI,talla para la edad (t/e),talla normal (t n),2008-01-01,33,48,20,35,43,42,96,125,221
PUCARA,talla para la edad (t/e),talla normal (t n),2008-01-01,6,0,0,0,4,0,10,0,10
PUCARANI,talla para la edad (t/e),talla normal (t n),2008-01-01,20,11,1,0,5,3,26,14,40
PUERTO CARABUCO,talla para la edad (t/e),talla normal (t n),2008-01-01,60,39,24,24,57,50,141,113,254
PUERTO VILLARROEL,talla para la edad (t/e),talla normal (t n),2008-01-01,616,186,162,146,95,101,873,433,1306
PUNATA,talla para la edad (t/e),talla normal (t n),2008-01-01,6,4,3,2,8,5,17,11,28
QUILLACOLLO,talla para la edad (t/e),talla normal (t n),2008-01-01,68,45,32,20,27,19,127,84,211
QUIME,talla para la edad (t/e),talla normal (t n),2008-01-01,50,41,24,28,37,40,111,109,220
RIBERALTA,talla para la edad (t/e),talla normal (t n),2008-01-01,103,79,52,53,42,25,197,157,354
RURRENABAQUE,talla para la edad (t/e),talla normal (t n),2008-01-01,4,7,0,0,0,0,4,7,11
SABAYA,talla para la edad (t/e),talla normal (t n),2008-01-01,1,0,1,0,2,0,4,0,4
SACABA,talla para la edad (t/e),talla normal (t n),2008-01-01,62,64,40,29,59,39,161,132,293
SACABAMBA,talla para la edad (t/e),talla normal (t n),2008-01-01,5,4,4,0,11,3,20,7,27
SACACA,talla para la edad (t/e),talla normal (t n),2008-01-01,14,14,15,25,43,32,72,71,143
SALINAS DE GARCI MENDOZA,talla para la edad (t/e),talla normal (t n),2008-01-01,15,14,16,11,13,10,44,35,79
SAN ANTONIO DE ESMORUCO,talla para la edad (t/e),talla normal (t n),2008-01-01,4,2,4,6,4,3,12,11,23
SAN BORJA,talla para la edad (t/e),talla normal (t n),2008-01-01,188,200,93,115,139,110,420,425,845
SAN IGNACIO,talla para la edad (t/e),talla normal (t n),2008-01-01,5,5,1,1,0,1,6,7,13
SAN IGNACIO DE VELASCO,talla para la edad (t/e),talla normal (t n),2008-01-01,7,9,8,13,35,23,50,45,95
SAN JOSE DE CHIQUITOS,talla para la edad (t/e),talla normal (t n),2008-01-01,1,0,0,0,0,0,1,0,1
SAN LORENZO(TJA),talla para la edad (t/e),talla normal (t n),2008-01-01,29,22,17,15,17,14,63,51,114
SAN LUCAS,talla para la edad (t/e),talla normal (t n),2008-01-01,9,11,7,10,27,21,43,42,85
SAN MIGUEL DE VELASCO,talla para la edad (t/e),talla normal (t n),2008-01-01,4,10,6,3,2,3,12,16,28
SAN PABLO DE LIPEZ,talla para la edad (t/e),talla normal (t n),2008-01-01,6,3,2,2,5,3,13,8,21
SAN PEDRO DE TIQUINA,talla para la edad (t/e),talla normal (t n),2008-01-01,5,6,4,4,10,12,19,22,41
SAN RAFAEL,talla para la edad (t/e),talla normal (t n),2008-01-01,11,5,2,5,7,8,20,18,38
SANTA ANA,talla para la edad (t/e),talla normal (t n),2008-01-01,4,2,143,156,18,31,165,189,354
SANTA CRUZ DE LA SIERRA,talla para la edad (t/e),talla normal (t n),2008-01-01,0,0,0,0,0,0,0,0,0
SANTIAGO DE HUARI,talla para la edad (t/e),talla normal (t n),2008-01-01,4,3,1,4,2,1,7,8,15
SANTIAGO DE MACHACA,talla para la edad (t/e),talla normal (t n),2008-01-01,9,12,5,6,6,5,20,23,43
SAPAHAQUI,talla para la edad (t/e),talla normal (t n),2008-01-01,7,13,3,9,6,11,16,33,49
SORACACHI,talla para la edad (t/e),talla normal (t n),2008-01-01,38,39,21,20,31,39,90,98,188
SUCRE,talla para la edad (t/e),talla normal (t n),2008-01-01,52,54,29,38,51,49,132,141,273
TACACHI,talla para la edad (t/e),talla normal (t n),2008-01-01,5,2,4,1,1,3,10,6,16
TACOPAYA,talla para la edad (t/e),talla normal (t n),2008-01-01,3,5,2,2,5,0,10,7,17
TAPACARI,talla para la edad (t/e),talla normal (t n),2008-01-01,0,0,9,0,0,0,9,0,9
