,group,variable,month,Dentro,Dentro,Fuera,Fuera,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,
ACHACACHI,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,1,0,3,0,4,0,4
ACHOCALLA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,0,1,0,1
ANCORAIMES,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,1,1,1,2
ARQUE,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,0,1,0,1,1
ASCENCION DE GUARAYOS,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,2,0,2,0,2
AUCAPATA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,0,1,0,1,1
AYATA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,0,1,0,1,1
AYO AYO,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,5,1,5,1,6
AYOPAYA (V. DE INDEPENDENCIA),mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,1,1,1,2
AZURDUY,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,1,1,1,2
BATALLAS,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,4,1,4,5
BETANZOS,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,2,1,2,3
BOYUIBE,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,0,1,0,1
CAIROMA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,2,2,2,2,4
"CAIZA ""D""",mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,2,0,2,0,2
CALACOTO,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,2,1,2,3
CALAMARCA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,4,1,4,5
CAMARGO,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,1,0,0,0,1,1
CAMIRI,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,2,4,3,0,5,4,9
CAPINOTA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,3,2,3,2,5
CARANAVI,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,1,2,0,0,1,2,3
CARAPARI,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,0,1,0,1
CARIPUYO,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,0,1,0,1
CATACORA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,0,1,0,1,1
CHALLAPATA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,4,4,3,4,7,11
CHARAGUA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,1,1,0,0,1,1,2
CHAYANTA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,0,1,0,1,1
CHUMA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,2,2,2,2,4
CKOCHAS,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,0,1,0,1,1
COBIJA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,4,0,0,0,4,0,4
COCHABAMBA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,7,7,0,1,7,8,15
COLCAPIRHUA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,1,0,0,1,1,1,2
COLLANA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,0,2,0,2,2
COLOMI,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,3,4,3,4,7
COLPA BELGICA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,0,1,0,1,1
COLQUECHACA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,2,1,2,1,3
COLQUENCHA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,0,1,0,1
COMANCHE,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,2,0,2,0,2
COMARAPA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,3,4,3,4,7
CONCEPCION,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,1,1,2,1,3,4
COPACABANA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,0,1,0,1,1
CORIPATA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,0,1,0,1
COROICO,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,1,0,0,0,1,1
COTAGAITA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,4,1,4,1,5
COTOCA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,5,4,5,4,9
CULPINA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,2,2,2,2,4
CURAHUARA DE CARANGAS,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,2,0,0,2,2,2,4
DESAGUADERO,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,1,1,1,2
EL ALTO,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,11,18,34,35,45,53,98
EL TORNO,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,1,1,9,4,10,5,15
ENTRE RIOS TRJ,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,2,4,2,4,6
EUCALIPTUS,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,0,2,0,2,2
GRAL. J.J. PEREZ (CHARAZANI),mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,0,1,0,1,1
GUANAY,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,1,1,1,2
GUAYARAMERIN,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,1,3,0,2,1,5,6
GUTIERREZ,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,2,0,2,0,2
HUANUNI,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,1,0,3,1,4,1,5
HUATAJATA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,0,1,0,1,1
HUMANATA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,1,1,1,2
INCAHUASI,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,0,1,0,1,1
IRUPANA (VILLA DE LANZA),mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,5,0,5,0,5
JESUS DE MACHACA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,4,0,4,0,4
LA ASUNTA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,1,1,3,0,4,1,5
LA GUARDIA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,5,1,5,1,6
LA PAZ,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,102,107,71,87,173,194,367
LAGUNILLAS,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,0,1,0,1
LAJA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,2,1,2,3
LAS CARRERAS,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,0,1,0,1
LLALLAGUA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,1,8,6,8,7,15
LURIBAY,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,2,0,2,0,2
MACHACAMARCA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,1,0,1,0,2,2
MAGDALENA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,0,1,0,1
MAIRANA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,1,1,1,2
MAPIRI,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,1,0,0,1,1,1,2
MECAPACA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,1,2,2,2,3,5
MOCOMOCO,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,1,1,1,2
MONTEAGUDO,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,1,0,2,0,3,0,3
MONTERO,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,4,3,4,4,8,7,15
NACEBE (SANTA ROSA DEL ABUNA),mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,0,1,0,1
OCURI,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,1,0,0,0,1,1
ORURO,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,19,26,2,0,21,26,47
PADCAYA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,0,1,0,1
PADILLA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,1,0,2,1,3,1,4
PAILON,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,1,1,1,2
PALCA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,2,3,2,3,5
PALOS BLANCOS,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,2,1,2,3
PAPEL PAMPA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,1,1,1,2
PATACAMAYA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,1,1,1,2
PELECHUCO,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,0,1,0,1,1
POCOATA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,4,1,4,1,5
POCONA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,0,1,0,1,1
PORONGO,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,2,0,2,0,2
PORTACHUELO,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,1,4,1,4,2,6
POSTRER VALLE,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,0,1,0,1
POTOSI,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,14,15,0,1,14,16,30
PUCARANI,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,3,1,3,1,4
PUERTO GONZALO MORENO,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,2,0,2,0,2
PUERTO PEREZ,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,2,2,2,2,4
PUERTO VILLARROEL,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,1,0,1,0,2,0,2
PUNA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,0,1,0,1,1
PUNATA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,2,2,12,9,14,11,25
QUIABAYA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,0,1,0,1
QUILLACOLLO,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,3,5,3,5,8
QUIME,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,0,1,0,1
RAVELO,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,1,1,1,2
RIBERALTA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,4,7,3,2,7,9,16
ROBORE,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,2,0,0,0,2,0,2
RURRENABAQUE,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,1,8,3,8,4,12
SACABA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,8,7,8,7,15
SACACA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,0,1,0,1,1
SAIPINA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,0,1,0,1,1
SALINAS DE GARCI MENDOZA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,1,0,0,0,1,1
SAMAIPATA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,2,1,2,3
SAN AGUSTIN,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,0,1,0,1
SAN BENITO,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,0,4,0,4,4
SAN BORJA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,2,1,0,0,2,1,3
SAN CARLOS,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,3,3,3,3,6
SAN IGNACIO,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,1,0,0,0,1,0,1
SAN IGNACIO DE VELASCO,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,1,3,4,3,5,8
SAN JAVIER(STC),mortalidad,otras muertes en mayores de 5 anos,2014-01-01,1,0,1,0,2,0,2
SAN JOSE DE CHIQUITOS,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,1,6,5,6,6,12
SAN LUCAS,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,1,0,4,2,5,2,7
SAN MIGUEL DE VELASCO,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,0,1,0,1,1
SAN PEDRO,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,1,0,1,0,2,2
SAN PEDRO DE TIQUINA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,0,1,0,1,1
SANTA ANA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,1,2,0,2,1,3
SANTA CRUZ DE LA SIERRA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,109,105,83,75,192,180,372
SANTA ROSA DEL SARA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,0,1,0,1,1
SANTIAGO DE MACHACA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,0,2,0,2,2
SAPAHAQUI,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,2,1,2,1,3
SENA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,0,1,0,1
SHINAOTA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,1,0,1,1,2,1,3
SICA SICA (VILLA AROMA),mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,0,2,0,2,2
SORATA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,1,0,1,0,2,2
SUCRE,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,18,21,10,1,28,22,50
TARABUCO,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,0,1,0,1
TARIJA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,13,12,4,5,17,17,34
TARVITA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,0,2,0,2,2
TIAWANACU,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,2,1,2,3
TINGUIPAYA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,2,0,2,0,2
TIPUANI,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,0,1,0,1
TOLATA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,0,1,0,1
TOMAVE,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,2,1,2,1,3
TRIGAL,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,0,1,0,1,1
TRINIDAD,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,15,8,5,4,20,12,32
TUPIZA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,1,0,0,0,1,1
UMALA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,0,1,0,1
URUBICHA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,0,1,0,1
UYUNI,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,2,1,2,3
VALLEGRANDE,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,0,1,0,1
VIACHA,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,5,1,5,1,6
VILLA CHARCAS,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,2,1,2,3
VILLA TUNARI,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,1,0,1,2,2,2,4
VINTO,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,1,0,1,0,1
WARNES,mortalidad,otras muertes en mayores de 5 anos,2014-01-01,0,0,5,2,5,2,7
