municipality,group,variable,month,TOTAL
SAN LUCAS,eventos - notificacion inmediata parte i,riada,2023-01-01,7.0
VALLEGRANDE,eventos - notificacion inmediata parte i,riada,2023-01-01,91.0
YANACACHI,eventos - notificacion inmediata parte i,riada,2023-01-01,133.0
ZUDAÑEZ,eventos - notificacion inmediata parte i,riada,2023-01-01,31.0
MAPIRI,eventos - notificacion inmediata parte i,riada,2023-02-01,1.0
POROMA,eventos - notificacion inmediata parte i,riada,2023-02-01,31.0
SUCRE,eventos - notificacion inmediata parte i,riada,2023-02-01,81.0
VALLEGRANDE,eventos - notificacion inmediata parte i,riada,2023-02-01,17.0
QUIRUSILLAS,eventos - notificacion inmediata parte i,riada,2023-03-01,41.0
TUPIZA,eventos - notificacion inmediata parte i,riada,2023-03-01,9.0
VILLAZON,eventos - notificacion inmediata parte i,riada,2023-03-01,113.0
EL VILLAR,eventos - notificacion inmediata parte i,riada,2023-09-01,136.0
MAIRANA,eventos - notificacion inmediata parte i,riada,2023-09-01,1.0
PADILLA,eventos - notificacion inmediata parte i,riada,2023-09-01,3.0
AZURDUY,eventos - notificacion inmediata parte i,riada,2023-10-01,27.0
CARANAVI,eventos - notificacion inmediata parte i,riada,2023-10-01,1.0
COLOMI,eventos - notificacion inmediata parte i,riada,2023-10-01,20.0
INCAHUASI,eventos - notificacion inmediata parte i,riada,2023-10-01,91.0
POROMA,eventos - notificacion inmediata parte i,riada,2023-10-01,11.0
YUNCHARA,eventos - notificacion inmediata parte i,riada,2023-10-01,4.0
COCAPATA,eventos - notificacion inmediata parte i,riada,2023-11-01,91.0
CULPINA,eventos - notificacion inmediata parte i,riada,2023-11-01,5.0
EL ALTO,eventos - notificacion inmediata parte i,riada,2023-11-01,1.0
LA PAZ,eventos - notificacion inmediata parte i,riada,2023-11-01,4.0
TIPUANI,eventos - notificacion inmediata parte i,riada,2023-11-01,46.0
ZUDAÑEZ,eventos - notificacion inmediata parte i,riada,2023-11-01,1.0
AZURDUY,eventos - notificacion inmediata parte i,riada,2023-12-01,16.0
COTAGAITA,eventos - notificacion inmediata parte i,riada,2023-12-01,782.0
EL PUENTE(TJA),eventos - notificacion inmediata parte i,riada,2023-12-01,22.0
GUANAY,eventos - notificacion inmediata parte i,riada,2023-12-01,19.0
LA ASUNTA,eventos - notificacion inmediata parte i,riada,2023-12-01,1.0
LAGUNILLAS,eventos - notificacion inmediata parte i,riada,2023-12-01,35.0
QUIRUSILLAS,eventos - notificacion inmediata parte i,riada,2023-12-01,151.0
TUPIZA,eventos - notificacion inmediata parte i,riada,2023-12-01,29.0
