municipality,group,variable,month,TOTAL
PALOS BLANCOS,eventos - notificacion inmediata parte i,incendio,2023-01-01,14.0
TARIJA,eventos - notificacion inmediata parte i,incendio,2023-06-01,20.0
COMANCHE,eventos - notificacion inmediata parte i,incendio,2023-07-01,6.0
SACABA,eventos - notificacion inmediata parte i,incendio,2023-07-01,1.0
TIRAQUE (CBBA),eventos - notificacion inmediata parte i,incendio,2023-07-01,1.0
TOTORA(ORR),eventos - notificacion inmediata parte i,incendio,2023-07-01,1.0
YANACACHI,eventos - notificacion inmediata parte i,incendio,2023-07-01,1.0
CAMARGO,eventos - notificacion inmediata parte i,incendio,2023-08-01,5.0
CHULUMANI (V. DE LA LIBERTAD),eventos - notificacion inmediata parte i,incendio,2023-08-01,1.0
COROICO,eventos - notificacion inmediata parte i,incendio,2023-08-01,3.0
INCAHUASI,eventos - notificacion inmediata parte i,incendio,2023-08-01,11.0
IRUPANA (VILLA DE LANZA),eventos - notificacion inmediata parte i,incendio,2023-08-01,4.0
LA ASUNTA,eventos - notificacion inmediata parte i,incendio,2023-08-01,1.0
MOROCHATA,eventos - notificacion inmediata parte i,incendio,2023-08-01,4.0
ROBORE,eventos - notificacion inmediata parte i,incendio,2023-08-01,7.0
SAN IGNACIO DE VELASCO,eventos - notificacion inmediata parte i,incendio,2023-08-01,6.0
SAN JOSE DE CHIQUITOS,eventos - notificacion inmediata parte i,incendio,2023-08-01,1.0
SAN RAFAEL,eventos - notificacion inmediata parte i,incendio,2023-08-01,1.0
SANTA ROSA DEL SARA,eventos - notificacion inmediata parte i,incendio,2023-08-01,1.0
SAPAHAQUI,eventos - notificacion inmediata parte i,incendio,2023-08-01,1.0
TIAHUANACU,eventos - notificacion inmediata parte i,incendio,2023-08-01,6.0
VINTO,eventos - notificacion inmediata parte i,incendio,2023-08-01,2.0
YANACACHI,eventos - notificacion inmediata parte i,incendio,2023-08-01,1.0
CAJUATA,eventos - notificacion inmediata parte i,incendio,2023-09-01,1.0
CHULUMANI (V. DE LA LIBERTAD),eventos - notificacion inmediata parte i,incendio,2023-09-01,1.0
COTOCA,eventos - notificacion inmediata parte i,incendio,2023-09-01,17.0
IRUPANA (VILLA DE LANZA),eventos - notificacion inmediata parte i,incendio,2023-09-01,2.0
LA PAZ,eventos - notificacion inmediata parte i,incendio,2023-09-01,1.0
LAGUNILLAS,eventos - notificacion inmediata parte i,incendio,2023-09-01,2.0
MACHARETI,eventos - notificacion inmediata parte i,incendio,2023-09-01,11.0
MAIRANA,eventos - notificacion inmediata parte i,incendio,2023-09-01,2.0
MIZQUE,eventos - notificacion inmediata parte i,incendio,2023-09-01,2.0
PAILON,eventos - notificacion inmediata parte i,incendio,2023-09-01,73.0
PORONGO,eventos - notificacion inmediata parte i,incendio,2023-09-01,61.0
QUIME,eventos - notificacion inmediata parte i,incendio,2023-09-01,1.0
ROBORE,eventos - notificacion inmediata parte i,incendio,2023-09-01,3.0
SACABA,eventos - notificacion inmediata parte i,incendio,2023-09-01,3.0
SAN IGNACIO DE VELASCO,eventos - notificacion inmediata parte i,incendio,2023-09-01,5.0
SAN JOSE DE CHIQUITOS,eventos - notificacion inmediata parte i,incendio,2023-09-01,2.0
SAN LORENZO(TJA),eventos - notificacion inmediata parte i,incendio,2023-09-01,25.0
SANTA ROSA DEL SARA,eventos - notificacion inmediata parte i,incendio,2023-09-01,1.0
TEOPONTE,eventos - notificacion inmediata parte i,incendio,2023-09-01,2.0
YANACACHI,eventos - notificacion inmediata parte i,incendio,2023-09-01,3.0
YOTALA,eventos - notificacion inmediata parte i,incendio,2023-09-01,1.0
BUENA VISTA,eventos - notificacion inmediata parte i,incendio,2023-10-01,7.0
CARANAVI,eventos - notificacion inmediata parte i,incendio,2023-10-01,10.0
CHULUMANI (V. DE LA LIBERTAD),eventos - notificacion inmediata parte i,incendio,2023-10-01,1.0
ENTRE RIOS TRJ,eventos - notificacion inmediata parte i,incendio,2023-10-01,1.0
ENTRE RIOS CBBA,eventos - notificacion inmediata parte i,incendio,2023-10-01,1.0
GRAL. J.J. PEREZ (CHARAZANI),eventos - notificacion inmediata parte i,incendio,2023-10-01,2.0
GUANAY,eventos - notificacion inmediata parte i,incendio,2023-10-01,104.0
LA ASUNTA,eventos - notificacion inmediata parte i,incendio,2023-10-01,12.0
LA PAZ,eventos - notificacion inmediata parte i,incendio,2023-10-01,1.0
MAPIRI,eventos - notificacion inmediata parte i,incendio,2023-10-01,3.0
MONTEAGUDO,eventos - notificacion inmediata parte i,incendio,2023-10-01,3.0
PADILLA,eventos - notificacion inmediata parte i,incendio,2023-10-01,1.0
PALOS BLANCOS,eventos - notificacion inmediata parte i,incendio,2023-10-01,22.0
PRESTO,eventos - notificacion inmediata parte i,incendio,2023-10-01,1.0
PUERTO VILLARROEL,eventos - notificacion inmediata parte i,incendio,2023-10-01,2.0
ROBORE,eventos - notificacion inmediata parte i,incendio,2023-10-01,122.0
SAN BORJA,eventos - notificacion inmediata parte i,incendio,2023-10-01,551.0
SAN BUENA VENTURA,eventos - notificacion inmediata parte i,incendio,2023-10-01,29.0
SAN IGNACIO DE VELASCO,eventos - notificacion inmediata parte i,incendio,2023-10-01,1.0
VILLA TUNARI,eventos - notificacion inmediata parte i,incendio,2023-10-01,87.0
YAPACANI,eventos - notificacion inmediata parte i,incendio,2023-10-01,115.0
BERMEJO,eventos - notificacion inmediata parte i,incendio,2023-11-01,1.0
COBIJA,eventos - notificacion inmediata parte i,incendio,2023-11-01,29.0
CONCEPCION,eventos - notificacion inmediata parte i,incendio,2023-11-01,6.0
ENTRE RIOS TRJ,eventos - notificacion inmediata parte i,incendio,2023-11-01,1.0
IXIAMAS,eventos - notificacion inmediata parte i,incendio,2023-11-01,4.0
LORETO,eventos - notificacion inmediata parte i,incendio,2023-11-01,156.0
PALOS BLANCOS,eventos - notificacion inmediata parte i,incendio,2023-11-01,108.0
PORONGO,eventos - notificacion inmediata parte i,incendio,2023-11-01,27.0
PUERTO VILLARROEL,eventos - notificacion inmediata parte i,incendio,2023-11-01,2.0
ROBORE,eventos - notificacion inmediata parte i,incendio,2023-11-01,39.0
RURRENABAQUE,eventos - notificacion inmediata parte i,incendio,2023-11-01,861.0
SAN BORJA,eventos - notificacion inmediata parte i,incendio,2023-11-01,157.0
SAN BUENA VENTURA,eventos - notificacion inmediata parte i,incendio,2023-11-01,2975.0
SAN IGNACIO DE VELASCO,eventos - notificacion inmediata parte i,incendio,2023-11-01,122.0
SAN JOSE DE CHIQUITOS,eventos - notificacion inmediata parte i,incendio,2023-11-01,2.0
SANTA ROSA DEL SARA,eventos - notificacion inmediata parte i,incendio,2023-11-01,1.0
TEOPONTE,eventos - notificacion inmediata parte i,incendio,2023-11-01,3.0
VILA VILA,eventos - notificacion inmediata parte i,incendio,2023-11-01,29.0
VILLA TUNARI,eventos - notificacion inmediata parte i,incendio,2023-11-01,17.0
SAN IGNACIO DE VELASCO,eventos - notificacion inmediata parte i,incendio,2023-12-01,48.0
