municipality,group,variable,month,Cantidad,TOTAL-M
ACHACACHI,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-01-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-01-01,1,1
CARANAVI,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-01-01,1,1
CHARAGUA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-01-01,1,1
COTAGAITA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-01-01,2,2
COTOCA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-01-01,12,12
EL ALTO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-01-01,3,3
GENERAL SAAVEDRA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-01-01,1,1
GUAYARAMERIN,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-01-01,1,1
LA PAZ,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-01-01,20,20
MINEROS,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-01-01,2,2
MONTEAGUDO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-01-01,1,1
OCURI,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-01-01,2,2
PAILON,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-01-01,1,1
PATACAMAYA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-01-01,1,1
RIBERALTA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-01-01,4,4
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-01-01,33,33
SUCRE,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-01-01,1,1
TARIJA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-01-01,7,7
TOTORA(ORR),salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-01-01,1,1
TRINIDAD,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-01-01,16,16
CAIROMA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-02-01,1,1
COLQUIRI,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-02-01,1,1
EL ALTO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-02-01,9,9
EL CHORO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-02-01,1,1
EUCALIPTUS,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-02-01,3,3
HUACARETA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-02-01,3,3
LA PAZ,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-02-01,16,16
POJO (CBBA),salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-02-01,2,2
POTOSI,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-02-01,3,3
