municipality,group,variable,month,Nro.,Nro. Afectados,Nro. Fallecidos,TOTAL
CHUMA,registro de eventos de notificacion inmediata,deslizamiento,2014-01-01,1.0,0.0,0.0,1.0
RURRENABAQUE,registro de eventos de notificacion inmediata,deslizamiento,2014-01-01,1.0,650.0,10.0,661.0
SAN BORJA,registro de eventos de notificacion inmediata,deslizamiento,2014-01-01,2.0,40.0,0.0,42.0
ALTO BENI,registro de eventos de notificacion inmediata,deslizamiento,2014-02-01,13.0,111.0,0.0,124.0
CARANAVI,registro de eventos de notificacion inmediata,deslizamiento,2014-02-01,2.0,105.0,0.0,107.0
CORIPATA,registro de eventos de notificacion inmediata,deslizamiento,2014-02-01,1.0,0.0,0.0,1.0
IRUPANA (VILLA DE LANZA),registro de eventos de notificacion inmediata,deslizamiento,2014-02-01,1.0,126.0,0.0,127.0
LA ASUNTA,registro de eventos de notificacion inmediata,deslizamiento,2014-02-01,2.0,45.0,0.0,47.0
LA PAZ,registro de eventos de notificacion inmediata,deslizamiento,2014-02-01,1.0,0.0,0.0,1.0
MOROCHATA,registro de eventos de notificacion inmediata,deslizamiento,2014-02-01,1.0,35.0,14.0,50.0
PALOS BLANCOS,registro de eventos de notificacion inmediata,deslizamiento,2014-02-01,2.0,0.0,0.0,2.0
SAN RAMON SCZ,registro de eventos de notificacion inmediata,deslizamiento,2014-02-01,1.0,0.0,0.0,1.0
SAPAHAQUI,registro de eventos de notificacion inmediata,deslizamiento,2014-02-01,1.0,1.0,4.0,6.0
SUCRE,registro de eventos de notificacion inmediata,deslizamiento,2014-02-01,1.0,5.0,0.0,6.0
TARVITA,registro de eventos de notificacion inmediata,deslizamiento,2014-02-01,1.0,34.0,0.0,35.0
TEOPONTE,registro de eventos de notificacion inmediata,deslizamiento,2014-02-01,1.0,0.0,0.0,1.0
YAPACANI,registro de eventos de notificacion inmediata,deslizamiento,2014-02-01,1.0,0.0,0.0,1.0
CAJUATA,registro de eventos de notificacion inmediata,deslizamiento,2014-03-01,1.0,2.0,2.0,5.0
GUAYARAMERIN,registro de eventos de notificacion inmediata,deslizamiento,2014-03-01,18.0,18.0,0.0,36.0
TEOPONTE,registro de eventos de notificacion inmediata,deslizamiento,2014-03-01,2.0,0.0,0.0,2.0
CABEZAS,registro de eventos de notificacion inmediata,deslizamiento,2014-04-01,1.0,0.0,0.0,1.0
LA PAZ,registro de eventos de notificacion inmediata,deslizamiento,2014-04-01,2.0,5.0,1.0,8.0
SUCRE,registro de eventos de notificacion inmediata,deslizamiento,2014-09-01,0.0,1.0,0.0,1.0
CHUQUIHUTA AYLLU JUCUMANI,registro de eventos de notificacion inmediata,deslizamiento,2014-12-01,1.0,400.0,0.0,401.0
