municipality,group,variable,month,< de 1 año,1 a 4 años,5 a 14 años,15 a 59 años,60 y más,TOTAL
BERMEJO,sospecha diagnostica,enfer. por hanta virus,2006-01-01,0.0,0.0,0.0,1.0,0.0,1.0
COCHABAMBA,sospecha diagnostica,enfer. por hanta virus,2006-01-01,0.0,0.0,0.0,0.0,1.0,1.0
SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2006-01-01,0.0,0.0,0.0,2.0,0.0,2.0
TARIJA,sospecha diagnostica,enfer. por hanta virus,2006-01-01,0.0,0.0,0.0,2.0,0.0,2.0
VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2006-01-01,0.0,0.0,1.0,7.0,0.0,8.0
MONTERO,sospecha diagnostica,enfer. por hanta virus,2006-02-01,0.0,0.0,0.0,1.0,0.0,1.0
SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2006-02-01,0.0,0.0,0.0,1.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2006-02-01,0.0,0.0,0.0,2.0,0.0,2.0
TARIJA,sospecha diagnostica,enfer. por hanta virus,2006-02-01,0.0,0.0,0.0,1.0,0.0,1.0
TIRAQUE (CBBA),sospecha diagnostica,enfer. por hanta virus,2006-02-01,0.0,0.0,0.0,1.0,0.0,1.0
VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2006-02-01,0.0,0.0,0.0,4.0,0.0,4.0
COCHABAMBA,sospecha diagnostica,enfer. por hanta virus,2006-03-01,0.0,0.0,0.0,1.0,0.0,1.0
MONTERO,sospecha diagnostica,enfer. por hanta virus,2006-03-01,0.0,0.0,0.0,1.0,0.0,1.0
PUERTO VILLARROEL,sospecha diagnostica,enfer. por hanta virus,2006-03-01,0.0,0.0,0.0,2.0,0.0,2.0
TARIJA,sospecha diagnostica,enfer. por hanta virus,2006-03-01,0.0,1.0,0.0,1.0,0.0,2.0
VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2006-03-01,0.0,0.0,1.0,3.0,0.0,4.0
BERMEJO,sospecha diagnostica,enfer. por hanta virus,2006-04-01,0.0,0.0,0.0,2.0,0.0,2.0
SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2006-04-01,0.0,0.0,0.0,1.0,0.0,1.0
TARIJA,sospecha diagnostica,enfer. por hanta virus,2006-04-01,0.0,0.0,0.0,4.0,0.0,4.0
VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2006-04-01,0.0,0.0,1.0,6.0,0.0,7.0
BERMEJO,sospecha diagnostica,enfer. por hanta virus,2006-05-01,0.0,0.0,1.0,1.0,0.0,2.0
SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2006-05-01,0.0,0.0,0.0,2.0,0.0,2.0
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2006-05-01,0.0,0.0,0.0,1.0,0.0,1.0
TARIJA,sospecha diagnostica,enfer. por hanta virus,2006-05-01,0.0,0.0,0.0,2.0,0.0,2.0
VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2006-05-01,0.0,0.0,1.0,0.0,0.0,1.0
BERMEJO,sospecha diagnostica,enfer. por hanta virus,2006-06-01,0.0,0.0,1.0,0.0,0.0,1.0
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2006-06-01,0.0,0.0,0.0,1.0,0.0,1.0
TARIJA,sospecha diagnostica,enfer. por hanta virus,2006-06-01,0.0,0.0,1.0,2.0,0.0,3.0
BERMEJO,sospecha diagnostica,enfer. por hanta virus,2006-07-01,0.0,1.0,0.0,2.0,1.0,4.0
MONTERO,sospecha diagnostica,enfer. por hanta virus,2006-07-01,0.0,0.0,0.0,1.0,0.0,1.0
SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2006-07-01,0.0,0.0,0.0,1.0,0.0,1.0
TARIJA,sospecha diagnostica,enfer. por hanta virus,2006-07-01,0.0,1.0,0.0,0.0,0.0,1.0
BERMEJO,sospecha diagnostica,enfer. por hanta virus,2006-11-01,0.0,0.0,0.0,1.0,0.0,1.0
TARIJA,sospecha diagnostica,enfer. por hanta virus,2006-11-01,0.0,0.0,0.0,1.0,0.0,1.0
VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2006-11-01,0.0,0.0,0.0,1.0,0.0,1.0
BERMEJO,sospecha diagnostica,enfer. por hanta virus,2006-12-01,0.0,0.0,0.0,1.0,0.0,1.0
SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2006-12-01,0.0,0.0,0.0,3.0,0.0,3.0
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2006-12-01,0.0,0.0,3.0,0.0,0.0,3.0
TARIJA,sospecha diagnostica,enfer. por hanta virus,2006-12-01,0.0,0.0,0.0,1.0,0.0,1.0
VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2006-12-01,0.0,0.0,0.0,2.0,1.0,3.0
