municipality,group,variable,month,< de 1 año,1 a 4 años,5 a 14 años,15 a 59 años,60 y más,TOTAL
COCHABAMBA,sospecha diagnostica,colera,2006-02-01,0.0,0.0,0.0,0.0,1.0,1.0
LA GUARDIA,sospecha diagnostica,colera,2006-12-01,0.0,0.0,0.0,1.0,0.0,1.0
