municipality,group,variable,month,Cantidad,TOTAL
ARBIETO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,4,4
ASCENCION DE GUARAYOS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,1,1
AYATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,1,1
AYO AYO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,5,5
BATALLAS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,4,4
BERMEJO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,50,50
BOLIVAR,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,2,2
CABEZAS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,1,1
CAMIRI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,3,3
CAPINOTA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,5,5
CARANAVI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,4,4
CARAPARI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,9,9
CHALLAPATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,4,4
CHARAÑA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,1,1
CLIZA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,7,7
COBIJA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,19,19
COCHABAMBA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,295,295
COLLANA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,1,1
COLOMI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,5,5
COMARAPA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,3,3
COPACABANA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,2,2
CORO CORO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,3,3
CORQUE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,2,2
COTOCA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,12,12
CUATRO CAÑADAS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,4,4
DESAGUADERO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,2,2
