,group,variable,month,Dentro,Dentro,Fuera,Fuera,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,
COCHABAMBA,mortalidad,muerte materna,2010-01-01,0,1,0,0,0,1,1
CUEVO,mortalidad,muerte materna,2010-01-01,0,0,0,1,0,1,1
EL ALTO,mortalidad,muerte materna,2010-01-01,0,1,0,1,0,2,2
LLALLAGUA,mortalidad,muerte materna,2010-01-01,0,1,0,0,0,1,1
ORURO,mortalidad,muerte materna,2010-01-01,0,1,0,0,0,1,1
POCOATA,mortalidad,muerte materna,2010-01-01,0,0,0,1,0,1,1
PUCARANI,mortalidad,muerte materna,2010-01-01,0,0,0,1,0,1,1
REYES,mortalidad,muerte materna,2010-01-01,0,0,0,1,0,1,1
SAN IGNACIO DE VELASCO,mortalidad,muerte materna,2010-01-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,mortalidad,muerte materna,2010-01-01,0,1,0,0,0,1,1
TRINIDAD,mortalidad,muerte materna,2010-01-01,0,1,0,0,0,1,1
COCHABAMBA,mortalidad,muerte materna,2010-02-01,0,3,0,0,0,3,3
EL ALTO,mortalidad,muerte materna,2010-02-01,0,1,0,0,0,1,1
ESCOMA,mortalidad,muerte materna,2010-02-01,0,1,0,0,0,1,1
GUAYARAMERIN,mortalidad,muerte materna,2010-02-01,0,1,0,0,0,1,1
ORURO,mortalidad,muerte materna,2010-02-01,0,2,0,0,0,2,2
POTOSI,mortalidad,muerte materna,2010-02-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,mortalidad,muerte materna,2010-02-01,0,1,0,0,0,1,1
SUCRE,mortalidad,muerte materna,2010-02-01,0,1,0,0,0,1,1
TARIJA,mortalidad,muerte materna,2010-02-01,0,1,0,0,0,1,1
UYUNI,mortalidad,muerte materna,2010-02-01,0,0,0,1,0,1,1
CHALLAPATA,mortalidad,muerte materna,2010-03-01,0,0,0,2,0,2,2
COCHABAMBA,mortalidad,muerte materna,2010-03-01,0,2,0,0,0,2,2
EL TORNO,mortalidad,muerte materna,2010-03-01,0,0,0,1,0,1,1
LA PAZ,mortalidad,muerte materna,2010-03-01,0,2,0,0,0,2,2
OCURI,mortalidad,muerte materna,2010-03-01,0,0,0,2,0,2,2
QUILLACOLLO,mortalidad,muerte materna,2010-03-01,0,0,0,1,0,1,1
SANTA ANA,mortalidad,muerte materna,2010-03-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,mortalidad,muerte materna,2010-03-01,0,6,0,0,0,6,6
SENA,mortalidad,muerte materna,2010-03-01,0,0,0,1,0,1,1
SOPACHUY,mortalidad,muerte materna,2010-03-01,0,0,0,1,0,1,1
TARIJA,mortalidad,muerte materna,2010-03-01,0,1,0,0,0,1,1
BETANZOS,mortalidad,muerte materna,2010-04-01,0,0,0,1,0,1,1
CHALLAPATA,mortalidad,muerte materna,2010-04-01,0,0,0,1,0,1,1
CHAYANTA,mortalidad,muerte materna,2010-04-01,0,0,0,1,0,1,1
EL ALTO,mortalidad,muerte materna,2010-04-01,0,0,0,1,0,1,1
ORURO,mortalidad,muerte materna,2010-04-01,0,0,0,1,0,1,1
PADILLA,mortalidad,muerte materna,2010-04-01,0,0,0,1,0,1,1
POCOATA,mortalidad,muerte materna,2010-04-01,0,0,0,1,0,1,1
PUERTO ACOSTA,mortalidad,muerte materna,2010-04-01,0,0,0,1,0,1,1
PUERTO CARABUCO,mortalidad,muerte materna,2010-04-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,mortalidad,muerte materna,2010-04-01,0,3,0,0,0,3,3
VIACHA,mortalidad,muerte materna,2010-04-01,0,0,0,1,0,1,1
WARNES,mortalidad,muerte materna,2010-04-01,0,0,0,1,0,1,1
COCHABAMBA,mortalidad,muerte materna,2010-05-01,0,2,0,0,0,2,2
EL ALTO,mortalidad,muerte materna,2010-05-01,0,0,0,2,0,2,2
LA PAZ,mortalidad,muerte materna,2010-05-01,0,2,0,0,0,2,2
POROMA,mortalidad,muerte materna,2010-05-01,0,0,0,1,0,1,1
RIBERALTA,mortalidad,muerte materna,2010-05-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,mortalidad,muerte materna,2010-05-01,0,2,0,0,0,2,2
EL ALTO,mortalidad,muerte materna,2010-06-01,0,0,0,1,0,1,1
LA PAZ,mortalidad,muerte materna,2010-06-01,0,2,0,0,0,2,2
MOROCHATA,mortalidad,muerte materna,2010-06-01,0,0,0,1,0,1,1
POROMA,mortalidad,muerte materna,2010-06-01,0,0,0,1,0,1,1
POTOSI,mortalidad,muerte materna,2010-06-01,0,1,0,0,0,1,1
ROBORE,mortalidad,muerte materna,2010-06-01,0,1,0,0,0,1,1
SABAYA,mortalidad,muerte materna,2010-06-01,0,0,0,1,0,1,1
SAN CARLOS,mortalidad,muerte materna,2010-06-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,mortalidad,muerte materna,2010-06-01,0,2,0,0,0,2,2
SUCRE,mortalidad,muerte materna,2010-06-01,0,1,0,0,0,1,1
COTAGAITA,mortalidad,muerte materna,2010-07-01,0,0,0,1,0,1,1
CURVA,mortalidad,muerte materna,2010-07-01,0,0,0,1,0,1,1
EL ALTO,mortalidad,muerte materna,2010-07-01,0,1,0,3,0,4,4
LA PAZ,mortalidad,muerte materna,2010-07-01,0,1,0,0,0,1,1
ORURO,mortalidad,muerte materna,2010-07-01,0,2,0,0,0,2,2
SAN LUCAS,mortalidad,muerte materna,2010-07-01,0,0,0,1,0,1,1
SAN RAMON BENI,mortalidad,muerte materna,2010-07-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,mortalidad,muerte materna,2010-07-01,0,7,0,0,0,7,7
SANTIAGO DE HUARI,mortalidad,muerte materna,2010-07-01,0,0,0,1,0,1,1
COCHABAMBA,mortalidad,muerte materna,2010-08-01,0,1,0,0,0,1,1
COLQUECHACA,mortalidad,muerte materna,2010-08-01,0,0,0,1,0,1,1
CULPINA,mortalidad,muerte materna,2010-08-01,0,0,0,1,0,1,1
GENERAL SAAVEDRA,mortalidad,muerte materna,2010-08-01,0,1,0,0,0,1,1
ICLA,mortalidad,muerte materna,2010-08-01,0,0,0,1,0,1,1
LA PAZ,mortalidad,muerte materna,2010-08-01,0,1,0,0,0,1,1
LLALLAGUA,mortalidad,muerte materna,2010-08-01,0,1,0,0,0,1,1
PRESTO,mortalidad,muerte materna,2010-08-01,0,0,0,1,0,1,1
REYES,mortalidad,muerte materna,2010-08-01,0,1,0,0,0,1,1
SAN IGNACIO DE VELASCO,mortalidad,muerte materna,2010-08-01,0,1,0,0,0,1,1
SAN PEDRO DE BUENA VISTA,mortalidad,muerte materna,2010-08-01,0,0,0,1,0,1,1
TACOBAMBA,mortalidad,muerte materna,2010-08-01,0,0,0,1,0,1,1
TARIJA,mortalidad,muerte materna,2010-08-01,0,2,0,0,0,2,2
TUPIZA,mortalidad,muerte materna,2010-08-01,0,1,0,0,0,1,1
VILLA MONTES,mortalidad,muerte materna,2010-08-01,0,0,0,1,0,1,1
ATOCHA,mortalidad,muerte materna,2010-09-01,0,0,0,1,0,1,1
CAQUIAVIRI,mortalidad,muerte materna,2010-09-01,0,0,0,1,0,1,1
EL ALTO,mortalidad,muerte materna,2010-09-01,0,2,0,1,0,3,3
LA PAZ,mortalidad,muerte materna,2010-09-01,0,1,0,0,0,1,1
OCURI,mortalidad,muerte materna,2010-09-01,0,0,0,1,0,1,1
ORURO,mortalidad,muerte materna,2010-09-01,0,3,0,0,0,3,3
SACACA,mortalidad,muerte materna,2010-09-01,0,0,0,1,0,1,1
SAN PEDRO DE TIQUINA,mortalidad,muerte materna,2010-09-01,0,0,0,1,0,1,1
SUCRE,mortalidad,muerte materna,2010-09-01,0,1,0,0,0,1,1
TAHUA,mortalidad,muerte materna,2010-09-01,0,0,0,1,0,1,1
VILLA TUNARI,mortalidad,muerte materna,2010-09-01,0,0,0,1,0,1,1
CAMIRI,mortalidad,muerte materna,2010-10-01,0,0,0,1,0,1,1
CARIPUYO,mortalidad,muerte materna,2010-10-01,0,0,0,1,0,1,1
COCHABAMBA,mortalidad,muerte materna,2010-10-01,0,1,0,0,0,1,1
EL ALTO,mortalidad,muerte materna,2010-10-01,0,1,0,0,0,1,1
LA PAZ,mortalidad,muerte materna,2010-10-01,0,4,0,0,0,4,4
ORURO,mortalidad,muerte materna,2010-10-01,0,1,0,0,0,1,1
RIBERALTA,mortalidad,muerte materna,2010-10-01,0,1,0,0,0,1,1
SAN LUCAS,mortalidad,muerte materna,2010-10-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,mortalidad,muerte materna,2010-10-01,0,4,0,0,0,4,4
SUCRE,mortalidad,muerte materna,2010-10-01,0,2,0,0,0,2,2
TACOBAMBA,mortalidad,muerte materna,2010-10-01,0,0,0,1,0,1,1
TARIJA,mortalidad,muerte materna,2010-10-01,0,1,0,0,0,1,1
TUPIZA,mortalidad,muerte materna,2010-10-01,0,1,0,0,0,1,1
CARACOLLO,mortalidad,muerte materna,2010-11-01,0,0,0,1,0,1,1
CARANAVI,mortalidad,muerte materna,2010-11-01,0,1,0,0,0,1,1
COBIJA,mortalidad,muerte materna,2010-11-01,0,1,0,0,0,1,1
COCHABAMBA,mortalidad,muerte materna,2010-11-01,0,2,0,0,0,2,2
LA PAZ,mortalidad,muerte materna,2010-11-01,0,1,0,0,0,1,1
ORURO,mortalidad,muerte materna,2010-11-01,0,1,0,0,0,1,1
POTOSI,mortalidad,muerte materna,2010-11-01,0,1,0,0,0,1,1
RIBERALTA,mortalidad,muerte materna,2010-11-01,0,1,0,0,0,1,1
SACACA,mortalidad,muerte materna,2010-11-01,0,0,0,1,0,1,1
SAN PEDRO DE BUENA VISTA,mortalidad,muerte materna,2010-11-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,mortalidad,muerte materna,2010-11-01,0,2,0,0,0,2,2
AIQUILE,mortalidad,muerte materna,2010-12-01,0,0,0,1,0,1,1
CAPINOTA,mortalidad,muerte materna,2010-12-01,0,0,0,1,0,1,1
CHALLAPATA,mortalidad,muerte materna,2010-12-01,0,1,0,0,0,1,1
COCHABAMBA,mortalidad,muerte materna,2010-12-01,0,2,0,0,0,2,2
COLQUENCHA,mortalidad,muerte materna,2010-12-01,0,0,0,1,0,1,1
CULPINA,mortalidad,muerte materna,2010-12-01,0,0,0,1,0,1,1
INCAHUASI,mortalidad,muerte materna,2010-12-01,0,0,0,1,0,1,1
PUCARANI,mortalidad,muerte materna,2010-12-01,0,0,0,1,0,1,1
SACACA,mortalidad,muerte materna,2010-12-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,mortalidad,muerte materna,2010-12-01,0,1,0,1,0,2,2
SUCRE,mortalidad,muerte materna,2010-12-01,0,1,0,0,0,1,1
TINGUIPAYA,mortalidad,muerte materna,2010-12-01,0,0,0,1,0,1,1
TOTORA(CBBA),mortalidad,muerte materna,2010-12-01,0,0,0,1,0,1,1
TUPIZA,mortalidad,muerte materna,2010-12-01,0,0,0,1,0,1,1
