,group,variable,month,Dentro,Dentro,Fuera,Fuera,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,
BETANZOS,mortalidad,muerte rn menor de 7 dias,2010-01-01,0,1,0,0,0,1,1
CABEZAS,mortalidad,muerte rn menor de 7 dias,2010-01-01,2,0,0,0,2,0,2
"CAIZA ""D""",mortalidad,muerte rn menor de 7 dias,2010-01-01,0,0,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),mortalidad,muerte rn menor de 7 dias,2010-01-01,1,0,0,0,1,0,1
COBIJA,mortalidad,muerte rn menor de 7 dias,2010-01-01,1,1,0,0,1,1,2
COCHABAMBA,mortalidad,muerte rn menor de 7 dias,2010-01-01,6,5,1,0,7,5,12
CONCEPCION,mortalidad,muerte rn menor de 7 dias,2010-01-01,2,0,0,0,2,0,2
CUEVO,mortalidad,muerte rn menor de 7 dias,2010-01-01,0,1,0,0,0,1,1
EL ALTO,mortalidad,muerte rn menor de 7 dias,2010-01-01,5,2,0,0,5,2,7
GUAYARAMERIN,mortalidad,muerte rn menor de 7 dias,2010-01-01,0,1,0,0,0,1,1
HUANUNI,mortalidad,muerte rn menor de 7 dias,2010-01-01,0,0,0,2,0,2,2
LA PAZ,mortalidad,muerte rn menor de 7 dias,2010-01-01,8,3,1,1,9,4,13
LAJA,mortalidad,muerte rn menor de 7 dias,2010-01-01,0,0,0,1,0,1,1
ORURO,mortalidad,muerte rn menor de 7 dias,2010-01-01,1,1,0,0,1,1,2
POROMA,mortalidad,muerte rn menor de 7 dias,2010-01-01,0,0,0,1,0,1,1
POTOSI,mortalidad,muerte rn menor de 7 dias,2010-01-01,2,0,0,0,2,0,2
PRESTO,mortalidad,muerte rn menor de 7 dias,2010-01-01,0,1,1,0,1,1,2
PUERTO GONZALO MORENO,mortalidad,muerte rn menor de 7 dias,2010-01-01,0,0,1,0,1,0,1
QUILLACOLLO,mortalidad,muerte rn menor de 7 dias,2010-01-01,0,1,0,0,0,1,1
REYES,mortalidad,muerte rn menor de 7 dias,2010-01-01,0,0,0,1,0,1,1
RIBERALTA,mortalidad,muerte rn menor de 7 dias,2010-01-01,2,0,0,0,2,0,2
SAN BENITO,mortalidad,muerte rn menor de 7 dias,2010-01-01,0,1,0,0,0,1,1
SAN BORJA,mortalidad,muerte rn menor de 7 dias,2010-01-01,0,1,0,0,0,1,1
SAN JOSE DE CHIQUITOS,mortalidad,muerte rn menor de 7 dias,2010-01-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,mortalidad,muerte rn menor de 7 dias,2010-01-01,4,3,0,0,4,3,7
SOPACHUY,mortalidad,muerte rn menor de 7 dias,2010-01-01,0,0,0,1,0,1,1
SUCRE,mortalidad,muerte rn menor de 7 dias,2010-01-01,5,3,2,0,7,3,10
TARIJA,mortalidad,muerte rn menor de 7 dias,2010-01-01,4,3,0,0,4,3,7
TARVITA,mortalidad,muerte rn menor de 7 dias,2010-01-01,0,1,0,1,0,2,2
TRINIDAD,mortalidad,muerte rn menor de 7 dias,2010-01-01,1,1,0,0,1,1,2
TUPIZA,mortalidad,muerte rn menor de 7 dias,2010-01-01,0,1,0,0,0,1,1
VILLAZON,mortalidad,muerte rn menor de 7 dias,2010-01-01,1,4,0,0,1,4,5
WARNES,mortalidad,muerte rn menor de 7 dias,2010-01-01,0,0,0,1,0,1,1
YACUIBA,mortalidad,muerte rn menor de 7 dias,2010-01-01,2,0,0,0,2,0,2
AZURDUY,mortalidad,muerte rn menor de 7 dias,2010-02-01,0,0,0,1,0,1,1
BETANZOS,mortalidad,muerte rn menor de 7 dias,2010-02-01,0,0,0,1,0,1,1
CAMIRI,mortalidad,muerte rn menor de 7 dias,2010-02-01,1,0,0,0,1,0,1
CARACOLLO,mortalidad,muerte rn menor de 7 dias,2010-02-01,0,0,1,1,1,1,2
CHARAGUA,mortalidad,muerte rn menor de 7 dias,2010-02-01,0,1,0,0,0,1,1
CHUMA,mortalidad,muerte rn menor de 7 dias,2010-02-01,0,0,1,0,1,0,1
CKOCHAS,mortalidad,muerte rn menor de 7 dias,2010-02-01,0,0,1,0,1,0,1
COCHABAMBA,mortalidad,muerte rn menor de 7 dias,2010-02-01,8,8,1,0,9,8,17
COMARAPA,mortalidad,muerte rn menor de 7 dias,2010-02-01,0,1,0,0,0,1,1
EL ALTO,mortalidad,muerte rn menor de 7 dias,2010-02-01,3,1,0,0,3,1,4
ESCOMA,mortalidad,muerte rn menor de 7 dias,2010-02-01,2,0,0,0,2,0,2
EUREKA (SANTOS MERCADO),mortalidad,muerte rn menor de 7 dias,2010-02-01,0,1,0,0,0,1,1
HUANUNI,mortalidad,muerte rn menor de 7 dias,2010-02-01,0,0,1,0,1,0,1
LA PAZ,mortalidad,muerte rn menor de 7 dias,2010-02-01,7,4,0,1,7,5,12
LLALLAGUA,mortalidad,muerte rn menor de 7 dias,2010-02-01,0,0,0,1,0,1,1
MACHACAMARCA,mortalidad,muerte rn menor de 7 dias,2010-02-01,0,0,1,0,1,0,1
MOJOCOYA,mortalidad,muerte rn menor de 7 dias,2010-02-01,1,0,0,1,1,1,2
NAZACARA DE PACAJES,mortalidad,muerte rn menor de 7 dias,2010-02-01,1,0,0,0,1,0,1
ORURO,mortalidad,muerte rn menor de 7 dias,2010-02-01,2,0,0,0,2,0,2
PAILON,mortalidad,muerte rn menor de 7 dias,2010-02-01,1,0,0,0,1,0,1
POTOSI,mortalidad,muerte rn menor de 7 dias,2010-02-01,1,2,0,0,1,2,3
PUERTO SUAREZ,mortalidad,muerte rn menor de 7 dias,2010-02-01,0,2,0,0,0,2,2
PUNATA,mortalidad,muerte rn menor de 7 dias,2010-02-01,0,1,0,0,0,1,1
QUILLACOLLO,mortalidad,muerte rn menor de 7 dias,2010-02-01,1,0,0,0,1,0,1
RIBERALTA,mortalidad,muerte rn menor de 7 dias,2010-02-01,0,3,0,0,0,3,3
SAN JOSE DE CHIQUITOS,mortalidad,muerte rn menor de 7 dias,2010-02-01,2,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,mortalidad,muerte rn menor de 7 dias,2010-02-01,1,3,0,0,1,3,4
SUCRE,mortalidad,muerte rn menor de 7 dias,2010-02-01,5,2,0,0,5,2,7
TARIJA,mortalidad,muerte rn menor de 7 dias,2010-02-01,2,2,0,0,2,2,4
TINGUIPAYA,mortalidad,muerte rn menor de 7 dias,2010-02-01,0,0,1,0,1,0,1
YACO,mortalidad,muerte rn menor de 7 dias,2010-02-01,0,0,1,0,1,0,1
YACUIBA,mortalidad,muerte rn menor de 7 dias,2010-02-01,0,3,0,0,0,3,3
YAPACANI,mortalidad,muerte rn menor de 7 dias,2010-02-01,1,0,0,0,1,0,1
ARANI,mortalidad,muerte rn menor de 7 dias,2010-03-01,1,0,0,0,1,0,1
BERMEJO,mortalidad,muerte rn menor de 7 dias,2010-03-01,0,1,0,0,0,1,1
BOYUIBE,mortalidad,muerte rn menor de 7 dias,2010-03-01,0,0,1,0,1,0,1
CALACOTO,mortalidad,muerte rn menor de 7 dias,2010-03-01,0,1,0,0,0,1,1
CARIPUYO,mortalidad,muerte rn menor de 7 dias,2010-03-01,0,0,2,0,2,0,2
CHARAGUA,mortalidad,muerte rn menor de 7 dias,2010-03-01,1,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),mortalidad,muerte rn menor de 7 dias,2010-03-01,1,0,0,0,1,0,1
COCHABAMBA,mortalidad,muerte rn menor de 7 dias,2010-03-01,11,7,2,0,13,7,20
COLQUENCHA,mortalidad,muerte rn menor de 7 dias,2010-03-01,0,0,0,1,0,1,1
COMARAPA,mortalidad,muerte rn menor de 7 dias,2010-03-01,1,1,0,0,1,1,2
COROICO,mortalidad,muerte rn menor de 7 dias,2010-03-01,0,1,0,0,0,1,1
CORQUE,mortalidad,muerte rn menor de 7 dias,2010-03-01,0,0,1,0,1,0,1
EL ALTO,mortalidad,muerte rn menor de 7 dias,2010-03-01,3,3,1,0,4,3,7
ESCOMA,mortalidad,muerte rn menor de 7 dias,2010-03-01,0,2,0,0,0,2,2
GUAYARAMERIN,mortalidad,muerte rn menor de 7 dias,2010-03-01,0,2,0,0,0,2,2
LA GUARDIA,mortalidad,muerte rn menor de 7 dias,2010-03-01,0,1,0,0,0,1,1
LA PAZ,mortalidad,muerte rn menor de 7 dias,2010-03-01,6,6,2,0,8,6,14
LLALLAGUA,mortalidad,muerte rn menor de 7 dias,2010-03-01,1,0,1,0,2,0,2
ORURO,mortalidad,muerte rn menor de 7 dias,2010-03-01,2,1,0,1,2,2,4
POCOATA,mortalidad,muerte rn menor de 7 dias,2010-03-01,1,0,0,1,1,1,2
POTOSI,mortalidad,muerte rn menor de 7 dias,2010-03-01,1,2,0,0,1,2,3
PUERTO VILLARROEL,mortalidad,muerte rn menor de 7 dias,2010-03-01,0,0,0,4,0,4,4
PUNATA,mortalidad,muerte rn menor de 7 dias,2010-03-01,0,1,0,0,0,1,1
RIBERALTA,mortalidad,muerte rn menor de 7 dias,2010-03-01,0,1,0,0,0,1,1
ROBORE,mortalidad,muerte rn menor de 7 dias,2010-03-01,1,0,0,0,1,0,1
SACACA,mortalidad,muerte rn menor de 7 dias,2010-03-01,0,0,1,0,1,0,1
SAN BORJA,mortalidad,muerte rn menor de 7 dias,2010-03-01,2,0,0,0,2,0,2
SAN IGNACIO DE VELASCO,mortalidad,muerte rn menor de 7 dias,2010-03-01,2,0,0,0,2,0,2
SAN PEDRO DE BUENA VISTA,mortalidad,muerte rn menor de 7 dias,2010-03-01,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,mortalidad,muerte rn menor de 7 dias,2010-03-01,16,8,0,0,16,8,24
SUCRE,mortalidad,muerte rn menor de 7 dias,2010-03-01,2,1,0,0,2,1,3
TARIJA,mortalidad,muerte rn menor de 7 dias,2010-03-01,1,2,0,0,1,2,3
TINGUIPAYA,mortalidad,muerte rn menor de 7 dias,2010-03-01,0,0,1,0,1,0,1
TRINIDAD,mortalidad,muerte rn menor de 7 dias,2010-03-01,3,0,0,0,3,0,3
UNCIA,mortalidad,muerte rn menor de 7 dias,2010-03-01,0,0,0,1,0,1,1
VILLAZON,mortalidad,muerte rn menor de 7 dias,2010-03-01,1,0,0,0,1,0,1
YACUIBA,mortalidad,muerte rn menor de 7 dias,2010-03-01,3,2,0,1,3,3,6
YAMPARAEZ,mortalidad,muerte rn menor de 7 dias,2010-03-01,0,0,0,1,0,1,1
BETANZOS,mortalidad,muerte rn menor de 7 dias,2010-04-01,0,0,0,1,0,1,1
CALAMARCA,mortalidad,muerte rn menor de 7 dias,2010-04-01,0,0,2,0,2,0,2
CARACOLLO,mortalidad,muerte rn menor de 7 dias,2010-04-01,0,0,0,1,0,1,1
CARANAVI,mortalidad,muerte rn menor de 7 dias,2010-04-01,0,1,0,0,0,1,1
COCHABAMBA,mortalidad,muerte rn menor de 7 dias,2010-04-01,7,5,0,0,7,5,12
COTAGAITA,mortalidad,muerte rn menor de 7 dias,2010-04-01,1,0,0,0,1,0,1
EL ALTO,mortalidad,muerte rn menor de 7 dias,2010-04-01,3,4,2,1,5,5,10
ENTRE RIOS CBBA,mortalidad,muerte rn menor de 7 dias,2010-04-01,1,0,0,0,1,0,1
ESCOMA,mortalidad,muerte rn menor de 7 dias,2010-04-01,0,0,1,0,1,0,1
GUAYARAMERIN,mortalidad,muerte rn menor de 7 dias,2010-04-01,3,2,0,0,3,2,5
LA PAZ,mortalidad,muerte rn menor de 7 dias,2010-04-01,6,3,0,0,6,3,9
LLALLAGUA,mortalidad,muerte rn menor de 7 dias,2010-04-01,1,1,0,0,1,1,2
ORURO,mortalidad,muerte rn menor de 7 dias,2010-04-01,3,3,0,0,3,3,6
PALOS BLANCOS,mortalidad,muerte rn menor de 7 dias,2010-04-01,1,0,0,0,1,0,1
PAPEL PAMPA,mortalidad,muerte rn menor de 7 dias,2010-04-01,0,0,1,0,1,0,1
POROMA,mortalidad,muerte rn menor de 7 dias,2010-04-01,0,1,0,0,0,1,1
PORONGO,mortalidad,muerte rn menor de 7 dias,2010-04-01,0,0,1,0,1,0,1
POTOSI,mortalidad,muerte rn menor de 7 dias,2010-04-01,1,1,0,0,1,1,2
PUERTO SUAREZ,mortalidad,muerte rn menor de 7 dias,2010-04-01,1,0,0,0,1,0,1
PUERTO VILLARROEL,mortalidad,muerte rn menor de 7 dias,2010-04-01,1,0,0,0,1,0,1
PUNATA,mortalidad,muerte rn menor de 7 dias,2010-04-01,0,1,0,0,0,1,1
RAVELO,mortalidad,muerte rn menor de 7 dias,2010-04-01,1,0,1,0,2,0,2
RIBERALTA,mortalidad,muerte rn menor de 7 dias,2010-04-01,3,2,0,0,3,2,5
SAMAIPATA,mortalidad,muerte rn menor de 7 dias,2010-04-01,0,1,0,0,0,1,1
SAN BUENA VENTURA,mortalidad,muerte rn menor de 7 dias,2010-04-01,0,0,0,1,0,1,1
SAN IGNACIO DE VELASCO,mortalidad,muerte rn menor de 7 dias,2010-04-01,1,0,0,0,1,0,1
SAN JAVIER(STC),mortalidad,muerte rn menor de 7 dias,2010-04-01,1,0,0,0,1,0,1
SAN JOSE DE CHIQUITOS,mortalidad,muerte rn menor de 7 dias,2010-04-01,1,0,0,0,1,0,1
SAN LORENZO(PND),mortalidad,muerte rn menor de 7 dias,2010-04-01,0,0,1,0,1,0,1
SAN PEDRO DE BUENA VISTA,mortalidad,muerte rn menor de 7 dias,2010-04-01,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,mortalidad,muerte rn menor de 7 dias,2010-04-01,11,6,0,0,11,6,17
SUCRE,mortalidad,muerte rn menor de 7 dias,2010-04-01,5,4,0,0,5,4,9
TAPACARI,mortalidad,muerte rn menor de 7 dias,2010-04-01,0,0,1,0,1,0,1
TARABUCO,mortalidad,muerte rn menor de 7 dias,2010-04-01,0,0,2,0,2,0,2
TARIJA,mortalidad,muerte rn menor de 7 dias,2010-04-01,3,0,0,0,3,0,3
TINGUIPAYA,mortalidad,muerte rn menor de 7 dias,2010-04-01,0,0,0,1,0,1,1
TOMINA,mortalidad,muerte rn menor de 7 dias,2010-04-01,0,0,1,0,1,0,1
UYUNI,mortalidad,muerte rn menor de 7 dias,2010-04-01,1,1,1,0,2,1,3
VIACHA,mortalidad,muerte rn menor de 7 dias,2010-04-01,0,1,0,0,0,1,1
VILLA MONTES,mortalidad,muerte rn menor de 7 dias,2010-04-01,1,0,0,0,1,0,1
VILLA TUNARI,mortalidad,muerte rn menor de 7 dias,2010-04-01,0,1,0,0,0,1,1
VILLAZON,mortalidad,muerte rn menor de 7 dias,2010-04-01,1,0,0,0,1,0,1
WARNES,mortalidad,muerte rn menor de 7 dias,2010-04-01,1,0,0,0,1,0,1
YACUIBA,mortalidad,muerte rn menor de 7 dias,2010-04-01,1,2,0,0,1,2,3
YUNCHARA,mortalidad,muerte rn menor de 7 dias,2010-04-01,0,0,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),mortalidad,muerte rn menor de 7 dias,2010-05-01,2,0,0,0,2,0,2
COCHABAMBA,mortalidad,muerte rn menor de 7 dias,2010-05-01,6,5,0,0,6,5,11
COLCAPIRHUA,mortalidad,muerte rn menor de 7 dias,2010-05-01,0,0,1,0,1,0,1
COLQUENCHA,mortalidad,muerte rn menor de 7 dias,2010-05-01,0,0,1,0,1,0,1
COPACABANA,mortalidad,muerte rn menor de 7 dias,2010-05-01,1,0,0,0,1,0,1
EL ALTO,mortalidad,muerte rn menor de 7 dias,2010-05-01,6,3,2,2,8,5,13
ESCOMA,mortalidad,muerte rn menor de 7 dias,2010-05-01,1,0,0,0,1,0,1
HUAYLLAMARCA,mortalidad,muerte rn menor de 7 dias,2010-05-01,0,0,1,1,1,1,2
JESUS DE MACHACA,mortalidad,muerte rn menor de 7 dias,2010-05-01,0,0,1,0,1,0,1
LA PAZ,mortalidad,muerte rn menor de 7 dias,2010-05-01,4,4,0,1,4,5,9
LLALLAGUA,mortalidad,muerte rn menor de 7 dias,2010-05-01,0,1,2,0,2,1,3
