municipality,group,variable,month,Nro.,Nro. Afectados,Nro. Fallecidos,TOTAL
ICLA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-01-01,1.0,13.0,0.0,14.0
VILLAZON,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-01-01,1.0,200.0,0.0,201.0
ANZALDO,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-02-01,0.0,20.0,0.0,20.0
TOMINA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-02-01,1.0,0.0,0.0,1.0
TUPIZA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-02-01,1.0,2.0,0.0,3.0
YOTALA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-02-01,1.0,26.0,0.0,27.0
SICA SICA (VILLA AROMA),registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-03-01,0.0,1.0,1.0,2.0
TAPACARI,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-03-01,1.0,5.0,0.0,6.0
SUCRE,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-04-01,1.0,7.0,0.0,8.0
BERMEJO,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-07-01,1.0,0.0,0.0,1.0
ENTRE RIOS TRJ,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-07-01,2.0,400.0,0.0,402.0
MACHARETI,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-07-01,4.0,2444.0,0.0,2448.0
MONTEAGUDO,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-07-01,2.0,0.0,0.0,2.0
QUIME,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-07-01,0.0,6.0,2.0,8.0
SUCRE,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-07-01,0.0,6.0,0.0,6.0
TARVITA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-07-01,1.0,40.0,0.0,41.0
VILLA MONTES,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-07-01,1.0,23.0,0.0,24.0
LAGUNILLAS,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-08-01,7.0,1351.0,0.0,1358.0
PUCARA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-08-01,1.0,0.0,0.0,1.0
COCHABAMBA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-09-01,0.0,0.0,1.0,1.0
LAGUNILLAS,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-09-01,0.0,16.0,0.0,16.0
QUIME,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-09-01,1.0,0.0,0.0,1.0
CONCEPCION,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-10-01,1.0,0.0,0.0,1.0
URIONDO (A. CONCEPCION),registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-10-01,1.0,0.0,0.0,1.0
HUARINA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-11-01,2.0,0.0,0.0,2.0
COLQUECHACA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-12-01,1.0,2000.0,0.0,2001.0
ICHOCA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-12-01,1.0,60.0,0.0,61.0
TARVITA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-12-01,2.0,0.0,0.0,2.0
TOMINA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-12-01,1.0,0.0,0.0,1.0
VILLA TUNARI,registro de eventos de notificacion inmediata,helada/granizo/nevada,2010-12-01,0.0,1.0,0.0,1.0
