municipality,group,variable,month,Nro.,Nro. Afectados,Nro. Fallecidos,TOTAL
CHIMORE,registro de eventos de notificacion inmediata,inundacion,2010-01-01,5.0,1480.0,0.0,1485.0
EL ALTO,registro de eventos de notificacion inmediata,inundacion,2010-01-01,2.0,835.0,0.0,837.0
EL CHORO,registro de eventos de notificacion inmediata,inundacion,2010-01-01,36.0,110.0,0.0,146.0
GENERAL SAAVEDRA,registro de eventos de notificacion inmediata,inundacion,2010-01-01,2.0,158.0,0.0,160.0
MINEROS,registro de eventos de notificacion inmediata,inundacion,2010-01-01,1.0,20.0,0.0,21.0
OKINAWA,registro de eventos de notificacion inmediata,inundacion,2010-01-01,2.0,40.0,0.0,42.0
POROMA,registro de eventos de notificacion inmediata,inundacion,2010-01-01,1.0,2.0,1.0,4.0
PUERTO VILLARROEL,registro de eventos de notificacion inmediata,inundacion,2010-01-01,6.0,1931.0,0.0,1937.0
SAN PEDRO,registro de eventos de notificacion inmediata,inundacion,2010-01-01,1.0,31.0,0.0,32.0
SANTA ROSA DEL SARA,registro de eventos de notificacion inmediata,inundacion,2010-01-01,3.0,420.0,0.0,423.0
VILLA TUNARI,registro de eventos de notificacion inmediata,inundacion,2010-01-01,3.0,500.0,0.0,503.0
WARNES,registro de eventos de notificacion inmediata,inundacion,2010-01-01,4.0,1284.0,0.0,1288.0
GENERAL SAAVEDRA,registro de eventos de notificacion inmediata,inundacion,2010-02-01,5.0,1032.0,0.0,1037.0
PUERTO VILLARROEL,registro de eventos de notificacion inmediata,inundacion,2010-02-01,9.0,2749.0,0.0,2758.0
RURRENABAQUE,registro de eventos de notificacion inmediata,inundacion,2010-02-01,2.0,130.0,0.0,132.0
SANTA ANA,registro de eventos de notificacion inmediata,inundacion,2010-02-01,2.0,1435.0,0.0,1437.0
YAPACANI,registro de eventos de notificacion inmediata,inundacion,2010-02-01,6.0,371.0,0.0,377.0
GUANAY,registro de eventos de notificacion inmediata,inundacion,2010-03-01,1.0,225.0,0.0,226.0
OKINAWA,registro de eventos de notificacion inmediata,inundacion,2010-03-01,1.0,53.0,0.0,54.0
PUERTO SILES,registro de eventos de notificacion inmediata,inundacion,2010-03-01,8.0,41.0,0.0,49.0
PUERTO VILLARROEL,registro de eventos de notificacion inmediata,inundacion,2010-03-01,1.0,100.0,0.0,101.0
RURRENABAQUE,registro de eventos de notificacion inmediata,inundacion,2010-03-01,1.0,44.0,0.0,45.0
SANTA ROSA,registro de eventos de notificacion inmediata,inundacion,2010-03-01,0.0,1036.0,0.0,1036.0
PUERTO VILLARROEL,registro de eventos de notificacion inmediata,inundacion,2010-10-01,1.0,180.0,0.0,181.0
VILLA TUNARI,registro de eventos de notificacion inmediata,inundacion,2010-12-01,0.0,1.0,4.0,5.0
