,group,variable,month,< de 1 año,< de 1 año,1 a 4 años,1 a 4 años,5 a 9 años,5 a 9 años,10 a 20 años,10 a 20 años,21 a 59 años,21 a 59 años,60 y más,60 y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ALTO BENI,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,1,0,0,0,0,0,0,1,0,0,0,0,1,1,2
APOLO,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
ARAMPAMPA,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ARBIETO,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
AZURDUY,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2
BERMEJO,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,0,0,0,1,3,1,11,3,0,0,14,5,19
BUENA VISTA,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
CALAMARCA,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,1,1,0,0,0,0,3,1,0,0,4,2,6
CAPINOTA,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CHALLAPATA,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,0,0,0,1,0,4,4,9,1,2,5,16,21
CHAYANTA,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
CKOCHAS,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
COCHABAMBA,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,1,0,1,3,40,12,124,50,12,8,178,73,251
COLCAPIRHUA,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,0,0,0,2,0,0,7,1,0,0,7,3,10
COLPA BELGICA,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
COTOCA,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,2,1,6,3,9,3,3,1,8,6,2,0,30,14,44
EL ALTO,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,3,1,17,12,14,8,50,18,52,26,4,3,140,68,208
EL TORNO,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,0,0,0,0,1,0,3,0,0,0,4,0,4
ENTRE RIOS CBBA,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,1,0,1,0,0,0,1,3,1,1,4,4,8
HUANUNI,"violencia, hechos de transito y accidentes",accidentes,2010-01-01,0,0,1,3,2,0,1,1,2,3,0,0,6,7,13
