,group,variable,month,< de 1 año,< de 1 año,1 a 4 años,1 a 4 años,5 a 9 años,5 a 9 años,10 a 20 años,10 a 20 años,21 a 59 años,21 a 59 años,60 y más,60 y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ANDAMARCA,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
BERMEJO,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,0,0,1,0,5,5,0,1,6,6,12
CAMIRI,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,1,3,2,7,8,9,0,1,11,20,31
CHALLAPATA,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,1,0,1,0,5,1,0,0,7,1,8
CHIMORE,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
COCHABAMBA,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
COLOMI,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,0,0,0,1,7,1,1,0,8,2,10
COLPA BELGICA,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2
COMARAPA,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
COPACABANA,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
COROICO,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
COTOCA,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,0,2,1,0,4,1,1,0,6,3,9
EL ALTO,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,3,1,1,1,2,0,7,4,21,5,2,1,36,12,48
EL TORNO,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2
ENTRE RIOS CBBA,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,1,0,3,0,2,0,0,0,6,0,6
HUANUNI,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,1,0,1,1,0,2,3,4,2,0,7,7,14
IRUPANA (VILLA DE LANZA),"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
LA GUARDIA,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,1,0,1,1,4,0,7,2,1,2,14,5,19
LA PAZ,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,1,0,0,0,1,0,1,0,0,1,3,1,4
MAIRANA,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
