,group,variable,month,< de 1 año,< de 1 año,1 a 4 años,1 a 4 años,5 a 9 años,5 a 9 años,10 a 20 años,10 a 20 años,21 a 59 años,21 a 59 años,60 y más,60 y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACHACACHI,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2010-01-01,0,0,0,0,0,0,0,1,0,3,1,2,1,6,7
AIQUILE,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2010-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
ANDAMARCA,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2010-01-01,0,0,1,0,0,0,1,1,3,0,0,1,5,2,7
ANZALDO,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2010-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
ARANI,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2010-01-01,0,0,0,0,0,0,0,0,2,1,1,1,3,2,5
ASCENCION DE GUARAYOS,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2010-01-01,0,0,0,0,0,0,6,4,14,3,5,0,25,7,32
AYATA,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2010-01-01,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2010-01-01,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2
BERMEJO,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2010-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
CAIROMA,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2010-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CALAMARCA,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2010-01-01,0,0,0,0,0,1,1,0,2,1,1,0,4,2,6
CAMIRI,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2010-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CAPINOTA,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2010-01-01,0,0,0,0,0,0,0,0,1,5,2,0,3,5,8
CARACOLLO,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2010-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
CARMEN RIVERO TORREZ,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2010-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
CHAYANTA,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2010-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2010-01-01,0,3,12,4,10,5,15,6,32,22,4,4,73,44,117
