,group,variable,month,< de 1 año,< de 1 año,1 a 4 años,1 a 4 años,5 a 9 años,5 a 9 años,10 a 20 años,10 a 20 años,21 a 59 años,21 a 59 años,60 y más,60 y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACHACACHI,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2010-01-01,0,0,0,0,0,0,0,3,0,8,0,0,0,11,11
AIQUILE,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2010-01-01,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
ANTEQUERA,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2010-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
ANZALDO,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2010-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
ARANI,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2010-01-01,0,0,0,0,0,0,0,1,1,4,0,0,1,5,6
ASCENCION DE GUARAYOS,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2010-01-01,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2
AYATA,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2010-01-01,0,0,0,0,0,0,0,0,1,2,0,0,1,2,3
AZURDUY,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2010-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
BERMEJO,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2010-01-01,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2
BETANZOS,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2010-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CALAMARCA,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2010-01-01,0,0,0,1,0,0,0,0,0,1,0,0,0,2,2
CARACOLLO,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2010-01-01,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2
CARMEN RIVERO TORREZ,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2010-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
CHALLAPATA,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2010-01-01,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3
CHIMORE,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2010-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CHUMA,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2010-01-01,0,0,0,0,0,0,0,0,1,2,0,0,1,2,3
COCAPATA,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2010-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
COCHABAMBA,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2010-01-01,0,0,0,0,0,1,1,3,0,8,0,0,1,12,13
COLCAPIRHUA,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2010-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
