,group,variable,month,< de 1 año,< de 1 año,1 a 4 años,1 a 4 años,5 a 9 años,5 a 9 años,10 a 20 años,10 a 20 años,21 a 59 años,21 a 59 años,60 y más,60 y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACHACACHI,"violencia, hechos de transito y accidentes",hechos de transito,2014-01-01,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2
ALALAY,"violencia, hechos de transito y accidentes",hechos de transito,2014-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARANI,"violencia, hechos de transito y accidentes",hechos de transito,2014-01-01,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2
ASCENCION DE GUARAYOS,"violencia, hechos de transito y accidentes",hechos de transito,2014-01-01,0,0,0,1,1,0,3,3,8,2,2,0,14,6,20
BELLA FLOR,"violencia, hechos de transito y accidentes",hechos de transito,2014-01-01,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3
BETANZOS,"violencia, hechos de transito y accidentes",hechos de transito,2014-01-01,0,0,0,0,0,0,0,0,5,2,0,0,5,2,7
BOYUIBE,"violencia, hechos de transito y accidentes",hechos de transito,2014-01-01,0,0,0,0,0,0,0,0,2,1,0,1,2,2,4
BUENA VISTA,"violencia, hechos de transito y accidentes",hechos de transito,2014-01-01,0,0,0,0,0,0,1,0,3,0,0,0,4,0,4
CABEZAS,"violencia, hechos de transito y accidentes",hechos de transito,2014-01-01,0,0,0,1,1,0,1,1,3,1,0,0,5,3,8
CALAMARCA,"violencia, hechos de transito y accidentes",hechos de transito,2014-01-01,0,0,0,1,0,0,0,0,2,0,0,0,2,1,3
CAMIRI,"violencia, hechos de transito y accidentes",hechos de transito,2014-01-01,0,0,0,0,0,0,1,1,3,0,0,0,4,1,5
CARACOLLO,"violencia, hechos de transito y accidentes",hechos de transito,2014-01-01,0,1,0,0,0,0,2,0,7,2,0,0,9,3,12
CARAPARI,"violencia, hechos de transito y accidentes",hechos de transito,2014-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
CHALLAPATA,"violencia, hechos de transito y accidentes",hechos de transito,2014-01-01,0,0,0,0,1,1,1,1,3,5,0,1,5,8,13
COBIJA,"violencia, hechos de transito y accidentes",hechos de transito,2014-01-01,0,0,0,2,0,0,3,1,1,4,0,0,4,7,11
COCHABAMBA,"violencia, hechos de transito y accidentes",hechos de transito,2014-01-01,1,1,0,0,4,3,10,4,27,14,3,6,45,28,73
COLOMI,"violencia, hechos de transito y accidentes",hechos de transito,2014-01-01,0,0,2,0,0,0,0,2,9,3,1,0,12,5,17
COLPA BELGICA,"violencia, hechos de transito y accidentes",hechos de transito,2014-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
COMARAPA,"violencia, hechos de transito y accidentes",hechos de transito,2014-01-01,0,0,0,0,1,1,3,5,9,7,1,0,14,13,27
CONCEPCION,"violencia, hechos de transito y accidentes",hechos de transito,2014-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
