,group,variable,month,< de 1 año,< de 1 año,1 a 4 años,1 a 4 años,5 a 9 años,5 a 9 años,10 a 20 años,10 a 20 años,21 a 59 años,21 a 59 años,60 y más,60 y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACHACACHI,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,1,0,1,1,3,3,5,4,9
ALALAY,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCALA,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
ANCORAIMES,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,8,6,12,15,3,2,1,3,7,6,8,6,39,38,77
APOLO,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,1,0,0,0,6,3,1,0,8,3,11
ARANI,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2
ASCENCION DE GUARAYOS,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,3,1,2,0,4,1,11,0,1,1,21,3,24
ATOCHA,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,0,0,4,2,0,0,4,2,6
AYO AYO,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,2,1,0,0,0,5,1,0,0,6,3,9
AYOPAYA (V. DE INDEPENDENCIA),"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2
BOYUIBE,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2
BUENA VISTA,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,0,0,3,1,0,0,3,1,4
CALAMARCA,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,2,0,13,9,3,1,6,7,4,16,3,4,31,37,68
CAMARGO,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2
CAMIRI,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CARACOLLO,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,2,1,1,0,3,1,2,4,4,1,12,7,19
CARANAVI,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2
CARMEN RIVERO TORREZ,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2
CHALLAPATA,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,1,0,1,0,1,0,0,0,3,0,3
CKOCHAS,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,0,1,3,1,0,0,3,2,5
COBIJA,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,1,12,6,11,6,16,12,45,26,5,6,89,57,146
