,group,variable,month,< de 1 año,< de 1 año,1 a 4 años,1 a 4 años,5 a 9 años,5 a 9 años,10 a 20 años,10 a 20 años,21 a 59 años,21 a 59 años,60 y más,60 y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2014-01-01,0,0,0,0,0,0,1,0,0,1,0,0,1,1,2
ACHACACHI,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2014-01-01,0,0,0,0,0,0,1,2,3,6,0,2,4,10,14
AIQUILE,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2014-01-01,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2
ALALAY,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2014-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
ANCORAIMES,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2014-01-01,0,0,0,0,0,0,0,0,0,1,0,2,0,3,3
ARAMPAMPA,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2014-01-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
ASCENCION DE GUARAYOS,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2014-01-01,0,0,0,0,0,0,1,0,1,1,0,0,2,1,3
CALAMARCA,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2014-01-01,0,0,0,0,0,0,0,0,1,0,0,2,1,2,3
CAMARGO,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2014-01-01,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
CAMIRI,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2014-01-01,0,0,0,0,0,0,0,0,6,5,0,0,6,5,11
CARACOLLO,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2014-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CARIPUYO,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2014-01-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
CHALLAPATA,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2014-01-01,0,0,0,0,0,0,2,1,3,1,1,0,6,2,8
CHARAGUA,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2014-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
CHIPAYA,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2014-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CHOQUE COTA,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2014-01-01,0,0,0,0,0,0,0,0,2,0,1,0,3,0,3
CKOCHAS,"violencia, hechos de transito y accidentes","otras violencias (accidentes, agresiones, leer in",2014-01-01,0,1,1,0,1,0,0,0,1,1,0,0,3,2,5
