,group,variable,month,< de 1 año,< de 1 año,1 a 4 años,1 a 4 años,5 a 9 años,5 a 9 años,10 a 20 años,10 a 20 años,21 a 59 años,21 a 59 años,60 y más,60 y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACHACACHI,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2014-01-01,0,0,0,0,0,0,0,2,1,4,0,0,1,6,7
ACHOCALLA,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2014-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
AIQUILE,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2014-01-01,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2
ALALAY,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2014-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDAMARCA,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2014-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
APOLO,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2014-01-01,0,0,0,0,0,0,0,0,2,2,0,1,2,3,5
ARANI,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2014-01-01,0,0,0,0,0,0,0,1,0,2,0,0,0,3,3
CALAMARCA,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2014-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CAMARGO,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2014-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CAMATAQUI (C. VILLA ABECIA),"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2014-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
CAMIRI,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2014-01-01,0,0,0,0,0,0,0,1,0,2,0,0,0,3,3
CARACOLLO,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2014-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CHALLAPATA,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2014-01-01,0,0,0,0,0,0,0,1,0,5,0,0,0,6,6
CHIMORE,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2014-01-01,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2
CHUMA,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2014-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CKOCHAS,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2014-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CLIZA,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2014-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
COBIJA,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2014-01-01,0,0,0,0,0,0,1,1,1,5,0,0,2,6,8
COCHABAMBA,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2014-01-01,0,0,0,0,1,1,26,37,0,9,0,0,27,47,74
