,group,variable,month,< de 1 año,< de 1 año,1 a 4 años,1 a 4 años,5 a 9 años,5 a 9 años,10 a 20 años,10 a 20 años,21 a 59 años,21 a 59 años,60 y más,60 y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACHACACHI,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2013-01-01,0,0,0,0,0,0,0,0,1,2,1,0,2,2,4
ACHOCALLA,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2013-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
AIQUILE,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2013-01-01,0,0,0,0,0,0,1,0,0,0,0,2,1,2,3
ALCALA,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2013-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
ARANI,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2013-01-01,0,0,0,0,0,0,0,1,0,2,0,0,0,3,3
AYATA,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2013-01-01,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2013-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
BERMEJO,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2013-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CALAMARCA,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2013-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CAMIRI,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2013-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CARACOLLO,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2013-01-01,0,0,0,0,0,0,0,3,2,1,0,0,2,4,6
CHALLAPATA,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2013-01-01,0,0,0,0,0,0,1,0,1,4,0,0,2,4,6
CHIMORE,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2013-01-01,0,0,0,0,0,0,0,2,0,3,0,0,0,5,5
CHIPAYA,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2013-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
CLIZA,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2013-01-01,0,0,0,0,0,0,0,0,4,2,0,0,4,2,6
COBIJA,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2013-01-01,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3
COCHABAMBA,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2013-01-01,0,0,0,0,1,0,3,5,3,4,0,1,7,10,17
COLCAPIRHUA,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2013-01-01,0,0,0,0,0,0,0,1,2,1,2,0,4,2,6
COLLANA,"violencia, hechos de transito y accidentes",intrafamiliar/domestica,2013-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
