,group,variable,month,< de 1 año,< de 1 año,1 a 4 años,1 a 4 años,5 a 9 años,5 a 9 años,10 a 20 años,10 a 20 años,21 a 59 años,21 a 59 años,60 y más,60 y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACHACACHI,"violencia, hechos de transito y accidentes",hechos de transito,2013-01-01,0,0,0,0,1,0,1,1,0,0,0,1,2,2,4
ACHOCALLA,"violencia, hechos de transito y accidentes",hechos de transito,2013-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
APOLO,"violencia, hechos de transito y accidentes",hechos de transito,2013-01-01,1,0,0,0,1,0,1,4,6,6,2,1,11,11,22
ASCENCION DE GUARAYOS,"violencia, hechos de transito y accidentes",hechos de transito,2013-01-01,0,0,1,0,0,0,7,3,13,1,0,0,21,4,25
AYOPAYA (V. DE INDEPENDENCIA),"violencia, hechos de transito y accidentes",hechos de transito,2013-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
BERMEJO,"violencia, hechos de transito y accidentes",hechos de transito,2013-01-01,0,0,0,0,0,0,6,3,10,6,0,0,16,9,25
BOLPEBRA,"violencia, hechos de transito y accidentes",hechos de transito,2013-01-01,0,0,0,0,0,0,1,0,2,0,0,0,3,0,3
BUENA VISTA,"violencia, hechos de transito y accidentes",hechos de transito,2013-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
CABEZAS,"violencia, hechos de transito y accidentes",hechos de transito,2013-01-01,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2
CAJUATA,"violencia, hechos de transito y accidentes",hechos de transito,2013-01-01,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2
CALAMARCA,"violencia, hechos de transito y accidentes",hechos de transito,2013-01-01,0,0,1,0,0,0,2,2,6,12,0,0,9,14,23
CAMIRI,"violencia, hechos de transito y accidentes",hechos de transito,2013-01-01,0,0,0,0,0,1,2,0,5,6,0,0,7,7,14
CAQUIAVIRI,"violencia, hechos de transito y accidentes",hechos de transito,2013-01-01,0,0,1,0,1,0,3,1,1,1,0,0,6,2,8
CARACOLLO,"violencia, hechos de transito y accidentes",hechos de transito,2013-01-01,0,0,2,2,1,1,5,2,2,3,0,0,10,8,18
CARAPARI,"violencia, hechos de transito y accidentes",hechos de transito,2013-01-01,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2
CARMEN RIVERO TORREZ,"violencia, hechos de transito y accidentes",hechos de transito,2013-01-01,0,0,0,0,0,0,1,0,1,1,0,0,2,1,3
CHALLAPATA,"violencia, hechos de transito y accidentes",hechos de transito,2013-01-01,0,0,3,2,0,0,0,3,12,17,0,0,15,22,37
CHIMORE,"violencia, hechos de transito y accidentes",hechos de transito,2013-01-01,0,0,0,0,0,1,1,0,1,0,0,0,2,1,3
CLIZA,"violencia, hechos de transito y accidentes",hechos de transito,2013-01-01,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2
COBIJA,"violencia, hechos de transito y accidentes",hechos de transito,2013-01-01,0,0,0,1,0,0,1,2,9,1,0,1,10,5,15
