,group,variable,month,< de 1 año,< de 1 año,1 a 4 años,1 a 4 años,5 a 9 años,5 a 9 años,10 a 20 años,10 a 20 años,21 a 59 años,21 a 59 años,60 y más,60 y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACHACACHI,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,0,1,1,3,0,1,4,5,5,10
ACHOCALLA,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,0,0,0,2,1,0,0,2,1,3
AIQUILE,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,1,0,0,0,1,1,1,0,3,1,4
ALALAY,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,1,0,0,0,2,0,0,0,3,0,3
ALCALA,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,1,0,0,0,0,1,1,2,1,1,1,4,4,8
ANCORAIMES,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,3,2,13,10,2,1,3,1,7,4,4,5,32,23,55
ASCENCION DE GUARAYOS,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,4,2,2,1,6,2,5,0,0,0,17,5,22
ATOCHA,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,1,0,0,0,4,0,0,0,5,0,5
AYO AYO,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,2,0,5,0,1,0,1,0,6,8,0,4,15,12,27
AYOPAYA (V. DE INDEPENDENCIA),"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
BERMEJO,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,0,3,4,10,4,1,0,14,8,22
BOYUIBE,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2
BUENA VISTA,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,1,0,1,0,3,1,4,0,1,0,10,1,11
CALAMARCA,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,1,8,7,2,0,4,1,7,2,4,1,25,12,37
CAMIRI,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CARANAVI,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,1,0,0,1,0,0,2,0,3,1,3,0,9,2,11
CARAPARI,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
CARMEN RIVERO TORREZ,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
CHALLAPATA,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,1,0,0,1,0,0,0,1,0,0,0,0,1,2,3
CHIMORE,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,0,0,1,3,1,0,3,3,11,1,1,0,17,7,24
COBIJA,"violencia, hechos de transito y accidentes",accidentes,2013-01-01,1,0,9,5,7,3,19,10,42,19,8,3,86,40,126
