,group,variable,month,< de 1 año,< de 1 año,1 a 4 años,1 a 4 años,5 a 9 años,5 a 9 años,10 a 20 años,10 a 20 años,21 a 59 años,21 a 59 años,60 y más,60 y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,,,,,
LA PAZ,inmunoprevenibles,tetanos,2009-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
RURRENABAQUE,inmunoprevenibles,tetanos,2009-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
SAN JOSE DE CHIQUITOS,inmunoprevenibles,tetanos,2009-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
PUERTO QUIJARRO,inmunoprevenibles,tetanos,2009-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
COCHABAMBA,inmunoprevenibles,tetanos,2009-03-01,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2
POTOSI,inmunoprevenibles,tetanos,2009-03-01,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2
ANZALDO,inmunoprevenibles,tetanos,2009-04-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
COCHABAMBA,inmunoprevenibles,tetanos,2009-04-01,0,0,0,0,0,0,0,0,2,3,0,0,2,3,5
SANTA CRUZ DE LA SIERRA,inmunoprevenibles,tetanos,2009-04-01,0,0,0,0,0,0,0,1,0,9,0,0,0,10,10
MACHACAMARCA,inmunoprevenibles,tetanos,2009-05-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,inmunoprevenibles,tetanos,2009-05-01,0,0,0,0,1,0,0,0,0,0,0,1,1,1,2
TRINIDAD,inmunoprevenibles,tetanos,2009-05-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
COCHABAMBA,inmunoprevenibles,tetanos,2009-06-01,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
EL ALTO,inmunoprevenibles,tetanos,2009-06-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
OKINAWA,inmunoprevenibles,tetanos,2009-06-01,0,0,0,0,2,0,2,0,1,2,1,1,6,3,9
SANTA CRUZ DE LA SIERRA,inmunoprevenibles,tetanos,2009-06-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,inmunoprevenibles,tetanos,2009-07-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
ACACIO,inmunoprevenibles,tetanos,2009-08-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
ASCENCION DE GUARAYOS,inmunoprevenibles,tetanos,2009-09-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
CAMIRI,inmunoprevenibles,tetanos,2009-09-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
COCHABAMBA,inmunoprevenibles,tetanos,2009-09-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,inmunoprevenibles,tetanos,2009-09-01,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2
CAMIRI,inmunoprevenibles,tetanos,2009-10-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
COCHABAMBA,inmunoprevenibles,tetanos,2009-10-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
SAN MATIAS,inmunoprevenibles,tetanos,2009-10-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,inmunoprevenibles,tetanos,2009-10-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
EL ALTO,inmunoprevenibles,tetanos,2009-11-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
SAN RAFAEL,inmunoprevenibles,tetanos,2009-11-01,0,0,0,1,0,0,0,1,0,0,0,0,0,2,2
SANTA CRUZ DE LA SIERRA,inmunoprevenibles,tetanos,2009-11-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
TOTORA(CBBA),inmunoprevenibles,tetanos,2009-12-01,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
