municipality,group,variable,month,TOTAL
TIRAQUE (CBBA),eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2020-01-01,16.0
YANACACHI,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2020-01-01,1.0
CURVA,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2020-02-01,1.0
LA PAZ,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2020-02-01,88.0
PELECHUCO,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2020-02-01,1.0
INQUISIVI,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2020-03-01,13.0
CHUMA,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2020-07-01,41.0
GRAL. J.J. PEREZ (CHARAZANI),eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2020-08-01,1.0
CHUQUIHUTA AYLLU JUCUMANI,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2020-10-01,3.0
TACACOMA,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2020-10-01,1.0
CHUQUIHUTA AYLLU JUCUMANI,eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2020-12-01,6.0
GRAL. J.J. PEREZ (CHARAZANI),eventos - notificacion inmediata parte ii,deslizamiento/sismo/terremoto,2020-12-01,1.0
