municipality,group,variable,month,TOTAL
AZURDUY,eventos - notificacion inmediata parte ii,otros de excepcion,2016-01-01,140.0
SAN LUCAS,eventos - notificacion inmediata parte ii,otros de excepcion,2016-02-01,2.0
TARVITA,eventos - notificacion inmediata parte ii,otros de excepcion,2016-02-01,3.0
QUILLACOLLO,eventos - notificacion inmediata parte ii,otros de excepcion,2016-03-01,3.0
TOLATA,eventos - notificacion inmediata parte ii,otros de excepcion,2016-03-01,8.0
COTAGAITA,eventos - notificacion inmediata parte ii,otros de excepcion,2016-04-01,1.0
TARABUCO,eventos - notificacion inmediata parte ii,otros de excepcion,2016-04-01,565.0
ANZALDO,eventos - notificacion inmediata parte ii,otros de excepcion,2016-06-01,1.0
BOLPEBRA,eventos - notificacion inmediata parte ii,otros de excepcion,2016-08-01,1.0
BOYUIBE,eventos - notificacion inmediata parte ii,otros de excepcion,2016-08-01,670.0
MACHARETI,eventos - notificacion inmediata parte ii,otros de excepcion,2016-08-01,246.0
CAMARGO,eventos - notificacion inmediata parte ii,otros de excepcion,2016-11-01,1.0
SAN LUCAS,eventos - notificacion inmediata parte ii,otros de excepcion,2016-11-01,2.0
SAN LUCAS,eventos - notificacion inmediata parte ii,otros de excepcion,2016-12-01,1.0
SOPACHUY,eventos - notificacion inmediata parte ii,otros de excepcion,2016-12-01,3.0
