municipality,group,variable,month,TOTAL
CHIMORE,eventos - notificacion inmediata parte ii,inundacion,2016-02-01,81.0
ESCOMA,eventos - notificacion inmediata parte ii,inundacion,2016-02-01,121.0
POROMA,eventos - notificacion inmediata parte ii,inundacion,2016-02-01,94.0
PUERTO VILLARROEL,eventos - notificacion inmediata parte ii,inundacion,2016-02-01,1.0
TARABUCO,eventos - notificacion inmediata parte ii,inundacion,2016-02-01,5.0
SAN IGNACIO,eventos - notificacion inmediata parte ii,inundacion,2016-03-01,642.0
SANTA ANA,eventos - notificacion inmediata parte ii,inundacion,2016-03-01,15.0
SANTA ANA,eventos - notificacion inmediata parte ii,inundacion,2016-04-01,15.0
MOJOCOYA,eventos - notificacion inmediata parte ii,inundacion,2016-11-01,50.0
LA GUARDIA,eventos - notificacion inmediata parte ii,inundacion,2016-12-01,243.0
