municipality,group,variable,month,TOTAL
BERMEJO,eventos - notificacion inmediata parte i,riada,2018-01-01,1.0
BUENA VISTA,eventos - notificacion inmediata parte i,riada,2018-01-01,89.0
CAMATAQUI (C. VILLA ABECIA),eventos - notificacion inmediata parte i,riada,2018-01-01,187.0
CARAPARI,eventos - notificacion inmediata parte i,riada,2018-01-01,13.0
EL PUENTE(TJA),eventos - notificacion inmediata parte i,riada,2018-01-01,28.0
ICLA,eventos - notificacion inmediata parte i,riada,2018-01-01,106.0
LAGUNILLAS,eventos - notificacion inmediata parte i,riada,2018-01-01,1002.0
LAS CARRERAS,eventos - notificacion inmediata parte i,riada,2018-01-01,804.0
MONTEAGUDO,eventos - notificacion inmediata parte i,riada,2018-01-01,2.0
SAN BORJA,eventos - notificacion inmediata parte i,riada,2018-01-01,617.0
SAN LUCAS,eventos - notificacion inmediata parte i,riada,2018-01-01,10.0
SOPACHUY,eventos - notificacion inmediata parte i,riada,2018-01-01,3.0
TUPIZA,eventos - notificacion inmediata parte i,riada,2018-01-01,586.0
VILLAZON,eventos - notificacion inmediata parte i,riada,2018-01-01,277.0
YACUIBA,eventos - notificacion inmediata parte i,riada,2018-01-01,1402.0
YAPACANI,eventos - notificacion inmediata parte i,riada,2018-01-01,122.0
CKOCHAS,eventos - notificacion inmediata parte i,riada,2018-02-01,3.0
COROICO,eventos - notificacion inmediata parte i,riada,2018-02-01,122.0
COTAGAITA,eventos - notificacion inmediata parte i,riada,2018-02-01,39.0
CULPINA,eventos - notificacion inmediata parte i,riada,2018-02-01,168.0
GUANAY,eventos - notificacion inmediata parte i,riada,2018-02-01,134.0
ICLA,eventos - notificacion inmediata parte i,riada,2018-02-01,187.0
MACHARETI,eventos - notificacion inmediata parte i,riada,2018-02-01,85.0
MONTEAGUDO,eventos - notificacion inmediata parte i,riada,2018-02-01,81.0
POROMA,eventos - notificacion inmediata parte i,riada,2018-02-01,8.0
SAIPINA,eventos - notificacion inmediata parte i,riada,2018-02-01,1.0
SAN LUCAS,eventos - notificacion inmediata parte i,riada,2018-02-01,11.0
SUCRE,eventos - notificacion inmediata parte i,riada,2018-02-01,24.0
TIPUANI,eventos - notificacion inmediata parte i,riada,2018-02-01,681.0
TOMINA,eventos - notificacion inmediata parte i,riada,2018-02-01,1.0
UMALA,eventos - notificacion inmediata parte i,riada,2018-02-01,26.0
VILLAZON,eventos - notificacion inmediata parte i,riada,2018-02-01,8.0
AZURDUY,eventos - notificacion inmediata parte i,riada,2018-03-01,13.0
ICLA,eventos - notificacion inmediata parte i,riada,2018-03-01,296.0
LAGUNILLAS,eventos - notificacion inmediata parte i,riada,2018-03-01,859.0
RURRENABAQUE,eventos - notificacion inmediata parte i,riada,2018-03-01,205.0
SANTA CRUZ DE LA SIERRA,eventos - notificacion inmediata parte i,riada,2018-03-01,1.0
TARABUCO,eventos - notificacion inmediata parte i,riada,2018-03-01,3.0
VALLEGRANDE,eventos - notificacion inmediata parte i,riada,2018-03-01,27.0
VILLA VACA GUZMAN (MUYUPAMPA),eventos - notificacion inmediata parte i,riada,2018-03-01,73.0
YAPACANI,eventos - notificacion inmediata parte i,riada,2018-03-01,85.0
MOJOCOYA,eventos - notificacion inmediata parte i,riada,2018-04-01,3.0
MONTEAGUDO,eventos - notificacion inmediata parte i,riada,2018-08-01,1.0
TOMINA,eventos - notificacion inmediata parte i,riada,2018-09-01,14.0
ARQUE,eventos - notificacion inmediata parte i,riada,2018-10-01,1.0
CAMARGO,eventos - notificacion inmediata parte i,riada,2018-10-01,398.0
CARAPARI,eventos - notificacion inmediata parte i,riada,2018-10-01,6.0
ICLA,eventos - notificacion inmediata parte i,riada,2018-10-01,103.0
MOJOCOYA,eventos - notificacion inmediata parte i,riada,2018-10-01,13.0
CKOCHAS,eventos - notificacion inmediata parte i,riada,2018-11-01,31.0
ICLA,eventos - notificacion inmediata parte i,riada,2018-11-01,39.0
CABEZAS,eventos - notificacion inmediata parte i,riada,2018-12-01,31.0
LAS CARRERAS,eventos - notificacion inmediata parte i,riada,2018-12-01,89.0
POROMA,eventos - notificacion inmediata parte i,riada,2018-12-01,9.0
TEOPONTE,eventos - notificacion inmediata parte i,riada,2018-12-01,7.0
TINGUIPAYA,eventos - notificacion inmediata parte i,riada,2018-12-01,4.0
VALLEGRANDE,eventos - notificacion inmediata parte i,riada,2018-12-01,2.0
VILLAZON,eventos - notificacion inmediata parte i,riada,2018-12-01,125.0
