municipality,group,variable,month,TOTAL
CAMARGO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-01-01,71
CAMATAQUI (C. VILLA ABECIA),eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-01-01,61
ICLA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-01-01,185
LAS CARRERAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-01-01,281
SAN LUCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-01-01,65
TIAWANACU,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-01-01,1
TINGUIPAYA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-01-01,2
TOMINA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-01-01,4
VILLA CHARCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-01-01,257
ZUDAÑEZ,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-01-01,220
ALCALA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-02-01,565
CALAMARCA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-02-01,102
CAQUIAVIRI,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-02-01,737
COMANCHE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-02-01,86
CORO CORO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-02-01,153
JESUS DE MACHACA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-02-01,1159
MONTEAGUDO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-02-01,81
NAZACARA DE PACAJES,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-02-01,21
POCOATA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-02-01,1
SANTIAGO DE MACHACA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-02-01,51
SOPACHUY,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-02-01,7
SUCRE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-02-01,6
TARACO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-02-01,2
VILLA CHARCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-02-01,125
VILLA SERRANO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-02-01,3
VILLAZON,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-02-01,205
YOTALA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-02-01,61
ZUDAÑEZ,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-02-01,197
ALCALA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-03-01,1
ARQUE,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-03-01,92
BETANZOS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-03-01,26
"CAIZA ""D""",eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-03-01,157
CAMATAQUI (C. VILLA ABECIA),eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-03-01,141
POROMA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-03-01,52
SAN LUCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-03-01,145
TARABUCO,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-03-01,142
TRINIDAD,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-03-01,1
BETANZOS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-04-01,174
CKOCHAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-04-01,35
VILLAZON,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-04-01,43
POROMA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-05-01,31
SAN LUCAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-05-01,75
CURAHUARA DE CARANGAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-06-01,1
PUCARA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-06-01,1
ATOCHA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-07-01,4
COMARAPA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-07-01,169
CURAHUARA DE CARANGAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-07-01,30
LAGUNILLAS,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-07-01,501
MAIRANA,eventos - notificacion inmediata parte i,helada/granizo/nevada,2018-07-01,181
