municipality,group,variable,month,TOTAL
CHARAGUA,eventos - notificacion inmediata parte i,incendio,2018-06-01,5.0
TARIJA,eventos - notificacion inmediata parte i,incendio,2018-06-01,1.0
PADILLA,eventos - notificacion inmediata parte i,incendio,2018-07-01,1.0
SAN JOSE DE CHIQUITOS,eventos - notificacion inmediata parte i,incendio,2018-07-01,5.0
PRESTO,eventos - notificacion inmediata parte i,incendio,2018-08-01,1.0
PADCAYA,eventos - notificacion inmediata parte i,incendio,2018-09-01,2.0
SAN JOSE DE CHIQUITOS,eventos - notificacion inmediata parte i,incendio,2018-09-01,10.0
SUCRE,eventos - notificacion inmediata parte i,incendio,2018-09-01,2.0
URUBICHA,eventos - notificacion inmediata parte i,incendio,2018-09-01,4.0
IXIAMAS,eventos - notificacion inmediata parte i,incendio,2018-10-01,1.0
PORONGO,eventos - notificacion inmediata parte i,incendio,2018-10-01,2.0
TAHUA,eventos - notificacion inmediata parte i,incendio,2018-10-01,1.0
PORVENIR,eventos - notificacion inmediata parte i,incendio,2018-12-01,1.0
