,group,variable,month,< de 1 año,< de 1 año,1 a 4 años,1 a 4 años,5 a 9 años,5 a 9 años,10 a 20 años,10 a 20 años,21 a 59 años,21 a 59 años,60 y más,60 y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACHACACHI,violencia  intrafamiliar,intrafamiliar/domestica,2008-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
AIQUILE,violencia  intrafamiliar,intrafamiliar/domestica,2008-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
ARQUE,violencia  intrafamiliar,intrafamiliar/domestica,2008-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
ASCENCION DE GUARAYOS,violencia  intrafamiliar,intrafamiliar/domestica,2008-01-01,0,0,0,0,0,0,0,0,2,5,0,0,2,5,7
AYATA,violencia  intrafamiliar,intrafamiliar/domestica,2008-01-01,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2
BOYUIBE,violencia  intrafamiliar,intrafamiliar/domestica,2008-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
"CAIZA ""D""",violencia  intrafamiliar,intrafamiliar/domestica,2008-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CAMIRI,violencia  intrafamiliar,intrafamiliar/domestica,2008-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CAPINOTA,violencia  intrafamiliar,intrafamiliar/domestica,2008-01-01,0,0,0,0,0,0,0,0,1,2,1,0,2,2,4
CARACOLLO,violencia  intrafamiliar,intrafamiliar/domestica,2008-01-01,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2
CARANAVI,violencia  intrafamiliar,intrafamiliar/domestica,2008-01-01,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3
CARAPARI,violencia  intrafamiliar,intrafamiliar/domestica,2008-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CATACORA,violencia  intrafamiliar,intrafamiliar/domestica,2008-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CHALLAPATA,violencia  intrafamiliar,intrafamiliar/domestica,2008-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),violencia  intrafamiliar,intrafamiliar/domestica,2008-01-01,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2
CLIZA,violencia  intrafamiliar,intrafamiliar/domestica,2008-01-01,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2
COCHABAMBA,violencia  intrafamiliar,intrafamiliar/domestica,2008-01-01,0,0,0,0,1,1,0,3,0,9,0,0,1,13,14
COLOMI,violencia  intrafamiliar,intrafamiliar/domestica,2008-01-01,0,0,0,0,0,0,0,3,0,5,0,0,0,8,8
COLPA BELGICA,violencia  intrafamiliar,intrafamiliar/domestica,2008-01-01,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
COLQUENCHA,violencia  intrafamiliar,intrafamiliar/domestica,2008-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
