,group,variable,month,< de 1 año,< de 1 año,1 a 4 años,1 a 4 años,5 a 9 años,5 a 9 años,10 a 20 años,10 a 20 años,21 a 59 años,21 a 59 años,60 y más,60 y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ALALAY,violencia  intrafamiliar,"otras violencias (accidentes, agresiones, leer instructivo)",2008-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
ARANI,violencia  intrafamiliar,"otras violencias (accidentes, agresiones, leer instructivo)",2008-01-01,0,0,0,0,0,0,3,0,0,5,0,0,3,5,8
ARQUE,violencia  intrafamiliar,"otras violencias (accidentes, agresiones, leer instructivo)",2008-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),violencia  intrafamiliar,"otras violencias (accidentes, agresiones, leer instructivo)",2008-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
BETANZOS,violencia  intrafamiliar,"otras violencias (accidentes, agresiones, leer instructivo)",2008-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
CAIROMA,violencia  intrafamiliar,"otras violencias (accidentes, agresiones, leer instructivo)",2008-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CALAMARCA,violencia  intrafamiliar,"otras violencias (accidentes, agresiones, leer instructivo)",2008-01-01,0,0,0,0,0,0,1,1,3,3,1,2,5,6,11
CAMIRI,violencia  intrafamiliar,"otras violencias (accidentes, agresiones, leer instructivo)",2008-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CAPINOTA,violencia  intrafamiliar,"otras violencias (accidentes, agresiones, leer instructivo)",2008-01-01,0,0,0,0,0,0,0,0,2,3,1,1,3,4,7
CARACOLLO,violencia  intrafamiliar,"otras violencias (accidentes, agresiones, leer instructivo)",2008-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
CARANAVI,violencia  intrafamiliar,"otras violencias (accidentes, agresiones, leer instructivo)",2008-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CHALLAPATA,violencia  intrafamiliar,"otras violencias (accidentes, agresiones, leer instructivo)",2008-01-01,0,0,0,0,0,0,0,0,7,7,2,1,9,8,17
CHOQUE COTA,violencia  intrafamiliar,"otras violencias (accidentes, agresiones, leer instructivo)",2008-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),violencia  intrafamiliar,"otras violencias (accidentes, agresiones, leer instructivo)",2008-01-01,0,1,1,1,1,1,7,3,18,12,1,0,28,18,46
CLIZA,violencia  intrafamiliar,"otras violencias (accidentes, agresiones, leer instructivo)",2008-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
COCHABAMBA,violencia  intrafamiliar,"otras violencias (accidentes, agresiones, leer instructivo)",2008-01-01,0,0,2,2,0,0,98,36,348,127,8,27,456,192,648
COLLANA,violencia  intrafamiliar,"otras violencias (accidentes, agresiones, leer instructivo)",2008-01-01,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2
