municipality,group,variable,month,Cantidad,TOTAL-M
ACHACACHI,intoxicaciones,plaguicidas,2007-01-01,2,2
ANCORAIMES,intoxicaciones,plaguicidas,2007-01-01,4,4
BATALLAS,intoxicaciones,plaguicidas,2007-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),intoxicaciones,plaguicidas,2007-01-01,3,3
COCHABAMBA,intoxicaciones,plaguicidas,2007-01-01,38,38
COLOMI,intoxicaciones,plaguicidas,2007-01-01,6,6
COPACABANA,intoxicaciones,plaguicidas,2007-01-01,1,1
EL ALTO,intoxicaciones,plaguicidas,2007-01-01,20,20
FERNANDEZ ALONSO,intoxicaciones,plaguicidas,2007-01-01,1,1
LA ASUNTA,intoxicaciones,plaguicidas,2007-01-01,2,2
LA PAZ,intoxicaciones,plaguicidas,2007-01-01,18,18
LAGUNILLAS,intoxicaciones,plaguicidas,2007-01-01,1,1
MAIRANA,intoxicaciones,plaguicidas,2007-01-01,1,1
MONTERO,intoxicaciones,plaguicidas,2007-01-01,4,4
ORURO,intoxicaciones,plaguicidas,2007-01-01,15,15
POROMA,intoxicaciones,plaguicidas,2007-01-01,1,1
PUCARANI,intoxicaciones,plaguicidas,2007-01-01,2,2
PUNA,intoxicaciones,plaguicidas,2007-01-01,1,1
PUNATA,intoxicaciones,plaguicidas,2007-01-01,4,4
SAN IGNACIO DE VELASCO,intoxicaciones,plaguicidas,2007-01-01,1,1
SAN JULIAN,intoxicaciones,plaguicidas,2007-01-01,1,1
TOTORA(ORR),intoxicaciones,plaguicidas,2007-01-01,1,1
UNCIA,intoxicaciones,plaguicidas,2007-01-01,1,1
VILLA MONTES,intoxicaciones,plaguicidas,2007-01-01,1,1
VILLA TUNARI,intoxicaciones,plaguicidas,2007-01-01,5,5
VILLAZON,intoxicaciones,plaguicidas,2007-01-01,1,1
ACHACACHI,intoxicaciones,plaguicidas,2007-02-01,1,1
CAMIRI,intoxicaciones,plaguicidas,2007-02-01,1,1
CARAPARI,intoxicaciones,plaguicidas,2007-02-01,1,1
COCHABAMBA,intoxicaciones,plaguicidas,2007-02-01,26,26
COLOMI,intoxicaciones,plaguicidas,2007-02-01,1,1
COMARAPA,intoxicaciones,plaguicidas,2007-02-01,1,1
COPACABANA,intoxicaciones,plaguicidas,2007-02-01,1,1
CORIPATA,intoxicaciones,plaguicidas,2007-02-01,1,1
EL ALTO,intoxicaciones,plaguicidas,2007-02-01,13,13
EL PUENTE(TJA),intoxicaciones,plaguicidas,2007-02-01,1,1
ENTRE RIOS,intoxicaciones,plaguicidas,2007-02-01,1,1
EUCALIPTUS,intoxicaciones,plaguicidas,2007-02-01,2,2
LA ASUNTA,intoxicaciones,plaguicidas,2007-02-01,1,1
LA PAZ,intoxicaciones,plaguicidas,2007-02-01,13,13
MONTERO,intoxicaciones,plaguicidas,2007-02-01,4,4
OKINAWA,intoxicaciones,plaguicidas,2007-02-01,3,3
ORURO,intoxicaciones,plaguicidas,2007-02-01,6,6
PUERTO PEREZ,intoxicaciones,plaguicidas,2007-02-01,1,1
PUERTO VILLARROEL,intoxicaciones,plaguicidas,2007-02-01,4,4
SAN CARLOS,intoxicaciones,plaguicidas,2007-02-01,1,1
SAN JULIAN,intoxicaciones,plaguicidas,2007-02-01,1,1
SANTA CRUZ DE LA SIERRA,intoxicaciones,plaguicidas,2007-02-01,1,1
SORATA,intoxicaciones,plaguicidas,2007-02-01,1,1
TIRAQUE (CBBA),intoxicaciones,plaguicidas,2007-02-01,2,2
UNCIA,intoxicaciones,plaguicidas,2007-02-01,1,1
VILLA TUNARI,intoxicaciones,plaguicidas,2007-02-01,3,3
VILLAZON,intoxicaciones,plaguicidas,2007-02-01,5,5
ANCORAIMES,intoxicaciones,plaguicidas,2007-03-01,1,1
BETANZOS,intoxicaciones,plaguicidas,2007-03-01,2,2
COCHABAMBA,intoxicaciones,plaguicidas,2007-03-01,28,28
COLOMI,intoxicaciones,plaguicidas,2007-03-01,1,1
COPACABANA,intoxicaciones,plaguicidas,2007-03-01,1,1
CORIPATA,intoxicaciones,plaguicidas,2007-03-01,2,2
EL ALTO,intoxicaciones,plaguicidas,2007-03-01,13,13
FERNANDEZ ALONSO,intoxicaciones,plaguicidas,2007-03-01,2,2
HUANUNI,intoxicaciones,plaguicidas,2007-03-01,1,1
LA ASUNTA,intoxicaciones,plaguicidas,2007-03-01,4,4
LA PAZ,intoxicaciones,plaguicidas,2007-03-01,16,16
MONTERO,intoxicaciones,plaguicidas,2007-03-01,5,5
ORURO,intoxicaciones,plaguicidas,2007-03-01,7,7
PUCARANI,intoxicaciones,plaguicidas,2007-03-01,2,2
PUERTO VILLARROEL,intoxicaciones,plaguicidas,2007-03-01,5,5
PUNATA,intoxicaciones,plaguicidas,2007-03-01,1,1
SACABA,intoxicaciones,plaguicidas,2007-03-01,3,3
SAN JULIAN,intoxicaciones,plaguicidas,2007-03-01,1,1
TIRAQUE (CBBA),intoxicaciones,plaguicidas,2007-03-01,2,2
TUPIZA,intoxicaciones,plaguicidas,2007-03-01,1,1
VACAS,intoxicaciones,plaguicidas,2007-03-01,1,1
VALLEGRANDE,intoxicaciones,plaguicidas,2007-03-01,1,1
VILLA TUNARI,intoxicaciones,plaguicidas,2007-03-01,6,6
VILLAZON,intoxicaciones,plaguicidas,2007-03-01,4,4
ACHACACHI,intoxicaciones,plaguicidas,2007-04-01,2,2
BETANZOS,intoxicaciones,plaguicidas,2007-04-01,1,1
CALAMARCA,intoxicaciones,plaguicidas,2007-04-01,1,1
CAMIRI,intoxicaciones,plaguicidas,2007-04-01,1,1
CAPINOTA,intoxicaciones,plaguicidas,2007-04-01,1,1
CARANAVI,intoxicaciones,plaguicidas,2007-04-01,1,1
COCHABAMBA,intoxicaciones,plaguicidas,2007-04-01,28,28
COLOMI,intoxicaciones,plaguicidas,2007-04-01,1,1
COPACABANA,intoxicaciones,plaguicidas,2007-04-01,1,1
EL ALTO,intoxicaciones,plaguicidas,2007-04-01,18,18
IRUPANA (VILLA DE LANZA),intoxicaciones,plaguicidas,2007-04-01,1,1
LA PAZ,intoxicaciones,plaguicidas,2007-04-01,24,24
MONTERO,intoxicaciones,plaguicidas,2007-04-01,1,1
ORURO,intoxicaciones,plaguicidas,2007-04-01,2,2
PUERTO ACOSTA,intoxicaciones,plaguicidas,2007-04-01,4,4
PUERTO VILLARROEL,intoxicaciones,plaguicidas,2007-04-01,6,6
PUNATA,intoxicaciones,plaguicidas,2007-04-01,1,1
SACABA,intoxicaciones,plaguicidas,2007-04-01,4,4
SAMAIPATA,intoxicaciones,plaguicidas,2007-04-01,2,2
SUCRE,intoxicaciones,plaguicidas,2007-04-01,4,4
TARIJA,intoxicaciones,plaguicidas,2007-04-01,1,1
TUPIZA,intoxicaciones,plaguicidas,2007-04-01,1,1
