municipality,group,variable,month,Cantidad,TOTAL-M
ACHACACHI,intoxicaciones,plaguicidas,2006-01-01,1,1
BERMEJO,intoxicaciones,plaguicidas,2006-01-01,1,1
CALAMARCA,intoxicaciones,plaguicidas,2006-01-01,2,2
CARANAVI,intoxicaciones,plaguicidas,2006-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),intoxicaciones,plaguicidas,2006-01-01,4,4
CHUMA,intoxicaciones,plaguicidas,2006-01-01,1,1
CLIZA,intoxicaciones,plaguicidas,2006-01-01,2,2
COCHABAMBA,intoxicaciones,plaguicidas,2006-01-01,48,48
COLOMI,intoxicaciones,plaguicidas,2006-01-01,2,2
COMARAPA,intoxicaciones,plaguicidas,2006-01-01,1,1
EL ALTO,intoxicaciones,plaguicidas,2006-01-01,22,22
GUANAY,intoxicaciones,plaguicidas,2006-01-01,2,2
LA PAZ,intoxicaciones,plaguicidas,2006-01-01,19,19
MAPIRI,intoxicaciones,plaguicidas,2006-01-01,1,1
MINEROS,intoxicaciones,plaguicidas,2006-01-01,2,2
MOCOMOCO,intoxicaciones,plaguicidas,2006-01-01,1,1
MONTERO,intoxicaciones,plaguicidas,2006-01-01,2,2
ORURO,intoxicaciones,plaguicidas,2006-01-01,12,12
PALOS BLANCOS,intoxicaciones,plaguicidas,2006-01-01,1,1
PAPEL PAMPA,intoxicaciones,plaguicidas,2006-01-01,1,1
PUERTO VILLARROEL,intoxicaciones,plaguicidas,2006-01-01,1,1
QUILLACOLLO,intoxicaciones,plaguicidas,2006-01-01,4,4
SAN IGNACIO DE VELASCO,intoxicaciones,plaguicidas,2006-01-01,1,1
SAN JUAN DE YAPACANI,intoxicaciones,plaguicidas,2006-01-01,2,2
SAN JULIAN,intoxicaciones,plaguicidas,2006-01-01,1,1
SAN PEDRO,intoxicaciones,plaguicidas,2006-01-01,1,1
SICA SICA (VILLA AROMA),intoxicaciones,plaguicidas,2006-01-01,1,1
SUCRE,intoxicaciones,plaguicidas,2006-01-01,2,2
TARIJA,intoxicaciones,plaguicidas,2006-01-01,5,5
TRINIDAD,intoxicaciones,plaguicidas,2006-01-01,1,1
VACAS,intoxicaciones,plaguicidas,2006-01-01,2,2
VILLA TUNARI,intoxicaciones,plaguicidas,2006-01-01,10,10
VILLA VACA GUZMAN (MUYUPAMPA),intoxicaciones,plaguicidas,2006-01-01,1,1
